"","X","Sample","Number","Tag..","Group","Sex","Tissue"
"S1-2442",1,"S1-2442","1","2442","Control","Male","Normal"
"S2-2443",2,"S2-2443","2","2443","Control","Male","Normal"
"S3-2538",3,"S3-2538","3","2538","Control","Male","Normal"
"S4-2547",4,"S4-2547","4","2547","Control","Male","Normal"
"S5-3190",5,"S5-3190","5","3190","Control","Male","Normal"
"S6-Beach",6,"S6-Beach","6","3835","Control","Male","Normal"
"S7-Beach",7,"S7-Beach","7","2444","Naproxen","Male","Normal"
"S8-2445",8,"S8-2445","8","2445","Naproxen","Male","Normal"
"S9-2446",9,"S9-2446","9","2446","Naproxen","Male","Normal"
"S10-2853",10,"S10-2853","10","2853","Naproxen","Male","Normal"
"S11-3837",11,"S11-3837","11","3837","Naproxen","Male","Normal"
"S12-3838",12,"S12-3838","12","3838","Naproxen","Male","Normal"
"S13-2451",13,"S13-2451","13","2451","TP252","Male","Normal"
"S14-2454",14,"S14-2454","14","2454","TP252","Male","Normal"
"S16-3843",16,"S16-3843","16","3843","TP252","Male","Normal"
"S17-3845",17,"S17-3845","17","3845","TP252","Male","Normal"
"S18-3888",18,"S18-3888","18","3888","TP252","Male","Normal"
"S19-2747",19,"S19-2747","19","2747","TP252_Naproxen","Male","Normal"
"S20-2889",20,"S20-2889","20","2889","TP252_Naproxen","Male","Normal"
"S21-2900",21,"S21-2900","21","2900","TP252_Naproxen","Male","Normal"
"S22-3029",22,"S22-3029","22","3029","TP252_Naproxen","Male","Normal"
"S23-3030",23,"S23-3030","23","3030","TP252_Naproxen","Male","Normal"
"S24-3846",24,"S24-3846","24","3846","TP252_Naproxen","Male","Normal"
"S25-2741",25,"S25-2741","25","2741","EPA","Male","Normal"
"S26-2847",26,"S26-2847","26","2847","EPA","Male","Normal"
"S27-2852",27,"S27-2852","27","2852","EPA","Male","Normal"
"S28-3024",28,"S28-3024","28","3024","EPA","Male","Normal"
"S29-4404",29,"S29-4404","29","4404","EPA","Male","Normal"
"S30-4406",30,"S30-4406","30","4406","EPA","Male","Normal"
"S31-2745",31,"S31-2745","31","2745","Combo","Male","Normal"
"S32-2844",32,"S32-2844","32","2844","Combo","Male","Normal"
"S33-3102",33,"S33-3102","33","3102","Combo","Male","Normal"
"S34-3104",34,"S34-3104","34","3104","Combo","Male","Normal"
"S35-4247",35,"S35-4247","35","4247","Combo","Male","Normal"
"S36-4249",36,"S36-4249","36","4249","Combo","Male","Normal"
"W2-Beach",38,"W2-Beach","W2","4250","WT","Male","Normal"
"W3-4401",39,"W3-4401","W3","4401","WT","Male","Normal"
"W4-4402",40,"W4-4402","W4","4402","WT","Male","Normal"
"W5-4405",41,"W5-4405","W5","4405","WT","Male","Normal"
"W6-4407",42,"W6-4407","W6","4407","WT","Male","Normal"
"W7-Beach",43,"W7-Beach","W7","Beach","WT","Male","Normal"
