"","T1-2442","T31","T32","T33","T34","T7-2446","T8-3837","T9-3838","T10-3840","T36","T38","T40","T22-2854","T23-3024","T24-4404","T1-5100","T2-5101","T3-5230","T4-5329","T5-5330"
"ENSRNOG00000000001 - Arsj",108,32,24,80,55,239,100,95,203,67,68,52,53,76,66,172,51,188,62,30
"ENSRNOG00000000007 - Gad1",32,4,16,41,21,111,15,38,23,1,49,11,29,116,32,11,38,18,2,16
"ENSRNOG00000000008 - Alx4",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000000009 - Tmco5b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000000010 - Cbln1",49,71,85,11,167,104,126,131,119,43,5,61,36,33,18,8,66,12,39,24
"ENSRNOG00000000012 - Tcf15",6,3,0,7,8,5,18,6,3,4,3,8,3,1,6,5,7,0,2,4
"ENSRNOG00000000017 - Steap1",127,50,66,49,72,66,42,108,60,34,37,25,29,31,33,79,136,51,17,110
"ENSRNOG00000000021 - NA",1,1,0,1,2,2,4,3,0,2,2,4,2,4,1,0,1,0,0,0
"ENSRNOG00000000024 - Hebp1",234,94,100,152,148,252,181,218,211,96,87,117,124,189,145,137,129,125,89,138
"ENSRNOG00000000033 - Tmcc2",20,13,22,28,18,37,32,53,34,20,24,18,21,14,22,17,20,7,5,10
"ENSRNOG00000000034 - Nuak2",1445,853,957,949,1029,1774,1893,2023,1400,1025,1228,1055,915,886,829,943,1661,1404,914,1733
"ENSRNOG00000000035 - Tmed11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000000036 - Klhdc8a",258,35,44,171,67,1447,358,320,515,242,908,202,429,435,276,192,64,308,50,59
"ENSRNOG00000000040 - RGD1304622",20,19,19,23,33,51,53,63,27,24,19,18,14,34,26,12,4,0,2,5
"ENSRNOG00000000041 - Slc26a1",374,93,116,105,189,139,60,54,70,53,21,37,34,44,54,203,529,228,136,130
"ENSRNOG00000000042 - Xpr1",712,343,300,458,456,1082,793,1119,907,719,446,558,627,608,706,571,622,638,568,846
"ENSRNOG00000000043 - Idua",984,838,908,1038,1110,2367,1085,1861,863,506,1315,563,555,781,531,300,506,488,499,814
"ENSRNOG00000000044 - Tmem175",619,394,399,399,567,803,729,833,603,469,362,554,362,348,410,438,730,537,446,747
"ENSRNOG00000000047 - Cd82",7758,3266,3782,3774,4476,7331,7314,6657,6629,4277,3535,4682,3917,4313,4377,6168,9455,7311,6347,8412
"ENSRNOG00000000048 - Gak",8893,4657,5219,5139,6134,9144,9507,10429,8131,6299,3891,5948,4191,4645,4955,6954,9316,8755,8083,10522
"ENSRNOG00000000053 - Crp",10,4,0,12,0,16,8,6,16,5,28,9,9,16,8,8,1,17,3,2
"ENSRNOG00000000054 - Abhd8",299,146,179,233,234,268,317,354,211,193,118,202,102,155,131,223,468,233,167,277
"ENSRNOG00000000055 - Fcrl6",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"ENSRNOG00000000062 - Pcgf3",2840,1358,1363,1220,1710,2588,2099,2605,2220,1484,1297,1558,1151,1179,1317,1583,2573,1977,1609,2181
"ENSRNOG00000000064 - Atp5me",3604,1064,967,1389,1465,3740,3895,3109,2818,1803,2560,1746,1791,1617,1772,3678,7068,4057,2233,3017
"ENSRNOG00000000065 - Pde6b",7,3,3,0,1,4,5,1,1,0,0,4,0,2,0,1,6,6,5,4
"ENSRNOG00000000066 - Fbxo28",1173,464,559,573,738,1182,988,1095,1089,709,489,693,563,511,567,838,1106,1051,765,948
"ENSRNOG00000000068 - Ppp2r5a",2812,1311,1362,1496,1914,3183,3405,3701,3010,2298,2065,1843,1765,1750,1923,2514,4391,3066,2228,3327
"ENSRNOG00000000070 - Dr1",3101,1295,1306,1269,1699,2664,2526,3096,2538,1845,1763,1549,1604,1675,1679,2192,3100,2907,1884,2497
"ENSRNOG00000000073 - Tmed5",881,406,327,425,570,902,746,849,772,556,508,420,523,521,531,595,779,747,630,613
"ENSRNOG00000000075 - Mtf2",1009,490,569,538,687,1050,879,1290,914,668,637,568,519,578,665,753,1139,1036,665,946
"ENSRNOG00000000081 - Antxr2",7361,2068,1403,2579,2514,6208,4771,4038,4747,3401,970,3023,1642,2028,2228,6246,7817,6711,4355,2468
"ENSRNOG00000000082 - Hltf",3348,1678,1468,2530,2302,4472,3534,5364,4418,2886,2853,2104,2300,2290,2535,3831,3755,4733,2430,3391
"ENSRNOG00000000091 - Smad9",310,89,210,239,291,257,211,521,320,234,254,153,148,246,199,161,180,254,140,275
"ENSRNOG00000000095 - Gpr89b",1210,550,593,683,905,1211,1210,1380,1003,820,701,749,592,583,647,1159,1695,1285,876,1162
"ENSRNOG00000000096 - Pdzk1",4,4,2,11,1,3,3,0,2,11,2,1,3,21,10,0,1,9,0,3
"ENSRNOG00000000097 - NA",3,2,4,1,5,10,4,9,11,1,0,1,9,6,10,5,8,3,3,18
"ENSRNOG00000000098 - Rnf115",2217,873,902,1078,1395,2065,2251,2360,1909,1268,964,1191,1195,1404,1437,1594,2691,2081,1628,2282
"ENSRNOG00000000104 - Thoc3",1611,739,784,958,1052,1657,1701,1927,1555,971,1123,1042,692,752,861,1713,2747,2299,1254,1690
"ENSRNOG00000000105 - Cplx2",282,97,89,228,120,258,238,350,237,180,103,206,154,224,175,143,110,247,126,204
"ENSRNOG00000000108 - Aga",1358,739,794,765,942,1615,1635,1992,1154,863,899,782,832,815,928,916,1829,915,841,1584
"ENSRNOG00000000109 - Fgf20",56,24,40,20,57,45,38,72,29,12,12,49,20,58,37,1,2,23,18,52
"ENSRNOG00000000111 - Coprs",285,133,124,159,142,347,306,423,283,163,162,185,107,156,175,248,551,265,161,242
"ENSRNOG00000000112 - Champ1",1281,698,652,694,817,1465,1448,1619,1424,989,776,885,693,782,741,1010,1447,1261,1012,1355
"ENSRNOG00000000113 - Elac1",216,77,85,121,132,306,239,300,204,169,138,122,117,146,143,149,187,169,162,185
