"","X","Sample","Number","Tag..","Group","Sex","Tissue"
"T1-2442",44,"T1-2442","T1","2442T","Control","Male","Tumor"
"T31",49,"T31","T31","T31T","Control","Male","Tumor"
"T32",50,"T32","T32","T32","Control","Male","Tumor"
"T33",51,"T33","T33","T33T","Control","Male","Tumor"
"T34",52,"T34","T34","T34T","Control","Male","Tumor"
"T7-2446",55,"T7-2446","T7","2446T","Naproxen","Male","Tumor"
"T8-3837",56,"T8-3837","T8","3837","Naproxen","Male","Tumor"
"T9-3838",57,"T9-3838","T9","3838T","Naproxen","Male","Tumor"
"T10-3840",58,"T10-3840","T10","3840T","Naproxen","Male","Tumor"
"T36",59,"T36","T36","T36T","Naproxen","Male","Tumor"
"T38",71,"T38","T38","T38","EPA","Male","Tumor"
"T40",73,"T40","T40","T40","EPA","Male","Tumor"
"T22-2854",76,"T22-2854","T22","2854T","EPA","Male","Tumor"
"T23-3024",77,"T23-3024","T23","3024T","EPA","Male","Tumor"
"T24-4404",78,"T24-4404","T24","4404T","EPA","Male","Tumor"
"T1-5100",89,"T1-5100","T1-Ibn","5100","Ifetroban","Male","Tumor"
"T2-5101",90,"T2-5101","T2-Ibn","5101","Ifetroban","Male","Tumor"
"T3-5230",91,"T3-5230","T3-Ibn","5230","Ifetroban","Male","Tumor"
"T4-5329",92,"T4-5329","T4-Ibn","5329","Ifetroban","Male","Tumor"
"T5-5330",93,"T5-5330","T5-Ibn","5330","Ifetroban","Male","Tumor"
