,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
rno04657,rno04657,IL-17 signaling pathway,76,-0.785740215,-2.71823284,5.57E-15,1.86E-12,1.36E-12,706,"tags=34%, list=5%, signal=33%",Hsp90aa1/Cebpb/Ccl7/Ccl2/Mmp3/Fos/Ccl20/Tnfaip3/Il1b/Fosb/Mmp9/Tnf/Fosl1/Muc5b/Cxcl3/Cxcl6/Lcn2/Cxcl2/Cxcl1/Ptgs2/Mmp13/S100a8/Il17a/S100a9/Il17c/Csf3
rno04668,rno04668,TNF signaling pathway,106,-0.550345812,-2.026554909,1.70E-05,0.000475768,0.000348323,1138,"tags=25%, list=8%, signal=24%",Nfkbia/Ifi47/Ccl12/Tnfrsf1a/Cx3cl1/Tnfrsf1b/Birc3/Cebpb/Junb/Ccl2/Mmp3/Fos/Ccl20/Nod2/Tnfaip3/Lif/Bcl3/Il1b/Mmp9/Tnf/Ripk3/Cxcl3/Cxcl6/Cxcl2/Cxcl1/Socs3/Ptgs2
rno04610,rno04610,Complement and coagulation cascades,53,-0.531457405,-1.725891683,0.002980114,0.028779164,0.021070056,895,"tags=26%, list=6%, signal=25%",Cd55/C6/C2/Procr/F3/Plau/Bdkrb1/F5/Plaur/Serpine1/Plat/C3/Serpinb2/Cfi
rno04110,rno04110,Cell cycle,147,-0.504128341,-1.953250197,6.61E-06,0.000276822,0.00020267,2882,"tags=44%, list=20%, signal=35%",Anapc5/Ywhae/Ywhah/Mad2l1bp/Fzr1/E2f5/Cdc25c/Chek1/E2f3/Ccnd3/Tgfb1/Mcm7/Mcm3/Skp1/E2f4/Fbxo5/Mcm6/Ddx11/Anapc15/Cdk2/Knl1/Anapc10/Tp53/Mtbp/Tfdp1/Cdc6/Cdc7/Mcm4/Tgfb2/Pcna/Pttg1/Dbf4/Ccnb2/Skp2/Espl1/Mcm5/Ticrr/Sgo1/Bub1b/Bub1/Ndc80/Ccne2/Myc/Cdc45/Cdca5/Aurkb/Cdkn1a/Trip13/Orc1/Pkmyt1/Ttk/Ywhag/Ccna2/Esco2/Mad2l1/Cdc20/Ccnb1/Orc6/Plk1/E2f2/Cdk1/Gadd45g/Ccne1/Cdkn2a
rno04060,rno04060,Cytokine-cytokine receptor interaction,186,-0.484886761,-1.938509589,2.31E-06,0.000128769,9.43E-05,963,"tags=25%, list=7%, signal=24%",Ccl12/Il1rl1/Tnfrsf9/Tnfrsf1a/Csf3r/Tnfsf18/Tnfrsf21/Cx3cl1/Ccr8/Clcf1/Tnfrsf1b/Osmr/Ccl7/Il4r/Ccl2/Ccl4/Gdf15/Tnfrsf10b/Ccl20/Cxcl17/Csf2rb/Cxcr2/Tnfsf9/Ebi3/Lif/Tnfrsf12a/Epor/Ccl9/Tnfrsf11b/Inhbb/Thpol1/Il1b/Tnf/Il23a/Ccl25/Il1a/Il10/Cxcl3/Cxcl6/Cxcl2/Osm/Cxcl1/Tnfsf11/Il17a/Il17c/Il22/Csf3
rno05410,rno05410,Hypertrophic cardiomyopathy,66,0.483439679,1.583546272,0.006399827,0.046607435,0.034122647,1375,"tags=30%, list=10%, signal=28%",Dtna/Ryr2/Des/Sspn/Cacnb2/Cacnb1/Cacna1c/Cacna2d1/Prkaa2/Tpm2/Atp2a3/Sgca/Edn1/Lama2/Itga4/Tnnt2/Itgb8/Agt/Tgfb3/Slc8a3
rno04974,rno04974,Protein digestion and absorption,71,0.484175044,1.592767694,0.005420542,0.041270036,0.030214983,2643,"tags=41%, list=19%, signal=33%",Col14a1/Atp1a2/Col6a6/Cpa3/Slc9a3/Ace2/Col20a1/Slc16a10/Mep1a/Col24a1/Col6a5/Col4a6/Kcnk5/Dpp4/Col4a3/Slc7a15/Atp1b2/Slc15a1/Slc8a3/Mme/Col6a4/Slc36a1/Kcnn4/Slc36a4/Fxyd2/Kcnq1/Col13a1/Col27a1/Col4a5
rno04024,rno04024,cAMP signaling pathway,158,0.491486699,1.840114527,1.11E-05,0.000373474,0.000273431,1540,"tags=27%, list=11%, signal=24%",Ghrl/Edn2/Vip/Gcg/Atp1a2/Sstr1/Ptger3/Npy1r/Adcyap1r1/Adora1/Gria2/Chrm1/Ryr2/Fxyd1/Adcy5/Prkacb/Edn3/Adrb1/Gria4/Cacna1c/Sstr2/Ppara/Atp2a3/Myl9/Adcy2/Edn1/Vipr2/Pik3r1/Hhip/Pde3a/Gipr/Adcy1/Atp1b2/Kcnk2/Grin1/Vav3/Creb3l2/Cftr/Pde4c/Ffar2/Adcy10/Gli1
rno04080,rno04080,Neuroactive ligand-receptor interaction,150,0.530430152,1.970121164,3.24E-07,3.39E-05,2.48E-05,1458,"tags=37%, list=10%, signal=33%",Ghrl/Tacr2/Edn2/Vip/Prlr/Gcgr/Ppy/Gcg/Trpv1/Avpr1b/Tac3/Sstr1/Pyy/Nmu/Ptger3/Npy1r/Chrna7/Adcyap1r1/Adora1/Gria2/Gabrb3/P2rx5/Adora2b/Thrb/Chrm1/Tacr1/Cnr1/Lepr/Ptger1/Edn3/Adrb1/Gria4/Cysltr1/Vipr1/Sstr2/Gpr156/Ghr/Adora3/Edn1/Calcrl/Hrh1/Vipr2/Agtr1a/Gabrr2/Gipr/P2ry4/Agt/Grin1/P2ry1/Lpar1/P2rx3/P2rx1/Aplnr/P2rx7/Chrm3
rno03320,rno03320,PPAR signaling pathway,59,0.550268983,1.789707133,0.001153644,0.015921404,0.011656519,1256,"tags=24%, list=9%, signal=22%",Plin4/Pck1/Cyp8b1/Fabp6/Apoa1/Fabp2/Acaa1b/Ppara/Slc27a6/Acsbg1/Ehhadh/Cd36/Cyp27a1/Cpt1c
