,ONTOLOGY,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0070252,BP,GO:0070252,Actin-mediated cell contraction,86,-0.752960034,-2.035728714,6.73E-12,7.99E-10,6.22E-10,1776,"tags=51%, list=12%, signal=45%",Frmd6/Kcne2/Emp2/Tpm1/Kcne4/Scn3b/Scn1b/Gja5/Cacna1d/Kcnj5/Adcy10/Ptger3/Cacna1g/Adrb1/Ryr2/Kcnj8/Kcne5/Gsn/Abcc9/Kcnh2/Cav1/Rnf207/Cav3/Cacnb2/Adora1/Acta2/Cacna2d1/Cacna1h/Akap6/Ank2/Epdr1/Scn2b/Fxyd1/Myh2/Cacna1c/Fgf13/Ctnna3/Scn4b/Kcnn2/Kcnd3/Sgcd/Kcna5/Atp1a2/Nos1
GO:0005261,MF,GO:0005261,Monoatomic cation channel activity,233,-0.720097627,-2.09806592,3.44E-24,8.87E-21,6.90E-21,1828,"tags=48%, list=12%, signal=42%",Pkd1/Kcnd1/Grin2d/Nalf2/Kcne2/Cacna1a/Trpm5/Itpr1/P2rx2/Tmc1/Cacna2d2/Scnn1b/Kcne4/Chrna10/Chrnb2/Anxa6/Trpm6/Kcns3/Scn3b/Scn3a/Scn1b/Pkd2/P2rx7/Kcnt1/Kcnip2/Cacna1d/Kcnj5/Kcnip4/Asic1/Kcng4/Cacna1g/Ryr2/Trpv3/Grin1/Ncs1/Rimbp2/Scnn1g/Kcnj10/Kcnj8/Kcnb2/Kcna2/Kcne5/Abcc9/Kcnma1/Kcnip3/Lrrc55/Piezo2/Tmem38a/Kcnh2/Kcnj11/Kcnab1/Kcnq3/P2rx5/Kcnq5/Trpv1/Abcc8/P2rx1/Kcnc1/Kcnn3/Cacnb1/Cacna1b/Pex5l/Cacnb2/Kcng2/Kcnk3/Kcnt2/Kcnj3/Slc24a3/Cacng4/Kcnc4/Gpm6a/Cacna2d1/Cacna1h/Kcnj12/Cacna2d3/Scn2b/Scn2a/Trpc4/Kcnq4/Chrna5/Kcnmb1/Cacna1c/Snap25/Grik3/Kcnb1/Kcnip1/Scn4b/Kcnn2/Kcnd3/Trpm3/Eef1a2/Cacng7/Chrnb4/Kcna5/Chrnb3/Cacnb4/Cnga3/Kcnc2/Slc24a2/Scn7a/Htr3a/Htr3b/Nalcn/Grik2/Scn11a/Cacna1e/Scn9a/Chrna6/Kcnf1/Ryr3/Chrna3
GO:1902495,CC,GO:1902495,Transmembrane transporter complex,273,-0.69257772,-2.037891752,5.21E-23,1.00E-19,7.82E-20,1828,"tags=36%, list=12%, signal=32%",Pkd1/Gria3/Kcnd1/Grin2d/Kcne2/Cacna1a/Cacna2d2/Scnn1b/Cpt1c/Chrnb2/Dlg4/Kcns3/Scn3b/Scn3a/Scn1b/Pkd2/Best2/Kcnip2/Fkbp1b/Cacna1d/Kcnj5/Kcnip4/Kcng4/Cacna1g/Ryr2/Mcub/Grin1/Scnn1g/Kcnj8/Kcnb2/Kcna2/Kcne5/Abcc9/Kcnma1/Kcnip3/Lrrc55/Kcnh2/Kcnj11/Kcnab1/Kcnq3/Dpp6/Kcnq5/Abcc8/Atp1b2/Kcnc1/Cacnb1/Cacna1b/Pex5l/Cacnb2/Ttyh1/Kcng2/Kcnj3/Cacng4/Unc80/Kcnc4/Cacna2d1/Cacna1h/Hspa2/Akap6/Cacna2d3/Glra1/Scn2b/Scn2a/Fxyd1/Trpc4/Chrna5/Kcnmb1/Cacna1c/Snap25/Grik3/Kcnb1/Kcnip1/Scn4b/Kcnd3/Eef1a2/Cntnap2/Cacng7/Chrnb4/Kcna5/Chrnb3/Atp1a2/Cacnb4/Cnga3/Kcnc2/Scn7a/Htr3a/Htr3b/Gabra3/Grik2/Scn11a/Cacna1e/Scn9a/Dpp10/Chrna6/Kcnf1/Ryr3/Chrna3
GO:0042391,BP,GO:0042391,Regulation of membrane potential,400,-0.656595086,-1.952793703,3.05E-26,2.36E-22,1.83E-22,2308,"tags=42%, list=16%, signal=36%",Rapgef4/Mapt/Grik5/Pid1/Tspan9/Scn5a/Ano1/Hcn2/Ano6/Trpm4/Ank3/Slc6a4/Slc25a27/Ptn/Kcnk4/Slc4a4/Chrne/Lrrk2/Kcnh6/Dcn/Gria3/Grin2d/Kctd7/Nr3c2/Kcne2/Cacna1a/Bco2/Slc4a8/P2rx2/Slc29a1/Gper1/Kcne4/Igsf9b/Chrna10/Abat/Shank3/Npr2/Gna14/Chrnb2/Agt/Dlg4/Scn3b/Scn3a/Prkar1b/Scn1b/Best2/P2rx7/Gja5/Ehd3/Begain/Kcnip2/Fkbp1b/Cacna1d/Kcnj5/Adcy10/Nlgn3/Asic1/Cd36/Syne1/Cacna1g/Adrb1/Ryr2/Snca/Grin1/Xirp1/Rimbp2/Kcnj10/Chrm1/Cntnap1/Kcnj8/Stx1b/Shank1/Nrxn1/Cnr1/Kcna2/Kcne5/Abcc9/Rgs4/Kcnma1/Gpr88/Slc4a3/Dmd/Piezo2/Kcnh2/Kcnj11/Cav1/Rnf207/Kcnq3/P2rx5/Dpp6/Snap91/Tacr1/Flna/Kcnq5/Trpv1/P2rx1/Atp1b2/Kcnc1/Slc1a7/Cav3/Nrcam/Fhl1/Pex5l/Fgf12/Cacnb2/Slc26a3/Kcnk3/Actn2/Prkn/Fgf14/Kcnj3/Adora1/Kcnc4/Ghrl/Cacna2d1/Cacna1h/Akap6/Ank2/Glra1/Myoc/Scn2b/Grid1/Scn2a/Rims3/Fxyd1/Celf4/Trpc4/Chrna5/Rgs7/Cacna1c/Npas4/Grik3/Mapk8ip2/Fgf13/Ctnna3/Rims1/Kcnb1/Kcnip1/Scn4b/Kcnn2/Ntrk2/Tafa4/Popdc3/Kcnd3/Rgs7bp/Cntnap2/Ntrk3/Dgki/Popdc2/Chrnb4/Kcna5/Chrnb3/Bves/Cacnb4/Kcnc2/Scn7a/Phox2b/Nos1/Htr3a/Htr3b/Gabra3/Nalcn/Grik2/Scn11a/Scn9a/Ntsr1/Chrna6/Chrna3
GO:0007269,BP,GO:0007269,Neurotransmitter secretion,160,-0.646027458,-1.849214588,4.82E-10,3.61E-08,2.81E-08,2609,"tags=43%, list=18%, signal=36%",Cplx2/Prkcg/Kcnh1/Edn3/Lin7b/Mef2c/Mctp1/Syn1/Sncaip/Grik5/P2ry4/Pdyn/Rab3a/Syde1/Stxbp1/Syt11/Unc13a/Lrrk2/Syt3/Napb/Brsk1/Cacna1a/Sv2a/Slc4a8/P2rx2/Stxbp5l/Gper1/Npy1r/Syt9/P2rx7/Apba2/Asic1/Stx2/Snca/Ncs1/Rimbp2/Nrxn3/Kcnj8/Stx1b/Nrxn1/Ngf/Apba1/Syp/Ptprn2/Snap91/Abcc8/P2rx1/Camk2a/Cacna1b/Erc2/Prkn/Sv2c/Kcnc4/Sncg/Syn2/Doc2b/Nrxn2/Rims3/Snap25/Rims1/Syt1/Ntrk2/Syt4/Dgki/Cacnb4/Sv2b/Cacna1e/Tacr2/Chrna3
GO:0004930,MF,GO:0004930,G protein-coupled receptor activity,226,-0.588575491,-1.713561058,1.22E-08,6.90E-07,5.37E-07,2086,"tags=39%, list=14%, signal=34%",Gpr149/Avpr1a/Tbxa2r/Lpar3/S1pr1/Htr2a/P2ry4/Adgrl4/Fzd5/Adgrf5/Calcrl/Olr59/Gpr37/Tas1r3/Adgre5/Adgrg3/Fzd2/Ffar2/Gprc5b/Cysltr1/Ramp1/Gper1/Prokr1/Gpr150/Gpr27/S1pr3/Casr/Adgra2/Sstr2/Hrh3/Crhr2/Npy1r/Adora2b/Adgrl1/Lpar1/Grpr/Gpr161/Gpr146/Hpgd/Gpr63/Ptger3/Fzd4/Adrb1/Gpr20/Ptger1/Chrm1/Vipr2/Gpr173/Gcgr/Lpar4/Cnr1/Pth1r/Npr3/Gpr88/Agtr1a/Adgrb2/Ackr1/Ackr4/Tacr1/Adgrg2/Htr2b/Galr2/Hcar1/Adra1d/Ptgfr/Olr35/Adora1/Ackr2/Adcyap1r1/Gpr22/Adgrd1/Chrm4/Tacr3/Mrgprf/Gpr75/Galr1/Grik3/Adgrb1/Tshr/Gal/Mtnr1a/Oprl1/Adgrb3/Ntsr1/Adrb3/Oxtr/Npy4r/Tacr2
GO:0062023,CC,GO:0062023,Collagen-containing extracellular matrix,209,-0.588471456,-1.707049333,4.31E-08,2.16E-06,1.68E-06,2673,"tags=52%, list=18%, signal=43%",Nid1/Lox/Angptl6/Thbs4/Col15a1/Tgfb2/Pmp22/Postn/Adamts10/Efemp2/Col5a2/Dmbt1/Efna5/Kazald1/Cst3/Adamts8/Lum/Timp3/Sfrp1/Ltbp4/Lama4/Entpd1/Ptn/Col11a2/Adamts15/Egflam/Col1a1/Igf1/Sparc/Fn1/Col6a2/Col5a3/Col6a1/Ntn4/Fcna/Col4a5/Adamts5/Loxl3/Col16a1/Angptl2/Fgl2/Col5a1/Col1a2/Col3a1/Mmrn2/Angpt1/Loxl1/Col24a1/Adamtsl4/Col8a1/Sod3/Papln/Angptl3/Col20a1/Lamb2/Col27a1/Col9a2/Scara3/Comp/Col28a1/Serpinf1/Eln/Cilp/Col4a6/Adamts2/Fbln1/Npnt/Matn2/Fbn1/Gpc6/Otol1/Col8a2/Coch/Ltbp3/Mfap4/Col11a1/Wnt2/Col23a1/Gpc3/Ache/Tgfb3/Vtn/Zg16/Lama2/Col4a3/Ssc5d/Rarres2/Ntn1/Mmrn1/Tgfbr3/Colq/P3h2/Acta2/Ccn3/Frem1/Lamc3/Myoc/Sparcl1/Hapln1/Chadl/Efemp1/Ecm2/Hmcn2/Ccdc80/Col14a1/Fmod/Tnr/Mamdc2
GO:0061387,BP,GO:0061387,Regulation of extent of cell growth,122,-0.549725706,-1.54660684,0.001032449,0.010476441,0.008150199,2404,"tags=32%, list=16%, signal=27%",Lpar3/Sema6d/Efna5/Mapt/Nrp1/Sema3e/Olfm1/Cdkl5/Sema6b/Fn1/Apoe/Plxna4/Mgll/Lrp1/L1cam/Sema5b/Map2/Slit1/Sema6c/Sema3g/Adcy10/Rgma/RGD1307443/Ngf/Bcl11a/Cdh4/Map1b/Cxcl12/Mt3/Ntn1/Epha7/Sema3d/Rtn4r/Dcx/Islr2/Fgf13/Omg/Ntrk3/Tnr
GO:0051962,BP,GO:0051962,Positive regulation of nervous system development,333,-0.510545948,-1.515163187,3.72E-06,0.000115736,9.00E-05,2312,"tags=28%, list=16%, signal=24%",Efna5/Tgm2/Mapt/Tnik/Flrt3/Nrp1/Ace/Cdkl5/Cul7/Qki/Ptn/Aspa/Zeb2/Slitrk6/Robo1/Adgre5/Igf1/Fn1/Apoe/Il34/Hap1/Plxna4/Lrp1/Obsl1/Cysltr1/Gper1/Vim/L1cam/Pax6/Shank3/Gprasp3/Sgk1/Etv5/Dlg4/Tiam2/Fgf2/Il33/Adgrl1/Flrt1/Serpinf1/Lrrtm3/Gjc2/Numbl/Adcy10/Nlgn3/St8sia2/Fzd4/Wnt2/Nrxn1/Metrn/Ache/Akap5/Syndig1/Ngf/Bcl11a/Cdh4/Adgrb2/Slitrk2/Map1b/Cxcl12/Rnf112/Id4/Gli3/Snap91/Ntn1/Amigo2/Smarcd3/Enpp2/Clstn3/Ntf3/Dcx/Sox8/Chodl/Ghrl/Pak3/Islr2/Hapln1/Lrrc4b/Adgrb1/Ntrk2/Musk/Ntrk3/Nefl/Slitrk5/Slitrk3/Sox2/Plxnb3/Slitrk1/Gfap/Cbln2/Sox10/Adgrb3/Oxtr
GO:0048638,BP,GO:0048638,Regulation of developmental growth,348,-0.508727003,-1.511449487,3.02E-06,9.64E-05,7.50E-05,2312,"tags=29%, list=16%, signal=25%",Mef2c/Kcnk2/Lpar3/Sema6d/Efna5/Lats2/Mapt/Fgfr3/Atp8a2/Nrp1/Sema3e/Socs2/Olfm1/Cdkl5/Slc6a4/Foxc2/Mapk11/Sema6b/Foxs1/Gli1/Unc13a/Syt3/Igf1/Fn1/Sox15/Fgfr1/Apoe/Plxna4/Mgll/Lrp1/Agr2/Cacna2d2/L1cam/Ncam1/Sema5b/Stc2/Map2/Agt/Myoz1/Fgf2/Hlx/Npy1r/Slit1/Sgip1/Prlh/Sema6c/Ppara/Tbx1/Spaar/Acacb/Sema3g/Adcy10/Hey2/H19/Arx/Adrb1/Rgma/Dio3/Wnt2/RGD1307443/Rbp4/Ngf/Zfpm2/Rgs4/Bcl11a/Cdh4/Map1b/Cxcl12/Mt3/Plcb1/P2rx5/Ntn1/Epha7/Cav3/Sema3d/Rtn4r/Tgfbr3/Colq/Ar/Gdf5/Dcx/Prkn/Islr2/Akap6/Pi16/Igf2/Cacna1c/Fgf13/Rims1/Tshr/Syt1/Syt4/Col14a1/Musk/Omg/Ntrk3/Cacng7/Tnr/Wt1/Lep/Adrb3
