,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
rno04080,rno04080,Neuroactive ligand-receptor interaction,182,-0.655117087,-1.902523548,3.76E-12,4.17E-10,2.97E-10,2425,"tags=51%, list=16%, signal=43%",Gzma/Avpr1a/Tbxa2r/Lpar3/S1pr1/Grik5/Htr2a/Paqr6/Thrb/P2ry4/Npw/Pdyn/Thra/Calcrl/Chrne/Gria3/Grin2d/Cysltr1/P2rx2/Lypd6/Chrna10/Pyy/S1pr3/Chrnb2/Agt/Sstr2/Hrh3/Crhr2/Npy1r/Adora2b/Prlh/Lpar1/P2rx7/Grpr/Apela/Ptger3/Adrb1/Ptger1/Grin1/Chrm1/Vipr2/Vgf/Gcgr/Lpar4/Cnr1/Pth1r/Gcg/Agtr1a/Ppy/Lepr/P2rx5/Tacr1/Trpv1/Htr2b/P2rx1/Galr2/Adra1d/Ptgfr/Nmu/Adora1/Ghrl/Adcyap1r1/Prlr/Edn2/Glra1/Grid1/Chrm4/Tacr3/Chrna5/Galr1/Grik3/Tshr/Gal/Tac3/Penk/Chrnb4/Chrnb3/Mtnr1a/Oprl1/Vip/Gabra3/Sst/Grik2/Lep/Ntsr1/Adrb3/Chrna6/Oxtr/Npy4r/Tacr2/Grp/Chrna3
rno04261,rno04261,Adrenergic signaling in cardiomyocytes,121,-0.653690953,-1.843148988,6.25E-08,1.89E-06,1.35E-06,2991,"tags=47%, list=20%, signal=38%",Adcy4/Myl4/Pik3r6/Fxyd2/Ppp2r3a/Prkca/Creb5/Rps6ka5/Kcnk2/Slc8a2/Rapgef4/Scn5a/Creb3l4/Mapk12/Creb3l2/Mapk11/Slc8a1/Adcy9/Atp2a3/Rapgef3/Creb3l1/Akt3/Tpm1/Cacna2d2/Agt/Adcy1/Camk2g/Scn1b/Ppp1r1a/Cacna1d/Adrb1/Ryr2/Agtr1a/Plcb1/Atp1b2/Camk2a/Cacnb1/Adra1d/Cacnb2/Cacng4/Atp2b4/Cacna2d1/Cacna2d3/Adcy5/Ppp2r2c/Cacna1c/Scn4b/Tpm2/Popdc3/Cacng7/Popdc2/Atp2b2/Atp1a2/Bves/Cacnb4/Scn7a/Atp2b3
rno04725,rno04725,Cholinergic synapse,93,-0.637244587,-1.772255047,1.15E-05,0.000159608,0.000113519,2057,"tags=39%, list=14%, signal=34%",Creb3l4/Creb3l2/Adcy9/Gng7/Cacna1a/Gng11/Creb3l1/Itpr1/Akt3/Gnb3/Chrnb2/Adcy1/Camk2g/Gnb5/Gng3/Cacna1d/Gnao1/Chrm1/Ache/Gng8/Plcb1/Kcnq3/Kcnq5/Camk2a/Cacna1b/Chat/Kcnj3/Kcnj12/Adcy5/Chrm4/Kcnq4/Cacna1c/Chrnb4/Chrna6/Slc5a7/Chrna3
rno04974,rno04974,Protein digestion and absorption,76,-0.630675612,-1.721763127,7.68E-05,0.000881433,0.000626908,2914,"tags=59%, list=20%, signal=48%",Kcnk5/Fxyd2/Slc36a4/Slc16a10/Col15a1/Col5a2/Slc8a2/Col6a3/Slc8a1/Col11a2/Col6a4/Col1a1/Col6a2/Col5a3/Col6a1/Col4a5/Col16a1/Col5a1/Col1a2/Col3a1/Col6a5/Col24a1/Col8a1/Slc9a3/Col20a1/Slc7a15/Xpnpep2/Col27a1/Col9a2/Col28a1/Eln/Col4a6/Col8a2/Cpa3/Col11a1/Mep1a/Pga5/Col4a3/Atp1b2/Col25a1/Ace2/Col6a6/Col14a1/Slc6a19/Atp1a2
rno04024,rno04024,cAMP signaling pathway,167,-0.627985204,-1.80953572,5.46E-09,2.27E-07,1.62E-07,2332,"tags=37%, list=16%, signal=31%",Pde3a/Rapgef4/Hcn2/Creb3l4/Npr1/Creb3l2/Adcy9/Atp2a3/Gli1/Pde10a/Gria3/Grin2d/Pde3b/Rapgef3/Ffar2/Ppp1r12a/Creb3l1/Lipe/Akt3/Vav2/Sstr2/Adcy1/Camk2g/Crhr2/Npy1r/Ppara/Cacna1d/Adcy10/Ptger3/Adrb1/Ryr2/Grin1/Mapk10/Chrm1/Vipr2/Pde4c/Gcg/Gli3/Atp1b2/Camk2a/Hcar1/Adora1/Atp2b4/Ghrl/Adcyap1r1/Edn2/Adcy5/Fxyd1/Cacna1c/Myl9/Tshr/Popdc3/Popdc2/Atp2b2/Atp1a2/Bves/Cnga3/Atp2b3/Vip/Sst/Oxtr
rno04020,rno04020,Calcium signaling pathway,190,-0.623847099,-1.811137152,1.53E-09,8.51E-08,6.06E-08,2772,"tags=44%, list=19%, signal=36%",Slc25a4/P2rx6/Prkca/Hrh1/Prkcg/Stim1/Vegfb/Pdgfa/Gnal/Cd38/Avpr1a/Tbxa2r/Slc8a2/Htr2a/Flt4/Fgfr3/Nfatc4/Slc8a1/Adcy9/Atp2a3/Itpkb/Plcd4/Fgfr1/Grin2d/Cacna1a/Cysltr1/Itpr1/P2rx2/Fgf1/Gna14/Adcy1/Fgf2/Camk2g/Adora2b/P2rx7/Grpr/Plcd1/Cacna1d/Pde1c/Pdgfd/Ptger3/Hrc/Cacna1g/Adrb1/Ryr2/Ptger1/Gdnf/Grin1/Egf/Chrm1/Ngf/Agtr1a/Plcb1/P2rx5/Tacr1/Mst1/Htr2b/P2rx1/Camk2a/Cacna1b/Adra1d/Ret/Vegfd/Ptgfr/Atp2b4/Cacna1h/Pde1b/Mylk/Phkg1/Tacr3/Cacna1c/Ntrk2/Ntrk3/Atp2b2/Atp2b3/Nos1/Cacna1e/Sln/Ntsr1/Adrb3/Oxtr/Tacr2/Ryr3
rno04728,rno04728,Dopaminergic synapse,107,-0.613414709,-1.712676715,1.01E-05,0.000145961,0.000103813,2780,"tags=36%, list=19%, signal=29%",Ppp2r3a/Prkca/Creb5/Prkcg/Gnal/Gng13/Slc18a2/Creb3l4/Mapk12/Creb3l2/Mapk11/Gng7/Gria3/Cacna1a/Gng11/Creb3l1/Itpr1/Akt3/Gnb3/Camk2g/Gnb5/Kif5c/Gng3/Cacna1d/Kcnj5/Gnao1/Mapk10/Gng8/Plcb1/Camk2a/Cacna1b/Kcnj3/Adcy5/Ppp2r2c/Kif5a/Cacna1c/Maob/Caly
rno03320,rno03320,PPAR signaling pathway,62,-0.599213456,-1.590484883,0.001974275,0.012890853,0.009168459,1865,"tags=47%, list=13%, signal=41%",Acadm/Acox1/Cyp27a1/Scp2/Acsbg2/Ilk/Ehhadh/Pltp/Slc27a6/Acaa1b/Fabp4/Cpt1c/Fabp3/Cyp8b1/Ppara/Acsl6/Sorbs1/Cd36/Slc27a2/Lpl/Fabp2/Hmgcs2/Fabp1/Apoa1/Pck1/Rxrg/Fabp6/Plin4/Plin1
rno04512,rno04512,ECM-receptor interaction,77,-0.546438027,-1.490738235,0.009044957,0.040159609,0.028563022,2226,"tags=43%, list=15%, signal=37%",Col6a3/Chad/Itgb3/Lama4/Col6a4/Col1a1/Fn1/Col6a2/Col6a1/Col4a5/Sv2a/Col1a2/Itga9/Col6a5/Itga5/Lamb2/Col9a2/Comp/Col4a6/Npnt/Cd36/Vtn/Itga1/Lama2/Col4a3/Thbs3/Itga7/Sv2c/Col6a6/Frem1/Lamc3/Sv2b/Tnr
rno04514,rno04514,Cell adhesion molecules,135,-0.519443107,-1.479290797,0.002370108,0.014891435,0.010591348,2092,"tags=30%, list=14%, signal=26%",Cldn8/Cldn11/Ntng2/Slitrk6/Cldn15/Sdc3/Jam3/Cd34/Sdc2/Cldn5/Cldn1/L1cam/Itga9/Ncam1/Lrrc4/Cdh2/Jam2/Cntn2/Cldn17/Cntn1/Nlgn3/Nfasc/Nrxn3/Cntnap1/Nrxn1/Cadm3/Cdh4/Slitrk2/Lrrc4c/Nrcam/Nrxn2/Ntng1/Lrrc4b/Negr1/Cntnap2/Slitrk5/Slitrk3/Slitrk1/Mpz/Ncam2
