"","unique_genes","Entrez","Ensembl","Symbols"
"24564",5.31674077431653,"24564","ENSRNOG00000003171","Mpz"
"315039",5.23068970574729,"315039","ENSRNOG00000011136","Osr2"
"24883",4.91016394744508,"24883","ENSRNOG00000013074","Wt1"
"24620",4.84403718151343,"24620","ENSRNOG00000006579","Reg3g"
"497986",4.8299259709083,"497986","ENSRNOG00000007823","Hoxb6"
"24618",4.76670775383251,"24618","ENSRNOG00000006151","Reg3b"
"25426",4.42607621653594,"25426","ENSRNOG00000040287","Cyp1b1"
"25575",4.39795546587555,"25575","ENSRNOG00000020196","Scgb1a1"
"29475",4.18605923246085,"29475","ENSRNOG00000052017","Dio3"
"24457",4.16540737372763,"24457","ENSRNOG00000007585","Hoxb8"
"64190",4.14678202393044,"64190","ENSRNOG00000014578","Fxyd4"
"497985",4.08764256628299,"497985","ENSRNOG00000007611","Hoxb7"
"89803",4.08263231823648,"89803","ENSRNOG00000054957","Sfrp4"
"24249",3.9503793680095,"24249","ENSRNOG00000004222","S100g"
"29500",3.91832333398119,"29500","ENSRNOG00000037753","Slc10a2"
"170578",3.83884144091992,"170578","ENSRNOG00000060343","Asz1"
"25239",3.78897309313952,"25239","ENSRNOG00000048273","Apod"
"116474",3.65347255764165,"116474","ENSRNOG00000016463","Prl2a1"
"282836",3.64694262245109,"282836","ENSRNOG00000004578","Cthrc1"
"362188",3.49449931384112,"362188","ENSRNOG00000028008","Slc5a12"
"613220",3.42597245600558,"613220","ENSRNOG00000029462","Defal1"
"24795",3.34293001467619,"24795","ENSRNOG00000029949","Serpina3n"
"290856",3.33386231841994,"290856","ENSRNOG00000030524","Defa24"
"171134",3.28479387118413,"171134","ENSRNOG00000008539","Lgals2"
"288154",3.26551216776186,"288154","ENSRNOG00000001588","Hoxd13"
"114091",3.25652110756772,"114091","ENSRNOG00000009342","Fcnb"
"290655",3.2199333962991,"290655","ENSRNOG00000020030","Crlf1"
"292594",3.1644414776046,"292594","ENSRNOG00000027811","Lilrb4"
"494500",3.12756346068994,"494500","ENSRNOG00000056847","Gsta3"
"315866",3.11423343153081,"315866","ENSRNOG00000025184","Prss35"
"64576",3.11067154708066,"64576","ENSRNOG00000005277","Ptprv"
"408233",3.05651531597564,"408233","ENSRNOG00000008252","Spink4"
"171028",3.04928786691796,"171028","ENSRNOG00000020685","Atp12a"
"498658",3.03379625907581,"498658","ENSRNOG00000068468","Defa9"
"689388",3.02397004786945,"689388","ENSRNOG00000012280","Ptx3"
"499951",2.97254286021868,"499951","ENSRNOG00000058983","Gata5"
"171410",2.94469446925168,"171410","ENSRNOG00000011381","Acsbg1"
"252885",2.92302037875248,"252885","ENSRNOG00000063956","Hoxc6"
"117261",2.88424323997198,"117261","ENSRNOG00000011598","Slc15a1"
"25054",2.86880939298118,"25054","ENSRNOG00000018839","Ntrk2"
"60575",2.8686917370114,"60575","ENSRNOG00000019854","Napsa"
"301482",2.86708520698352,"301482","ENSRNOG00000015248","Abca12"
"24763",2.85497123888711,"24763","ENSRNOG00000032246","Acsm3"
"29576",2.81744340580647,"29576","ENSRNOG00000010666","Ccn5"
"315761",2.81486637072835,"315761","ENSRNOG00000029911","Cilp"
"691092",2.75852401827885,"691092","ENSRNOG00000070704","Ncr3lg1"
"445583",2.75570056655026,"445583","ENSRNOG00000019046","Reg4"
"25335",2.73980724980734,"25335","ENSRNOG00000010507","Mmp7"
"691277",2.71259574042046,"691277","ENSRNOG00000053179","LOC691277"
"301039",2.71080187881406,"301039","ENSRNOG00000026951","Susd5"
"292697",2.70802994274137,"292697","ENSRNOG00000018402","Apoc2"
"362850",2.70260555112205,"362850","ENSRNOG00000007545","Angptl4"
"613224",2.69672146803144,"613224","ENSRNOG00000062395","Defa8"
"298518",2.6862420306094,"298518","ENSRNOG00000008759","Csf3r"
"503049",2.67800080897859,"503049","ENSRNOG00000032508","Acot5"
"81687",2.66593265295486,"81687","ENSRNOG00000017539","Mmp9"
"500973",2.65550026053715,"500973","ENSRNOG00000039390","Slc37a2"
"360750",2.63854045028958,"360750","ENSRNOG00000028531","Ccl25"
"363674",2.59718373221882,"363674","ENSRNOG00000004805","Stac2"
"24360",2.58429622874008,"24360","ENSRNOG00000006675","Fabp1"
"613223",2.57881942369348,"613223","ENSRNOG00000029522","Defa6"
"84397",2.56433926562086,"84397","ENSRNOG00000050792","Tnfaip6"
"691810",2.54544663495069,"691810","ENSRNOG00000026764","Pla2g4c"
"50621",2.5214220394899,"50621","ENSRNOG00000061695","Slc23a1"
"296184",2.51695899159722,"296184","ENSRNOG00000005792","Ankef1"
"266813",2.4996922956663,"266813","ENSRNOG00000003720","Prrx1"
"170573",2.48641564151957,"170573","ENSRNOG00000006653","Slc38a4"
"24237",2.48384843219371,"24237","ENSRNOG00000024115","C6"
"691275",2.42493841525177,"691275","ENSRNOG00000015690","Adad2"
"25654",2.40466849840537,"25654","ENSRNOG00000023148","Col11a1"
"246250",2.39006180430861,"246250","ENSRNOG00000001001","Retn"
"688542",2.38816331072607,"688542","ENSRNOG00000048823","LOC688542"
"58980",2.38763688835488,"58980","ENSRNOG00000008121","Slc13a1"
"25043",2.37326774253242,"25043","ENSRNOG00000001469","Eln"
"681849",2.36921218608682,"681849","ENSRNOG00000005934","Mlip"
"362879",2.36881339495817,"362879","ENSRNOG00000021833","Myrfl"
"65144",2.36177535717418,"65144","ENSRNOG00000000096","Pdzk1"
"24482",2.33798639541377,"24482","ENSRNOG00000004517","Igf1"
"282821",2.33759241118973,"282821","ENSRNOG00000010994","Has1"
"266770",2.33169324455441,"266770","ENSRNOG00000053769","Soat2"
"300455",2.32691451146127,"300455","ENSRNOG00000015357","Bmper"
"81523",2.31808565810174,"81523","ENSRNOG00000003221","Myoc"
"292844",2.29322485320776,"292844","ENSRNOG00000037339","Siglec10"
"367956",2.28770029904465,"367956","ENSRNOG00000003409","Ldoc1"
"84395",2.2756158523581,"84395","ENSRNOG00000004626","Slc34a2"
"102553842",2.26212367272595,"102553842","ENSRNOG00000069591","Hoxd11"
"691517",2.24345048278779,"691517","ENSRNOG00000010634","Megf11"
"315611",2.23882210075911,"315611","ENSRNOG00000026679","Scn4b"
"24231",2.22797684026821,"24231","ENSRNOG00000051235","C2"
"25256",2.22060852569203,"25256","ENSRNOG00000034191","Fmo1"
"302473",2.21281626017118,"302473","ENSRNOG00000062783","Slitrk4"
"301287",2.19963274241579,"301287","ENSRNOG00000058742","Pkhd1"
"25629",2.19464873202186,"25629","ENSRNOG00000015086","Plin1"
"303413",2.17210917919862,"303413","ENSRNOG00000008310","Mpo"
"54249",2.17017409869435,"54249","ENSRNOG00000033564","Cfd"
"501232",2.15672690890163,"501232","ENSRNOG00000070517","Cesl1"
"59302",2.15180890775119,"59302","ENSRNOG00000002984","Bmp15"
"310900",2.13820138301329,"310900","ENSRNOG00000010655","Mttp"
"497948",2.13498954842226,"497948","ENSRNOG00000019606","Trpv3"
"304131",2.13256579414895,"304131","ENSRNOG00000001584","Map3k7cl"
"287450",2.11656505454727,"287450","ENSRNOG00000018748","Slc16a11"
"307404",2.11057428144293,"307404","ENSRNOG00000026060","Arsi"
"305941",2.11041288402228,"305941","ENSRNOG00000014603","Sgcg"
"288153",2.1100988948437,"288153","ENSRNOG00000001578","Hoxd4"
"305691",2.10077456275591,"305691","ENSRNOG00000014661","Zfp385d"
"116726",2.09037920666765,"116726","ENSRNOG00000012344","Slc7a9"
"298873",2.07333165946592,"298873","ENSRNOG00000006119","Slc7a15"
"497988",2.06683188759072,"497988","ENSRNOG00000008191","Hoxb4"
"287167",2.05952559604305,"287167","ENSRNOG00000047321","Hba-a3"
"691141",2.05776653270553,"691141","ENSRNOG00000033256","LOC691141"
"366441",2.04344809376979,"366441","ENSRNOG00000042950","Slc5a9"
"54232",2.03838760097431,"54232","ENSRNOG00000010079","Car3"
"296156",2.03370171432036,"296156","ENSRNOG00000021220","Cpxm1"
"108348153",2.02377994492974,"108348153","ENSRNOG00000048295","Dmrtc1a"
"24599",2.02123923756659,"24599","ENSRNOG00000057443","Nos2"
"497840",2.017194172495,"497840","ENSRNOG00000013704","Cps1"
"29595",2.00078444189859,"29595","ENSRNOG00000010063","Htr2a"
"301476",1.99497138600935,"301476","ENSRNOG00000027430","Ikzf2"
"303991",1.98967413059962,"303991","ENSRNOG00000001581","Hoxd10"
"288152",1.98543876210155,"288152","ENSRNOG00000001577","Hoxd3"
"298579",1.98361511144897,"298579","ENSRNOG00000016826","Pla2g2d"
"80900",1.97762081465601,"80900","ENSRNOG00000047493","Slco1a5"
"29168",1.95903669929801,"29168","ENSRNOG00000000767","Ubd"
"266704",1.95002177310514,"266704","ENSRNOG00000028810","Gzmf"
"29483",1.94844602728923,"29483","ENSRNOG00000016163","Slc1a3"
"360814",1.94782975422014,"360814","ENSRNOG00000001374","Rasal1"
"83575",1.93160439406074,"83575","ENSRNOG00000008947","Cpz"
"100910104",1.92696286009483,"100910104","ENSRNOG00000037085","Xirp1"
"300027",1.92241497806095,"300027","ENSRNOG00000064680","Gpihbp1"
"361993",1.92235217546909,"361993","ENSRNOG00000043445","Them5"
"664630",1.91968631344621,"664630","ENSRNOG00000026501","Slc6a19"
"64569",1.9157201240461,"64569","ENSRNOG00000000855","Lst1"
"303924",1.91059785462117,"303924","ENSRNOG00000027380","Upk1b"
"683720",1.90553316652174,"683720","ENSRNOG00000058340","Krt79"
"363654",1.902101228355,"363654","ENSRNOG00000003865","Tmigd1"
"309122",1.89575448854725,"309122","ENSRNOG00000062678","H19"
"311287",1.8899880033947,"311287","ENSRNOG00000004731","Ano3"
"25632",1.88125507367444,"25632","ENSRNOG00000029886","Hba-a1"
"307859",1.86833061327599,"307859","ENSRNOG00000021521","Chst5"
"289625",1.86696480702214,"289625","ENSRNOG00000002834","Klb"
"66015",1.86673325626351,"66015","ENSRNOG00000003538","Adamts4"
"24906",1.86553068852495,"24906","ENSRNOG00000002820","LOC24906"
"84380",1.84777026762196,"84380","ENSRNOG00000053675","Dhh"
"308569",1.84605329532208,"308569","ENSRNOG00000021659","Acp4"
"296269",1.84588570389049,"296269","ENSRNOG00000005008","Angpt4"
"361612",1.84442508253628,"361612","ENSRNOG00000017118","P4ha3"
"117130",1.84408599681757,"117130","ENSRNOG00000001251","Grifin"
"100912265",1.83977915502671,"100912265","ENSRNOG00000056733","Cyp2c66"
"25353",1.8342985214829,"25353","ENSRNOG00000043451","Spp1"
"406161",1.83428846306202,"406161","ENSRNOG00000070397","C4b"
"25440",1.83123186969125,"25440","ENSRNOG00000003902","Fabp6"
"310914",1.82732467160409,"310914","ENSRNOG00000016289","Bmpr1b"
"361669",1.82272449839587,"361669","ENSRNOG00000016737","Tcerg1l"
"311956",1.81344263301377,"311956","ENSRNOG00000025735","Wdr86"
"306564",1.80924617668751,"306564","ENSRNOG00000061160","Htra4"
"309178",1.80729426100399,"309178","ENSRNOG00000021018","Batf2"
"300207",1.80309959878257,"300207","ENSRNOG00000057264","Spmip11"
"360816",1.79528702963772,"360816","ENSRNOG00000001391","Sdsl"
"360757",1.7918323670656,"360757","ENSRNOG00000000906","Medag"
"25342",1.79128325602045,"25342","ENSRNOG00000005806","Oxtr"
"303879",1.77184493244878,"303879","ENSRNOG00000001765","Slc51a"
"113931",1.7688664887992,"113931","ENSRNOG00000058329","Prrx2"
"29563",1.76244063413982,"29563","ENSRNOG00000022101","Crabp2"
"25608",1.75679540784472,"25608","ENSRNOG00000045797","Lep"
"364719",1.75653089965953,"364719","ENSRNOG00000057865","Prss16"
"246245",1.75465344388434,"246245","ENSRNOG00000003510","Fmo2"
"365901",1.75225401675525,"365901","ENSRNOG00000019296","Gnat2"
"89824",1.75129687641113,"89824","ENSRNOG00000053272","Chi3l1"
"246253",1.75056475461001,"246253","ENSRNOG00000001821","Adipoq"
"450223",1.74684774829026,"450223","ENSRNOG00000061394","Clec4e"
"294431",1.72916881533495,"294431","ENSRNOG00000000825","Calhm5"
"497987",1.72722644922686,"497987","ENSRNOG00000008010","Hoxb5"
"498236",1.72581181116508,"498236","ENSRNOG00000025987","Mroh3"
"301227",1.71971297734391,"301227","ENSRNOG00000013578","Trem2"
"102550533",1.71795666517319,"102550533","ENSRNOG00000070718","LOC102550533"
"84588",1.71533378454666,"84588","ENSRNOG00000010263","Cldn11"
"313589",1.71132328770351,"313589","ENSRNOG00000009656","Rspo1"
"303488",1.71117317397226,"303488","ENSRNOG00000008313","Hoxb3"
"29393",1.70703396048849,"29393","ENSRNOG00000003897","Col1a1"
"120100476",1.70286409508398,"120100476","ENSRNOG00000061678","Snord100"
"296504",1.69697716667922,"296504","ENSRNOG00000045801","Abo2"
"29403",1.68960909480747,"29403","ENSRNOG00000030726","Asgr2"
"24440",1.68768646213788,"24440","ENSRNOG00000047098","Hbb"
"494206",1.68457943709933,"494206","ENSRNOG00000064635","Ly49si1"
"140722",1.67411915589427,"140722","ENSRNOG00000003195","Caskin1"
"303659",1.66571660882563,"303659","ENSRNOG00000003105","Kif19"
"296469",1.66447773797688,"296469","ENSRNOG00000031834","Nkain4"
"59106",1.66426422774373,"59106","ENSRNOG00000012094","Ltbp2"
"317409",1.65785499990623,"317409","ENSRNOG00000046858","Arxes1"
"298878",1.65647287749266,"298878","ENSRNOG00000004210","Osr1"
"308350",1.65089948987634,"308350","ENSRNOG00000046683","Lilrb3"
"282583",1.63805348125153,"282583","ENSRNOG00000007338","Fbln2"
"362442",1.63715024247903,"362442","ENSRNOG00000007247","A2ml1"
"24225",1.6347936569484,"24225","ENSRNOG00000047466","Bdnf"
"362429",1.62329696625141,"362429","ENSRNOG00000015505","Mfap5"
"365298",1.59999250897319,"365298","ENSRNOG00000011659","Alpk3"
"688155",1.59996538404031,"688155","ENSRNOG00000067203","B4galnt2"
"311426",1.59945905277233,"311426","ENSRNOG00000021243","Siglec1"
"25196",1.59824329169958,"25196","ENSRNOG00000060237","Inhbb"
"100910144",1.5982192305077,"100910144","ENSRNOG00000013808","Ces2"
"317218",1.586159708884,"317218","ENSRNOG00000002365","Itm2a"
"679784",1.57084211474802,"679784","ENSRNOG00000022505","Slc17a4"
"24451",1.56862121426126,"24451","ENSRNOG00000014117","Hmox1"
"120103262",1.56409684061636,"120103262","ENSRNOG00000057993","Snord38b"
"292902",1.56329890243994,"292902","ENSRNOG00000025220","Slc6a16"
"360559",1.56049304229509,"360559","ENSRNOG00000008040","Pimreg"
"690045",1.55774216993409,"690045","ENSRNOG00000053661","Klra17"
"83569",1.54964602282364,"83569","ENSRNOG00000050860","Abcb11"
"24153",1.54933633836848,"24153","ENSRNOG00000028896","A2m"
"315789",1.54882342710361,"315789","ENSRNOG00000057501","Fam81a"
"691352",1.54487058459773,"691352","ENSRNOG00000038422","LOC691352"
"287112",1.54280477329708,"287112","ENSRNOG00000039656","Abca17"
"303480",1.53754251048274,"303480","ENSRNOG00000007491","Hoxb13"
"501031",1.53189619710376,"501031","ENSRNOG00000042726","RGD1560775"
"294252",1.5302507174577,"294252","ENSRNOG00000000857","Msh5"
"360576",1.52965415435636,"360576","ENSRNOG00000022239","Trarg1"
"100912936",1.51795715047586,"100912936","ENSRNOG00000071108","Hoxd8"
"366189",1.5172033842969,"366189","ENSRNOG00000006753","Tgm3"
"100911661",1.51656059713347,"100911661","ENSRNOG00000067370","LOC100911661"
"25651",1.5145944997512,"25651","ENSRNOG00000002794","Selp"
"25748",1.51452796557183,"25748","ENSRNOG00000000167","Alas2"
"60665",1.51316153737601,"60665","ENSRNOG00000002843","Cxcl6"
"311547",1.50896467535366,"311547","ENSRNOG00000008529","Foxs1"
"682076",1.50894150074424,"682076","ENSRNOG00000046959","Mnx1"
"50692",1.50031116233668,"50692","ENSRNOG00000037931","Plaur"
