"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006959","BP","GO:0006959","humoral immune response",128,0.697385752226008,2.08253657745681,7.58369655106357e-12,5.88267341466001e-08,5.3453086427286e-08,1732,"tags=43%, list=12%, signal=38%","Reg3g/Reg3b/Defal1/Defa24/Fcnb/Defa9/Mmp7/Defa8/Ccl25/Defa6/C6/C2/Cfd/C4b/Trem2/A2m/Cxcl6/Inhca/Ccr2/Tnf/Masp1/C3/C4a/Spon2/Rpl39/Fcgr2b/Cxcl13/Spink5/Cxcl1/Serping1/Svep1/Cd37/Npy/S100a9/C1s/Ccl21/Vip/Rnase6/Cfh/Ccl27/Ptprc/Bcl3/Gimap5/Il1b/C1r/Pf4/Slpi/C8g/Cd81/Cfp/Ccl20/Cd5l/Traf3ip2/C1qb/C1rl"
"GO:0031012","CC","GO:0031012","extracellular matrix",323,0.558975617795034,1.74451407277059,1.98502723414423e-10,7.6989281276284e-07,6.99565387359462e-07,2662,"tags=46%, list=18%, signal=39%","Cthrc1/Fcnb/Ptx3/Ccn5/Cilp/Mmp7/Angptl4/Mmp9/Col11a1/Eln/Igf1/Bmper/Myoc/Adamts4/Angpt4/Col1a1/Mfap5/Lox/Adamts1/Prg4/Vcan/Sned1/Hpse2/Serpinf1/Phospho1/Col5a3/Coch/Sfrp1/Loxl1/Fbn1/Col1a2/Bgn/Sparc/Ccdc80/Col14a1/Apoe/Bcan/Mmp23/Fmod/Col6a6/Mfap2/Spon2/Scara3/Lrrc17/Col3a1/Col7a1/Adamts9/Adamtsl5/Ccn4/Angpt2/Adamtsl2/Thbs4/Mmp2/Adamts15/Mfap4/Col8a1/Svep1/Mgp/Adamts6/Lama1/Col11a2/Adamts2/Ache/Adamts5/Wnt6/Adamts12/Adamtsl4/Adamts20/Matn2/Serpine1/Nid2/Comp/Col9a3/Vwf/Lama4/Lama2/Ptn/Vtn/Lrrc15/Col16a1/Smoc1/Col15a1/Col13a1/Hmcn1/Olfml2a/Adamts10/Abi3bp/Adamts14/Spon1/Hapln1/Col5a1/Col6a1/Ltbp1/Efemp2/Timp1/Postn/Cd180/Hapln3/Thbs2/Col6a2/Fn1/Col4a5/Col4a1/Hspg2/Emid1/Reln/Ecm2/Frem1/Loxl2/Lamb1/Igfbp7/Fgl2/Loxl3/Tgfb3/Spn/Col5a2/Col24a1/Col4a3/Fcna/Ltbp3/Col6a3/Lamb2/Ush2a/Vasn/Lum/Fbln5/Chadl/Adamtsl3/Col4a2/Col12a1/Lingo1/Entpd1/Vwa1/Mmp28/Lamc1/Olfml2b/Clu/Col27a1/P3h1/Lama3/Megf8/Tgfb1/Anxa2/Lama5/Loxl4/Agrn/Thsd4/Col20a1/Npnt/Col18a1"
"GO:0030312","CC","GO:0030312","external encapsulating structure",324,0.56000480074953,1.74671476238008,4.02935693410563e-10,8.85244204063002e-07,8.04379771127723e-07,2662,"tags=47%, list=18%, signal=39%","Cthrc1/Fcnb/Ptx3/Ccn5/Cilp/Mmp7/Angptl4/Mmp9/Col11a1/Eln/Igf1/Bmper/Myoc/Adamts4/Angpt4/Col1a1/Mfap5/Lox/Adamts1/Prg4/Vcan/Sned1/Hpse2/Serpinf1/Phospho1/Col5a3/Coch/Sfrp1/Loxl1/Fbn1/Col1a2/Bgn/Sparc/Ccdc80/Col14a1/Apoe/Bcan/Mmp23/Fmod/Col6a6/Mfap2/Spon2/Scara3/Lrrc17/Col3a1/Col7a1/Adamts9/Adamtsl5/Ccn4/Angpt2/Adamtsl2/Thbs4/Mmp2/Adamts15/Mfap4/Col8a1/Svep1/Mgp/Adamts6/Lama1/Col11a2/Adamts2/Ache/Adamts5/Wnt6/Adamts12/Adamtsl4/Adamts20/Matn2/Serpine1/Nid2/Comp/Col9a3/Pkhd1l1/Vwf/Lama4/Lama2/Ptn/Vtn/Lrrc15/Col16a1/Smoc1/Col15a1/Col13a1/Hmcn1/Olfml2a/Adamts10/Abi3bp/Adamts14/Spon1/Hapln1/Col5a1/Col6a1/Ltbp1/Efemp2/Timp1/Postn/Cd180/Hapln3/Thbs2/Col6a2/Fn1/Col4a5/Col4a1/Hspg2/Emid1/Reln/Ecm2/Frem1/Loxl2/Lamb1/Igfbp7/Fgl2/Loxl3/Tgfb3/Spn/Col5a2/Col24a1/Col4a3/Fcna/Ltbp3/Col6a3/Lamb2/Ush2a/Vasn/Lum/Fbln5/Chadl/Adamtsl3/Col4a2/Col12a1/Lingo1/Entpd1/Vwa1/Mmp28/Lamc1/Olfml2b/Clu/Col27a1/P3h1/Lama3/Megf8/Tgfb1/Anxa2/Lama5/Loxl4/Agrn/Thsd4/Col20a1/Npnt/Col18a1"
"GO:0002683","BP","GO:0002683","negative regulation of immune system process",437,0.526784842230669,1.65577930409844,4.56487922682997e-10,8.85244204063002e-07,8.04379771127723e-07,2716,"tags=35%, list=18%, signal=29%","Scgb1a1/Apod/Lilrb4/Ccl25/Tnfaip6/Igf1/Siglec10/Pla2g2d/Lst1/Adipoq/Trem2/Hmox1/A2m/Sftpd/Ccl3/Ccr2/Mnda/Tnf/Sfrp1/Fbn1/Masp1/Gpnmb/Cd80/Il33/Cd200r1/Alox15/Cd300a/Rab7b/Irak3/Pirb/Mefv/Lrrc17/Fcgr2b/LOC685767/Iapp/Spink5/Slit2/Col3a1/Zc3h12a/Il13ra2/Cd22/Il20rb/Samhd1/Fgr/Tbc1d10c/Ccl2/Lag3/Pla2g5/Gpr18/Bpi/Ypel4/Il27ra/Serping1/Svep1/Fcer1g/Klre1/Cd37/Nfkbid/Zpbp2/Tbx21/Mill1/Npy/Zc3h12d/Cd200/Oas3/Tspan32/Cd68/Tnfaip8l2/Ccl21/Tyrobp/Tmem178a/Tigit/Vsir/Il4i1/Enpp3/Btn2a2/Zc3h8/Il2ra/Nlrc3/Ptprc/Arrb2/Cnr2/RT1-DOb/Gnrh1/Ptpn22/Tafa3/Sla2/Gimap5/Olfm4/Samsn1/RT1-DOa/Cd84/Pf4/Adora2a/Rin3/Klrd1/Pla2g2f/Fcrl5/Bst2/Clnk/Ticam2/C5ar2/Spi1/Ubash3a/Socs1/Fn1/Twist2/Nlrc5/Klrk1/Cd33/Nckap1l/Tnfrsf14/Foxp3/Gpr17/Nod2/Tnfaip3/Fgl2/Loxl3/Cx3cl1/Tgfb3/Spn/Clec2d/Lrrc32/Dusp22/Parp14/Gpx2/Erfe/Trafd1/Gpr137/Mafb/Anxa1/Laptm5/Atm/Susd4/Milr1/Rhbdd3/Glmn/Stat6/Zdhhc18/Btk/Mmp28/Parp3/Tgfb1/Tarbp2/Rassf5/Flt3/Mdk/Irf4/Adgrf5/Runx3/Ripor2/Fas"
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway",369,0.538240561933812,1.68677483150296,9.99266095344077e-10,1.5502614203168e-06,1.40864963672083e-06,2599,"tags=34%, list=18%, signal=29%","Crlf1/Lilrb4/Csf3r/Ccl25/Lep/Adipoq/Trem2/Lilrb3/Cxcl6/Ccl3/Ccr2/Nfkbiz/Ebi3/Tnf/Lilrb2/Sting1/Pira2/Insl3/Foxc1/Ccl7/Ccr3/Il33/Osm/Sphk1/Irak3/Il1a/Pirb/Ifitm6/Cxcl13/Slit2/Ifnlr1/Cxcl1/Il13ra2/Osmr/Il12rb1/Csf2rb/Il20rb/Samhd1/Il1rn/Ccl2/Ccr5/Csf2ra/Irf7/Oas2/Thpol1/Il27ra/Ackr1/Ccl5/Fcer1g/Il18rap/Ccl9/Il21r/Card14/Slit3/Oas3/Ccl21/Cxcr2/Ikbke/Edn1/Duox1/Tnfrsf18/Il2ra/Ptprc/Nr1h4/Il1r1/Il12a/Ifitm3/Il10ra/Nol3/Il1b/Ptprn/Dok1/Pf4/Il23r/Irf3/Il15/Parp9/Ccl4/Il20ra/Il3ra/Numbl/Ticam2/Aim2/Ackr4/Ereg/Inhba/Tnip2/Irf5/Ccl20/Spi1/Socs1/Traf3ip2/Nlrc5/Lilra5/Il2rg/Trim65/Ccl24/Cx3cl1/Cntf/Fzd4/Il16/Csf1r/Parp14/Il2rb/Naip6/Il6r/Acsl1/Laptm5/Ccr9/Bbs4/Vrk2/Fosl1/Ccl17/Tnfrsf1b/Stat6/Epor/Ccr7/Ccr10/Tmsb4x/Cav1/Il17rd/Eda/Mx1/Flt3/Sh2b2/Hpx"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix",211,0.599147284902233,1.83513868166977,1.31477033949288e-09,1.69977892057438e-06,1.54450915670954e-06,2662,"tags=52%, list=18%, signal=43%","Fcnb/Cilp/Angptl4/Col11a1/Eln/Igf1/Myoc/Angpt4/Col1a1/Lox/Adamts1/Prg4/Vcan/Serpinf1/Col5a3/Coch/Sfrp1/Loxl1/Fbn1/Col1a2/Sparc/Ccdc80/Col14a1/Bcan/Fmod/Scara3/Col3a1/Col7a1/Angpt2/Thbs4/Adamts15/Mfap4/Col8a1/Mgp/Lama1/Col11a2/Adamts2/Ache/Adamts5/Adamtsl4/Matn2/Serpine1/Nid2/Comp/Col9a3/Vwf/Lama4/Lama2/Ptn/Vtn/Lrrc15/Col16a1/Smoc1/Col15a1/Col13a1/Hmcn1/Adamts10/Abi3bp/Hapln1/Col5a1/Col6a1/Ltbp1/Efemp2/Timp1/Postn/Hapln3/Thbs2/Col6a2/Fn1/Col4a5/Col4a1/Hspg2/Ecm2/Frem1/Loxl2/Lamb1/Igfbp7/Fgl2/Loxl3/Tgfb3/Spn/Col5a2/Col24a1/Col4a3/Fcna/Ltbp3/Lamb2/Ush2a/Lum/Fbln5/Chadl/Col4a2/Col12a1/Entpd1/Vwa1/Lamc1/Clu/Col27a1/P3h1/Lama3/Megf8/Tgfb1/Anxa2/Lama5/Loxl4/Agrn/Col20a1/Npnt/Col18a1"
"GO:0002253","BP","GO:0002253","activation of immune response",427,0.524863487971539,1.64780625091984,1.84402983256875e-09,2.0434484873194e-06,1.85678552765118e-06,2530,"tags=32%, list=17%, signal=27%","Reg3g/Fcnb/Lilrb4/C6/C2/Cfd/C4b/Clec4e/Trem2/A2m/Nfkbiz/Mnda/Clec4a/Tnf/Sting1/Lbp/Tlr5/Scimp/Masp1/C3/Tifa/Zfp683/C4a/Cd300a/Rab7b/Irak3/Mefv/Fcgr2b/Myo1g/Btnl9/Zc3h12a/Cd22/Fcgr2a/Nfam1/Btnl5/Irf7/Tlr2/Serping1/Themis3/Fcho1/Svep1/Fcer1g/Klre1/Gbp7/Nfkbid/Alpk1/Klrc3/Trim15/C1s/Tlr8/Oas3/Klri1/Ddx60/Tyrobp/Cfh/Cd226/Micb/Btnl4/Cd28/Fyn/Carmil2/Btn2a2/Cmklr1/Nlrc3/LOC681325/Ptprc/Nr1h4/Arrb2/Ptpn22/Clec7a/Sla2/Il1b/C1r/Zap70/Slc15a2/Klrd1/Lat2/Irf3/C8g/Cd81/Fcrl5/Cmtm3/Ticam2/C5ar2/Aim2/Tec/Lime1/Ly96/Colec12/Gbp4/Tnip2/Cfp/Cd5l/Ubash3a/Cd36/C1qb/Slc39a10/Themis2/Lat/C1rl/C3ar1/Klrk1/Nckap1l/Foxp3/Nod2/Tnfaip3/Unc93b1/Lcp2/LOC102556096/Gbp2/Tasl/Spn/Tlr7/Dusp22/Fcna/Gbp5/Blk/Cd3e/Cd8a/Cd14/Card11/Laptm5/Rsad2/Fosl1/Tlr12/Klrc2/Susd4/C1qa/Tlr1/Prkch/Ccr7/Btk/Esr1/Rftn1/Cav1/Tarbp2"
"GO:0005539","MF","GO:0005539","glycosaminoglycan binding",181,0.612869224289015,1.8670493154196,4.29518060223981e-09,4.16471449144678e-06,3.78428017271023e-06,1722,"tags=39%, list=12%, signal=35%","Reg3g/Reg3b/Ccn5/Reg4/Mmp7/Susd5/Tnfaip6/Col11a1/Mpo/Pla2g2d/Trem2/Rspo1/Ltbp2/Selp/Lpl/Adamts1/Ccl3/Vcan/Col5a3/Sfrp1/Fbn1/Bgn/Ccdc80/Apoe/Bcan/Ccl7/Clec3b/Gpnmb/Cxcl13/Pcolce/Slit2/Chrd/Adamtsl5/Layn/Ccn4/Thbs4/Stab1/Ccl2/Adamts15/Pla2g5/Aoc1/Ager/Tlr2/Ccl5/Sulf2/Col11a2/Adamts5/Slit3/Comp/Cfh/Sulf1/Ptn/Vtn/Ptprc/Smoc1/Col13a1/Lyve1/Pf4/Abi3bp/Fstl1/Hapln1/Col5a1/Efemp2/Postn/Hapln3/Thbs2/Itgam/Thbs3/Fn1/Ecm2"
"GO:0050829","BP","GO:0050829","defense response to Gram-negative bacterium",50,0.775785193115965,2.08951606830626,1.80329476378088e-08,1.48214764553717e-05,1.34675785328252e-05,1030,"tags=38%, list=7%, signal=35%","Reg3g/Reg3b/Defal1/Defa24/Defa9/Mmp7/Defa8/Defa6/Nos2/Trem2/Cxcl6/Nfkbiz/Lbp/Lyz2/Lyc2/Slc11a1/Bpi/Serpine1/Rnase6"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity",245,0.567776119466447,1.75323317124992,1.91072276078016e-08,1.48214764553717e-05,1.34675785328252e-05,2771,"tags=41%, list=19%, signal=34%","Lilrb4/Csf3r/C6/C2/C4b/Lep/Trem2/Ccr2/Nfkbiz/Tnf/C3/Fut7/C4a/Cd80/Pirb/Fcgr2b/Myo1g/Tcirg1/Il13ra2/Csf2rb/Fcgr2a/Il20rb/Lag3/RT1-N3/Irf7/Ager/Il27ra/Fcgr1a/Slamf6/Serping1/Svep1/Fcer1g/Klre1/Batf/Il18rap/Tbx21/Il21r/Klrc3/Mill1/Ripk3/C1s/Klri1/Cfh/Cd226/Vsir/Micb/Il4i1/Cd28/Icam1/Ptprc/Arrb2/Il1r1/Il12a/Kmt5c/Bcl3/Gimap5/Il1b/Klrd1/Lyst/Cd81/RT1-CE1/Clnk/Traf3ip2/C1qb/C1rl/Klrk1/Nckap1l/Foxp3/Nod2/Unc93b1/Arid5a/Klrb1c/Was/Spn/Clec2d/Dusp22/Aplf/Il2rb/Pik3r6/Clcf1/Cd8a/Klrb1b/Rsad2/Shld2/Unc13d/Klrc2/Susd4/C1qa/Tnfrsf1b/Stat6/Btk/Rftn1/Sash3/Parp3/Tgfb1/Hpx/Fcer1a/Fas/Stx11/Cd19/C1qc"
"GO:0042742","BP","GO:0042742","defense response to bacterium",183,0.594622120528713,1.81361451145661,2.10731946500642e-08,1.48604337182316e-05,1.35029771652469e-05,2059,"tags=36%, list=14%, signal=31%","Reg3g/Reg3b/Defal1/Defa24/Defa9/Mmp7/Defa8/Defa6/Mpo/Nos2/Adamts4/Clec4e/Trem2/Cxcl6/Inhca/Nfkbiz/Coch/Tnf/Lbp/Lyz2/Lyc2/Spon2/Slc11a1/Cxcl13/Spink5/Emilin2/Scd/Fgr/Stab1/Ccr5/Oas2/Bpi/Il27ra/Fcgr1a/Tlr2/Rnf213/Fcer1g/Gbp7/Adamts5/Mill1/Oas3/Anxa3/Serpine1/Myo1f/Rnase6/Tnfsf8/Ncf1/Nr1h4/Il12a/Bcl3/Il1b/Slpi/Lyst/Plac8/Colec12/Gbp4/Cd36/Klrk1/Tnfrsf14/Nod2/Gbp2/Spn/Gsdmd/Naip6/Gbp5"
