"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno04141","rno04141","Protein processing in endoplasmic reticulum",153,-0.480183744151695,-1.89185757767119,2.50980198537322e-08,4.24156535528073e-06,3.56656071605668e-06,4316,"tags=59%, list=29%, signal=43%","Amfr/Mbtps2/Bcap31/Magt1/Dnajc10/Sec23a/Sec61b/Derl2/Ganab/Atf6/Preb/Dnaja2/Hspbp1/Ube2d2/Plaa/Sec24b/Marchf6/Traf2/Rnf185/Hsp90aa1/Man1b1/Canx/Hyou1/Sar1a/Ube2j1/Erp29/Vcp/Rnf5/Mogs/Hsp90b1/Selenos/Ube2d1/Sar1b/Ssr4/Ckap4/Ubqln1/Sec61a1/Fbxo2/Derl1/Mapk10/Lman2/Sel1l/Hspa8/Dnajb11/Sec24a/Dnajc1/Sil1/Wfs1/Dad1/Eif2ak3/Nploc4/Pdia4/Ube2g1/Dnajc3/Ssr1/Ube2d3/Eif2s1/Ssr2/Skp1/Bag2/Erlec1/Ssr3/Lman1/Rad23b/Ddost/Edem1/P4hb/Herpud1/Pdia3/Calr/Rpn2/Tram1/Man1a2/Stt3b/Man1a1/Edem3/Ostc/Stt3a/Rpn1/Uggt1/Ern1/Sec23b/Ubqln2/Hspa5/Xbp1/Cryab/Sec24d/Txndc5/Map3k5/Lman1l/Hspa4l"
"rno04060","rno04060","Cytokine-cytokine receptor interaction",174,0.602657903681687,1.83231769339586,2.01450935314173e-08,4.24156535528073e-06,3.56656071605668e-06,2559,"tags=48%, list=17%, signal=40%","Csf3r/Ccl25/Bmp15/Bmpr1b/Lep/Inhbb/Cxcl6/Ccl3/Ccr2/Ebi3/Tnf/Ccl7/Tnfsf9/Ngf/Ccr3/Il33/Osm/Il1a/Cxcl13/Ifnlr1/Cxcl1/Il13ra2/Inha/Osmr/Il12rb1/Csf2rb/Il20rb/Il1rn/Ccl2/Ccr5/Csf2ra/Thpol1/Ccl5/Relt/Il18rap/Ccl9/Il21r/Gdf5/Ccl21/Cxcr2/Tnfsf8/Tnfrsf25/Ccl27/Tnfrsf18/Faslg/Il2ra/Il17b/Il1r1/Il12a/Edar/Il10ra/Il1b/Pf4/Il23r/Il15/Ccl4/Il20ra/Il3ra/Ackr4/Acvr1c/Inhba/Ccl20/Gdf7/Tnfrsf14/Il2rg/Ccl24/Cx3cl1/Cntf/Tgfb3/Il16/Csf1r/Bmp3/Il2rb/Il6r/Clcf1/Acvrl1/Ccr9/Ccl17/Tnfrsf1b/Epor/Ccr7/Ccr10/Tgfb1/Eda"
"rno05150","rno05150","Staphylococcus aureus infection",49,0.74686024760064,2.04863318708133,3.97075184180363e-07,4.47371374176543e-05,3.76176490276134e-05,1819,"tags=59%, list=12%, signal=52%","Defal1/Defa24/Defa9/Defa8/Defa6/C2/Cfd/C4b/Selp/Masp1/C3/C4a/Fcgr2b/Fcgr2a/Fcgr1a/Krt36/LOC498276/C1s/Cfh/Icam1/Itgb2/RatNP-3b/RT1-DOb/RT1-DOa/C1r/Itgam/C1qb/C3ar1/RT1-Ha"
"rno04061","rno04061","Viral protein interaction with cytokine and cytokine receptor",60,0.710878227111916,1.99216299518741,6.74929002012098e-07,5.70315006700223e-05,4.79554817219122e-05,2477,"tags=62%, list=17%, signal=52%","Ccl25/Cxcl6/Ccl3/Ccr2/Tnf/Ccl7/Ccr3/Cxcl13/Cxcl1/Il20rb/Ccl2/Ccr5/Ccl5/Il18rap/Ccl9/Ccl21/Cxcr2/Ccl27/Il2ra/Il10ra/Pf4/Ccl4/Il20ra/Ackr4/Ccl20/Tnfrsf14/Il2rg/Ccl24/Cx3cl1/Csf1r/Il2rb/Il6r/Ccr9/Ccl17/Tnfrsf1b/Ccr7/Ccr10"
"rno05144","rno05144","Malaria",39,0.724129347387696,1.9344601460503,2.81893545006961e-05,0.00158800030353921,0.00133528521319087,1927,"tags=62%, list=13%, signal=54%","Hba-a3/Hba-a1/Hbb/Selp/Tnf/Thbs4/Ccl2/Tlr2/Ackr1/Comp/Lrp1/Icam1/Itgb2/Il12a/Il1b/Hgf/Cd81/Vcam1/Thbs2/Cd36/Thbs3/Klrk1/Tgfb3/Klrb1c"
"rno04610","rno04610","Complement and coagulation cascades",50,0.692892622926202,1.90395285499278,2.74274800547313e-05,0.00158800030353921,0.00133528521319087,2461,"tags=60%, list=17%, signal=50%","C6/C2/Cfd/C4b/A2m/Plaur/Masp1/C3/F13a1/Plat/C4a/Serpinf2/Serping1/C1s/Serpine1/Cfh/Vwf/Klkb1/Vtn/Itgb2/C1r/F8/Itgam/C1qb/C3ar1/Proc/Itgax/C1qa/Bdkrb1/Clu"
"rno05012","rno05012","Parkinson disease",231,-0.349504758056598,-1.49050980507099,3.90180203760346e-05,0.00188401298387138,0.00158419030098185,4455,"tags=54%, list=30%, signal=38%","Psma1/Psmd12/Psmc1/Atp5mc2/Cox6a1/COX3/Ndufab1/Sem1/Psmc5/Ndufb8/Psmd2/Psmb1/Adrm1/Ndufs3/ND4/Atf6/Kif5a/Ndufb9/Psmb7/Tubb5/Psma3/Ubc/Psmd7/Psmc4/Uqcrc2/ND2/Slc39a6/Ndufb6/Kif5b/Psmd3/Cox5b/Ndufs6/Uqcrfs1/Psmc6/Cox7b/Psma6/Calm2/Atp5mc3/Atp5mc1/Ndufv1/Vdac3/Atp5f1d/Calm1/Psmd14/Ndufv2/Vdac2/Ube2j1/Psmb5/Psmb6/Psmc2/Ndufa10/Uqcrc1/Atp5f1c/Camk2a/Mapt/Cox4i1/Ndufa11/CYTB/Mfn2/Psma2/Ube2l3/Sdhc/Atp5pf/Atp5pd/Tuba1c/Uba1/Ndufa12/Slc39a14/Ndufc2/Park7/Atp5f1b/Ndufb5/Psmd8/Mapk10/Calm3/Tuba1a/ND3/Ndufa9/Ndufs1/Vdac1/ND5/Tubb2b/Eif2ak3/Bcl2l1/Gnai3/Psmd1/Atp5pb/Tubal3/Ube2g1/Sdha/Slc39a9/Slc39a11/Ndufb11/Eif2s1/Psmb2/Sdhd/COX2/Cycs/Ubb/ATP8/Slc25a5/ND4L/Uchl1/Casp3/Atp5f1a/Slc18a2/Ppif/Tubb4a/Drd2/Ndufa1/Ern1/Sncaip/Ndufa7/Tubb2a/Tuba4a/Tubb4b/Hspa5/Xbp1/Itpr2/Slc39a8/Map3k5/Klc3/Gpr37/Txn1"
"rno00020","rno00020","Citrate cycle (TCA cycle)",29,-0.671152883311628,-2.10819152182502,6.27396876663302e-05,0.00265075180390245,0.00222890995656699,3058,"tags=66%, list=21%, signal=52%","Ogdh/Suclg1/Sdhc/Mdh2/Pck2/Idh2/Sdha/Dlst/Aco2/Sucla2/Fh/Mdh1/Sdhd/Idh3a/Suclg2/Dlat/Ogdhl/Pc/Pck1"
"rno03050","rno03050","Proteasome",40,-0.593393243622836,-1.97784866415494,0.000149348900346588,0.00504799283171467,0.00424465295721881,5401,"tags=80%, list=37%, signal=51%","Psmd4/Psmd11/Psmb4/Psme1/Psmb3/Psma4/Psmc3/Psma1/Psmd12/Psme2/Psmc1/Pomp/Sem1/Psmc5/Psmd2/Psmb1/Adrm1/Psmb7/Psma3/Psmd7/Psmc4/Psmd3/Psmc6/Psma6/Psmd14/Psmb5/Psmb6/Psmc2/Psma2/Psmd8/Psmd1/Psmb2"
"rno04974","rno04974","Protein digestion and absorption",77,0.607393900732215,1.7389775341285,0.000138511396784983,0.00504799283171467,0.00424465295721881,2072,"tags=47%, list=14%, signal=40%","Slc15a1/Col11a1/Eln/Slc7a9/Slc7a15/Slc6a19/Col1a1/Xpnpep2/Ace2/Col5a3/Col1a2/Col14a1/Slc7a7/Col6a6/Col3a1/Col7a1/Col8a1/Mme/Fxyd2/Col11a2/Col9a3/Col16a1/Col15a1/Col13a1/Atp1a2/Col5a1/Col6a1/Col9a1/Col6a2/Col4a5/Col4a1/Atp1a3/Col5a2/Col24a1/Col4a3/Col6a3"
