"","unique_genes","Entrez","Ensembl","Symbols"
"300250",4.84708651689442,"300250","ENSRNOG00000028996","Krt1"
"407762",3.56322042105838,"407762","ENSRNOG00000008436","Krt85"
"29518",3.25281783786693,"29518","ENSRNOG00000020380","Lgals7"
"120093743",2.64635804719374,"120093743","ENSRNOG00000068586","Krt6a"
"450225",2.6194250836227,"450225","ENSRNOG00000030170","Krt10"
"691644",2.42567899018287,"691644","ENSRNOG00000065740","Myh2"
"81712",2.33201932784024,"81712","ENSRNOG00000001955","Retnla"
"25575",2.29448782645049,"25575","ENSRNOG00000020196","Scgb1a1"
"64565",2.2400101050165,"64565","ENSRNOG00000055991","Tmprss11d"
"366082",2.19532861306523,"366082","ENSRNOG00000001587","Hoxd12"
"25080",2.12032716352684,"25080","ENSRNOG00000055909","Apoa4"
"25258",1.87159066671323,"25258","ENSRNOG00000036826","Glycam1"
"24300",1.86768694825522,"24300","ENSRNOG00000063855","Cyp2b1"
"289395",1.84638252315492,"289395","ENSRNOG00000034164","Cr2"
"54246",1.8248104738598,"54246","ENSRNOG00000032805","Cyp2f4"
"117270",1.81090456400723,"117270","ENSRNOG00000001164","Tff1"
"307982",1.75785452454105,"307982","ENSRNOG00000016714","Nrap"
"365871",1.7350002168471,"365871","ENSRNOG00000042717","Ciart"
"24763",1.71375439553044,"24763","ENSRNOG00000032246","Acsm3"
"300247",1.6026354880234,"300247","ENSRNOG00000043203","Krt75"
"308015",1.60245719149911,"308015","ENSRNOG00000060831","Clca1"
"353227",1.53928192822674,"353227","ENSRNOG00000029980","Zbtb16"
"288155",1.50950933397012,"288155","ENSRNOG00000001589","Evx2"
"171045",1.48654583658044,"171045","ENSRNOG00000032626","Mmp3"
"289353",1.47549756685967,"289353","ENSRNOG00000002397","Slc30a10"
"499419",1.43771801780175,"499419","ENSRNOG00000012714","RGD1564149"
"362867",1.43231941484811,"362867","ENSRNOG00000056493","Mybpc1"
"361319",1.41800840838618,"361319","ENSRNOG00000013116","Spink5"
"500566",1.41310800361986,"500566","ENSRNOG00000031448","Stpg1"
"24296",1.39018402033928,"24296","ENSRNOG00000019500","Cyp1a1"
"362018",1.36627433314606,"362018","ENSRNOG00000019780","Sypl2"
"24571",1.26337067840073,"24571","ENSRNOG00000020539","Muc1"
"289369",1.25162148532774,"289369","ENSRNOG00000003738","Ush2a"
"316424",1.250142898577,"316424","ENSRNOG00000014555","Aox4"
"498440",1.24965135818601,"498440","ENSRNOG00000040122","Myoz1"
"54282",1.24160913949439,"54282","ENSRNOG00000007067","Padi1"
"171178",1.23364900264658,"171178","ENSRNOG00000032959","Adh7"
"287702",1.21421942654742,"287702","ENSRNOG00000026371","Krt17"
