"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045104","BP","GO:0045104","intermediate filament cytoskeleton organization",55,0.75691792058313,2.49908968981814,3.89685632765708e-10,1.52113786750094e-06,1.39692044461433e-06,1456,"tags=42%, list=10%, signal=38%","Krt1/Krt85/Krt10/Krt75/Krt17/Ppl/Krt23/Krt80/Pkp1/Krt18/Krt7/Krt84/Shh/Krt20/Fam83h/Eppk1/Krt15/Dsp/Atp8a2/Plec/Evpl/Pkp2/Arhgef28"
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production",432,-0.485410739260108,-1.92372634598162,2.86742131817544e-10,1.52113786750094e-06,1.39692044461433e-06,2081,"tags=30%, list=14%, signal=27%","Nr1h4/Heg1/Gsdmd/Ripk2/Irak3/Casp8/Brca1/Hmgb2/Traf3ip3/RT1-M3-1/Trpv4/Carmil2/Cd2/Ly96/Card9/Tlr1/Syk/Drd2/Irf3/Il7/Sulf1/Gimap5/Il17ra/Pycard/Garin5a/Irf4/Aim2/Casp1/Sulf2/Foxp3/Il12rb1/Cd200/Il1b/Irf1/Mcoln2/Ccdc88b/Il1rl2/B2m/Clu/Irf5/Pde4b/Card11/Postn/Mefv/Oas3/Afap1l2/Lrp1/Htr2b/P2rx7/Tnfrsf8/Laptm5/Trim6/C3/Trim65/Unc93b1/Tlr7/Cd34/Tnfrsf14/Trim15/Lum/Gpsm3/Agt/Cebpb/Oas1a/Cd40/Clec4a/Il15/Ccn1/Ccl2/Il23r/Nlrp3/Tbx21/Ikbke/Tlr8/Cd36/Ticam2/Arrdc4/Adam8/Fcgr2a/Tmem106a/Ccl4/Nod2/Gbp5/Cd3e/Bcl3/Oas2/Fcgr3a/Sphk1/Clec9a/Tigit/Crhr2/Ccr7/Osm/Clec7a/Aif1/Slc11a1/Trem2/Cd81/Hspa1a/Fcer1g/Ccr5/Mmp12/Nfam1/Tyrobp/Serpine1/Cyp1b1/Vegfd/Tnf/Sting1/Fgr/Serpinf2/Tlr2/Batf/Chi3l1/Lbp/Tnfsf9/Ccl20/Cd300c2/Spon2/Lep/Lpl/Scimp/Il1a/Ccr2/Adipoq/Clec4e/H19/Ceacam20/Nos2/Fcnb"
"GO:0001533","CC","GO:0001533","cornified envelope",24,0.872282106646487,2.41691607996299,2.04111184119392e-09,5.3116533814003e-06,4.87789921065676e-06,1009,"tags=54%, list=7%, signal=51%","Krt1/Lgals7/Krt10/Krt75/Krt17/Ppl/Pkp1/Anxa1/Cdsn/Cysrt1/Lgals3/Dsp/Jup"
"GO:0045103","BP","GO:0045103","intermediate filament-based process",56,0.7458781801764,2.47285699426354,7.78862110221244e-09,1.52014412362431e-05,1.39600785071497e-05,1456,"tags=41%, list=10%, signal=37%","Krt1/Krt85/Krt10/Krt75/Krt17/Ppl/Krt23/Krt80/Pkp1/Krt18/Krt7/Krt84/Shh/Krt20/Fam83h/Eppk1/Krt15/Dsp/Atp8a2/Plec/Evpl/Pkp2/Arhgef28"
"GO:0045111","CC","GO:0045111","intermediate filament cytoskeleton",109,0.61084669841988,2.28526332608406,1.28094498341203e-08,2.00006749709955e-05,1.83674026989881e-05,1503,"tags=29%, list=10%, signal=27%","Krt1/Krt85/Krt6a/Krt10/Krt75/Krt17/Ppl/S100a8/Krt23/Krt80/Gsn/Dlgap2/Krt18/Krt7/Krt84/Lmna/Krt20/Hoxa13/Fam83h/Krt8/Eppk1/Krt15/Dsp/Prkce/Jup/Dtna/Plec/Evpl/Slc1a4/Pkp2/LOC102553726/Exd2"
"GO:0045109","BP","GO:0045109","intermediate filament organization",35,0.796316946205643,2.37367322618089,2.53167396510203e-08,3.18505489364777e-05,2.92496057932287e-05,886,"tags=43%, list=6%, signal=40%","Krt1/Krt85/Krt10/Krt75/Krt17/Krt23/Krt80/Pkp1/Krt7/Krt84/Shh/Krt20/Eppk1/Krt15/Dsp"
"GO:0045095","CC","GO:0045095","keratin filament",26,0.837679475089025,2.33289420224323,3.26379392201641e-08,3.18505489364777e-05,2.92496057932287e-05,884,"tags=54%, list=6%, signal=51%","Krt1/Krt85/Krt6a/Krt10/Krt75/Krt17/Krt80/Krt18/Krt7/Krt84/Fam83h/Krt8/Eppk1/Krt15"
"GO:1990266","BP","GO:1990266","neutrophil migration",107,-0.631410403467282,-2.17375787444626,3.15990354471105e-08,3.18505489364777e-05,2.92496057932287e-05,1513,"tags=33%, list=10%, signal=30%","Sell/Il1b/Mcoln2/Pde4b/Cd177/Myo1f/Itgam/Nckap1l/C5ar2/Ccl2/Cxcl1/Adam8/Fcgr2a/Itgb2/Ccl4/Nod2/Ccr7/Ccl17/Fcer1g/Slit2/Tlr2/Cxcr2/Lbp/Ccl20/Ccl9/Bst1/Fut7/Spp1/Il1a/Ccl7/Gp2/Csf3r/Ccl25/Cxcl6/Tnfaip6"
"GO:0005882","CC","GO:0005882","intermediate filament",77,0.660926780859857,2.31488947178827,4.2582002405246e-08,3.69375214197506e-05,3.39211717406001e-05,1445,"tags=35%, list=10%, signal=32%","Krt1/Krt85/Krt6a/Krt10/Krt75/Krt17/Ppl/Krt23/Krt80/Gsn/Dlgap2/Krt18/Krt7/Krt84/Lmna/Krt20/Fam83h/Krt8/Eppk1/Krt15/Dsp/Jup/Plec/Evpl/Slc1a4/Pkp2/LOC102553726"
"GO:0032635","BP","GO:0032635","interleukin-6 production",145,-0.582675711803801,-2.09026743839956,7.97165732648287e-08,4.78728682675783e-05,4.39635287859715e-05,2149,"tags=37%, list=14%, signal=32%","Adora2b/Nr1h4/Ripk2/Irak3/Trpv4/Sirpa/Nlrc3/Card9/Tlr1/Syk/Bank1/Il17ra/Pycard/Foxp3/Cd200/Il1b/Il1rl2/Afap1l2/P2rx7/Laptm5/Unc93b1/Tlr7/Zc3h12a/Nckap1l/Cebpb/C5ar2/Ccn1/Tlr8/Cd36/Ticam2/Tmem106a/Nod2/Crhr2/Clec7a/Aif1/Trem2/Fcer1g/Ccr5/Tyrobp/Vegfd/Tnf/Tlr2/Lbp/Cd300ld/Tnfsf9/Spon2/Lep/Lpl/Scimp/Cd200r1/Il1a/Lilrb4/H19/Nos2"
