"","unique_genes","Entrez","Ensembl","Symbols"
"287408",10.3063946390885,"287408","ENSRNOG00000049695","Myh1"
"116601",9.13316897785663,"116601","ENSRNOG00000047124","Atp2a1"
"171009",8.48290058647127,"171009","ENSRNOG00000019745","Actn3"
"84015",7.9735680068292,"84015","ENSRNOG00000069271","Ttn"
"29389",5.32390143071338,"29389","ENSRNOG00000020276","Tnni2"
"25028",4.52825373222469,"25028","ENSRNOG00000018656","Ampd1"
"56781",4.50042173655249,"56781","ENSRNOG00000013262","Myl1"
"498440",4.27884321599292,"498440","ENSRNOG00000040122","Myoz1"
"311029",4.05654911114348,"311029","ENSRNOG00000006783","Neb"
"688915",3.97887283274984,"688915","ENSRNOG00000023803","Cmya5"
"682930",3.96207387207377,"682930","ENSRNOG00000046231","Cacna1s"
"292879",3.9417838719677,"292879","ENSRNOG00000019627","Mybpc2"
"289395",3.7291202542029,"289395","ENSRNOG00000034164","Cr2"
"308637",3.68376236022104,"308637","ENSRNOG00000015972","Ano5"
"59299",3.42167059683906,"59299","ENSRNOG00000012609","Trdn"
"117537",3.3683852782589,"117537","ENSRNOG00000007461","Klhl41"
"407762",3.25154077204586,"407762","ENSRNOG00000008436","Krt85"
"362867",3.2425408018109,"362867","ENSRNOG00000056493","Mybpc1"
"686019",3.17043488049364,"686019","ENSRNOG00000006930","Casq1"
"307982",3.09885257116689,"307982","ENSRNOG00000016714","Nrap"
"24833",2.98762969600176,"24833","ENSRNOG00000068869","Spink1"
"316330",2.94912764065646,"316330","ENSRNOG00000016151","Ankrd23"
"500036",2.94357036255648,"500036","ENSRNOG00000059350","Ppp1r3a"
"102555814",2.87114852235243,"102555814","ENSRNOG00000063384","LOC102555814"
"24838",2.79996937265564,"24838","ENSRNOG00000020332","Tnnt3"
"29437",2.7704084660448,"29437","ENSRNOG00000017786","Acta1"
"24265",2.65446285010368,"24265","ENSRNOG00000016837","Ckm"
"25575",2.64789562210182,"25575","ENSRNOG00000020196","Scgb1a1"
"338458",2.59386620045385,"338458","ENSRNOG00000058068","Obscn"
"366082",2.53216655524576,"366082","ENSRNOG00000001587","Hoxd12"
"691644",2.5042860846069,"691644","ENSRNOG00000065740","Myh2"
"25722",2.48895262919344,"25722","ENSRNOG00000012134","Scn4a"
"311558",2.43218544981259,"311558","ENSRNOG00000013371","Bpifb6"
"308622",2.42705078139599,"308622","ENSRNOG00000060021","Txlnb"
"289625",2.37063124317879,"289625","ENSRNOG00000002834","Klb"
"24300",2.31629957216393,"24300","ENSRNOG00000063855","Cyp2b1"
"309760",2.3147997763773,"309760","ENSRNOG00000000383","Mypn"
"24763",2.28959862594795,"24763","ENSRNOG00000032246","Acsm3"
"315962",2.23585305588772,"315962","ENSRNOG00000008210","Ky"
"100362676",2.16846284151422,"100362676","ENSRNOG00000025868","Klhl33"
"498579",2.1590477323594,"498579","ENSRNOG00000049942","C16h10orf71"
"54246",2.10517294123712,"54246","ENSRNOG00000032805","Cyp2f4"
"29172",2.09045936658552,"29172","ENSRNOG00000014652","Aqp8"
"309217",2.07509170995645,"309217","ENSRNOG00000020945","Ms4a1"
"25278",2.07049220598788,"25278","ENSRNOG00000019851","Cox6a2"
"54282",2.05589556205799,"54282","ENSRNOG00000007067","Padi1"
"304551",2.0372155929837,"304551","ENSRNOG00000048430","Myo18b"
"288155",2.02950853593188,"288155","ENSRNOG00000001589","Evx2"
"102553298",1.9497059815965,"102553298","ENSRNOG00000064053","Ctxnd1"
"100363484",1.93581651388407,"100363484","ENSRNOG00000010047","Ddit4l"
"686412",1.91602710646233,"686412","ENSRNOG00000050035","Sall4"
"288154",1.90629558327593,"288154","ENSRNOG00000001588","Hoxd13"
"310483",1.90459212683755,"310483","ENSRNOG00000012827","Mlf1"
"24767",1.88712668588431,"24767","ENSRNOG00000030981","Scnn1b"
"171178",1.87432346919777,"171178","ENSRNOG00000032959","Adh7"
"684425",1.8714610959792,"684425","ENSRNOG00000046763","Adss1"
"117092",1.86979516925242,"117092","ENSRNOG00000002555","Serpinb7"
"24188",1.82443218799465,"24188","ENSRNOG00000017619","Aldh1a1"
"24768",1.81266188717327,"24768","ENSRNOG00000017842","Scnn1g"
"64186",1.80154468304035,"64186","ENSRNOG00000004294","Ascl1"
"303333",1.77576120006707,"303333","ENSRNOG00000010291","Slc46a1"
"306616",1.75612543857927,"306616","ENSRNOG00000011754","Myom2"
"24571",1.70160597938126,"24571","ENSRNOG00000020539","Muc1"
"365367",1.67494538696232,"365367","ENSRNOG00000018311","Cd19"
"300663",1.63350050411142,"300663","ENSRNOG00000039086","Ccdc153"
"24701",1.63180728237628,"24701","ENSRNOG00000021090","Pygm"
"289482",1.62097852620856,"289482","ENSRNOG00000002031","Naa11"
"500910",1.61611690190964,"500910","ENSRNOG00000007664","Tnfrsf13c"
"306168",1.60707425521308,"306168","ENSRNOG00000063983","Sox21"
"363112",1.60552728987472,"363112","ENSRNOG00000010545","Mrap2"
"102554934",1.60481880268373,"102554934","ENSRNOG00000064789","LOC102554934"
"29259",1.59430685171994,"29259","ENSRNOG00000002776","Sell"
"292868",1.59404685760996,"292868","ENSRNOG00000067884","Klk1c9"
"365901",1.57284615230742,"365901","ENSRNOG00000019296","Gnat2"
"364973",1.54722925890339,"364973","ENSRNOG00000003737","Best2"
"500306",1.51389920989133,"500306","ENSRNOG00000010344","B4galnt3"
"303399",1.51350225547227,"303399","ENSRNOG00000003544","Tbx4"
"366542",1.50494400897853,"366542","ENSRNOG00000068029","Six2"
"302373",1.4822920451157,"302373","ENSRNOG00000032970","Gpr174"
"365948",1.47847069278094,"365948","ENSRNOG00000032247","Bank1"
"171055",1.45879553774505,"171055","ENSRNOG00000011917","Cd79b"
"300247",1.44533100402715,"300247","ENSRNOG00000043203","Krt75"
"500453",1.44195547273916,"500453","ENSRNOG00000024729","Pax5"
"114243",1.43302760013699,"114243","ENSRNOG00000048706","Nox1"
"287222",1.42905876866871,"287222","ENSRNOG00000021345","Timd2"
"25708",1.40928795032162,"25708","ENSRNOG00000017716","Ucp3"
"171291",1.38715871754024,"171291","ENSRNOG00000011453","Kif6"
"690388",1.3798116066039,"690388","ENSRNOG00000016798","Pla2g2f"
"252931",1.36879414509569,"252931","ENSRNOG00000000969","Cyp3a18"
"313225",1.36370537329369,"313225","ENSRNOG00000008027","Cavin4"
"685989",1.36300688820916,"685989","ENSRNOG00000068016","LOC685989"
"407756",1.31989503466981,"407756","ENSRNOG00000030246","Btla"
"289369",1.29488784407483,"289369","ENSRNOG00000003738","Ush2a"
"120100623",1.29146001922097,"120100623","ENSRNOG00000066716","LOC120100623"
"245953",1.29045663402254,"245953","ENSRNOG00000047714","Tmem37"
"682076",1.27974595554766,"682076","ENSRNOG00000046959","Mnx1"
"114207",1.2553351909181,"114207","ENSRNOG00000020557","Ryr1"
"25438",1.25325825842502,"25438","ENSRNOG00000004078","Eno3"
"680865",1.25225619991701,"680865","ENSRNOG00000058904","Tex13b"
"29511",1.25164353786024,"29511","ENSRNOG00000007574","Padi2"
"301033",1.24723671824782,"301033","ENSRNOG00000030688","Lrrc2"
"29512",1.23809777354279,"29512","ENSRNOG00000006855","Padi4"
"305675",1.22106052911401,"305675","ENSRNOG00000008949","Synpo2l"
"687553",1.20553223429318,"687553","ENSRNOG00000047125","Foxl1"
"100861534",1.20343142039961,"100861534","ENSRNOG00000070263","Rn5-8s"
"24590",1.20206664078207,"24590","ENSRNOG00000009514","Mme"
"308797",1.20181764036102,"308797","ENSRNOG00000012442","Cemip"
"24411",1.20010198715767,"24411","ENSRNOG00000003280","Grin2c"
"288937",1.19480613082406,"288937","ENSRNOG00000002396","Serpinb8"
"64677",1.19379690489545,"64677","ENSRNOG00000027042","Srd5a2"
"293746",1.18364806872007,"293746","ENSRNOG00000020997","Ms4a4c"
"497948",1.17497968148224,"497948","ENSRNOG00000019606","Trpv3"
"293561",1.17265664033874,"293561","ENSRNOG00000014859","Rnf152"
"501047",1.17185573906408,"501047","ENSRNOG00000010663","Col6a5"
"308015",1.15856484965988,"308015","ENSRNOG00000060831","Clca1"
"299616",1.15741268689878,"299616","ENSRNOG00000024975","Atp8b3"
"64190",1.15609995934954,"64190","ENSRNOG00000014578","Fxyd4"
"292844",1.15439275354251,"292844","ENSRNOG00000037339","Siglec10"
"288456",1.15270189559621,"288456","ENSRNOG00000023943","Gbp1-ps1"
"361902",1.14992176185056,"361902","ENSRNOG00000042327","Mroh2b"
"679629",1.1481088040307,"679629","ENSRNOG00000015157","Smtnl2"
"690865",1.13938850181321,"690865","ENSRNOG00000000606","Pcdh15"
"302920",1.13774762063309,"302920","ENSRNOG00000002827","Rbfox1"
"81632",1.13500698565687,"81632","ENSRNOG00000002636","Abat"
"171352",1.12561834791423,"171352","ENSRNOG00000046643","Cyp3a9"
"310550",1.11676188045772,"310550","ENSRNOG00000047473","Dchs2"
"293046",1.11427428462764,"293046","ENSRNOG00000014925","Mesp2"
"499980",1.10802876831073,"499980","ENSRNOG00000012932","Ccdc146"
"57300",1.10360082586836,"57300","ENSRNOG00000013950","Aadac"
"315920",1.08489265970301,"315920","ENSRNOG00000054219","Vsig1"
"24422",1.08352625474333,"24422","ENSRNOG00000029861","Gsta2"
"29629",1.08189759056178,"29629","ENSRNOG00000006957","Gria4"
"361267",1.07142665454072,"361267","ENSRNOG00000021735","Akr1c15"
"296307",1.06465188288789,"296307","ENSRNOG00000019467","Fer1l4"
"102553842",1.05193720736915,"102553842","ENSRNOG00000069591","Hoxd11"
"100913063",1.050360000324,"100913063","ENSRNOG00000020125","Cd79a"
"117544",1.04626323559866,"117544","ENSRNOG00000002128","Ppat"
"680697",1.04442062679756,"680697","ENSRNOG00000043414","Fcrl5"
"100314067",1.04390571994765,"100314067","ENSRNOG00000035595","Mir429"
"100911361",1.04171058672656,"100911361","ENSRNOG00000027006","LOC100911361"
"363425",1.0394763080428,"363425","ENSRNOG00000057713","Cav2"
"313831",1.03624977511218,"313831","ENSRNOG00000004706","Vit"
"315833",1.03479458059575,"315833","ENSRNOG00000006224","Klhl31"
"289515",1.03452137007625,"289515","ENSRNOG00000002782","Epgn"
"246323",1.02796056760787,"246323","ENSRNOG00000004708","Aard"
"25503",1.02613061363218,"25503","ENSRNOG00000001031","Ocm"
"171410",1.02557876338947,"171410","ENSRNOG00000011381","Acsbg1"
"313373",1.0223013360639,"313373","ENSRNOG00000042224","Cyp2j10"
"317517",1.02078973782188,"317517","ENSRNOG00000069252","Ptchd1"
"498287",1.01179743618221,"498287","ENSRNOG00000038286","Slamf6"
"81916",1.00739113701632,"81916","ENSRNOG00000008161","Pdzk1ip1"
"314997",0.996547760831081,"314997","ENSRNOG00000025300","Fer1l6"
