"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030016","CC","GO:0030016","myofibril",190,0.751175213458131,3.08327293425487,5.68671118489028e-27,4.3844543235504e-23,4.0375649412721e-23,891,"tags=24%, list=6%, signal=23%","Myh1/Atp2a1/Actn3/Ttn/Tnni2/Myl1/Myoz1/Neb/Cacna1s/Klhl41/Casq1/Nrap/Ankrd23/Tnnt3/Acta1/Obscn/Myh2/Mypn/Ky/C16h10orf71/Myo18b/Myom2/Cavin4/Ryr1/Synpo2l/Ank1/Jph1/Tcap/Tmod4/Flnc/Ahnak/Trim63/Grk3/Cfl2/Fbxo32/Pgm5/Myom1/Ldb3/Synm/Timp4/Pde4dip/Dmd/Vcl/Cald1/Cav3/Synpo2"
"GO:0043292","CC","GO:0043292","contractile fiber",199,0.741026560706426,3.05737555755641,4.61333560224531e-26,1.77844087466557e-22,1.63773413879709e-22,891,"tags=23%, list=6%, signal=22%","Myh1/Atp2a1/Actn3/Ttn/Tnni2/Myl1/Myoz1/Neb/Cacna1s/Klhl41/Casq1/Nrap/Ankrd23/Tnnt3/Acta1/Obscn/Myh2/Mypn/Ky/C16h10orf71/Myo18b/Myom2/Cavin4/Ryr1/Synpo2l/Ank1/Jph1/Tcap/Tmod4/Flnc/Ahnak/Trim63/Grk3/Cfl2/Fbxo32/Pgm5/Myom1/Ldb3/Synm/Timp4/Pde4dip/Dmd/Vcl/Cald1/Cav3/Synpo2"
"GO:0030017","CC","GO:0030017","sarcomere",169,0.762727569706326,3.0644719510499,5.75611033542091e-25,1.47932035620317e-21,1.36227944604962e-21,679,"tags=22%, list=5%, signal=21%","Myh1/Atp2a1/Actn3/Ttn/Tnni2/Myoz1/Neb/Cacna1s/Klhl41/Casq1/Nrap/Ankrd23/Tnnt3/Acta1/Obscn/Myh2/Mypn/Ky/C16h10orf71/Myo18b/Myom2/Cavin4/Ryr1/Synpo2l/Ank1/Jph1/Tcap/Tmod4/Flnc/Trim63/Grk3/Cfl2/Fbxo32/Pgm5/Myom1/Ldb3/Timp4"
"GO:0031674","CC","GO:0031674","I band",122,0.750637693722808,2.89346630026392,5.42410457829161e-15,1.04549615746571e-11,9.62778562646761e-12,891,"tags=25%, list=6%, signal=24%","Atp2a1/Actn3/Ttn/Myoz1/Neb/Cacna1s/Casq1/Nrap/Ankrd23/Obscn/Mypn/Ky/C16h10orf71/Myo18b/Cavin4/Ryr1/Synpo2l/Ank1/Jph1/Tcap/Flnc/Trim63/Grk3/Cfl2/Fbxo32/Pgm5/Ldb3/Dmd/Vcl/Cav3/Synpo2"
"GO:0010927","BP","GO:0010927","cellular component assembly involved in morphogenesis",103,0.741533052307132,2.79047409850018,9.98522206965919e-14,1.53972124314145e-10,1.4179015338916e-10,715,"tags=22%, list=5%, signal=21%","Ttn/Myoz1/Neb/Klhl41/Casq1/Nrap/Ankrd23/Tnnt3/Acta1/Mypn/Myom2/Synpo2l/Tcap/Cd9/Pla2g3/Tmod4/Flnc/Ccdc136/Cfl2/Edn1/Pgm5/Ldb3/Phldb2"
"GO:0030239","BP","GO:0030239","myofibril assembly",56,0.845194571150817,2.83694868818273,3.8511121706306e-13,4.94867913926032e-10,4.55714940191287e-10,637,"tags=34%, list=5%, signal=33%","Ttn/Myoz1/Neb/Klhl41/Casq1/Nrap/Ankrd23/Tnnt3/Acta1/Mypn/Myom2/Synpo2l/Tcap/Tmod4/Flnc/Cfl2/Edn1/Pgm5/Ldb3"
"GO:0055002","BP","GO:0055002","striated muscle cell development",59,0.833698661670672,2.83748187119345,6.02104841231941e-13,6.63175475128324e-10,6.10706338963826e-10,745,"tags=34%, list=5%, signal=32%","Ttn/Myoz1/Neb/Klhl41/Casq1/Nrap/Ankrd23/Tnnt3/Acta1/Mypn/Myom2/Synpo2l/Tcap/Tmod4/Flnc/Cfl2/Edn1/Pgm5/Ldb3/Dmd"
"GO:0003012","BP","GO:0003012","muscle system process",386,0.507130009054233,2.27630933425322,1.36437916063117e-12,1.31492041605829e-09,1.21088650506016e-09,1242,"tags=19%, list=9%, signal=18%","Myh1/Atp2a1/Actn3/Ttn/Tnni2/Myl1/Myoz1/Cacna1s/Mybpc1/Casq1/Tnnt3/Acta1/Myh2/Scn4a/Scnn1b/Ryr1/Abat/Tlr4/Bmp2/Tcap/Ptgs2/Srl/Kcnd2/Tmod4/Trim63/Cacna2d1/Ptger3/Sgcd/Slc8a3/Trpa1/Ada/Ar/Glra1/Trim72/Tbx2/Ptgs1/Nr4a3/Tiam1/Edn1/Fbxo32/Bmp4/Dsp/Tmem38a/Ccn2/Pde5a/Synm/Trpc3/Atp1a2/Gsn/Dmd/Kcnd3/Tead1/Cald1/Asb15/Cav3/Atp8a2/Sln/Rock1/Rock2/P2ry1/Chrm3/Mef2c/Tacr3/Klf4/Pik3ca/Ednrb/Ctnna3/Scn4b/Nr4a1/Smad3/Calcrl/Tnnc2/Cert1/Nos1/Oga"
"GO:0055001","BP","GO:0055001","muscle cell development",185,0.628828199470179,2.55924613074039,2.06609492925071e-12,1.76995465605811e-09,1.62991933307556e-09,637,"tags=15%, list=5%, signal=15%","Actn3/Ttn/Myoz1/Neb/Cacna1s/Klhl41/Casq1/Nrap/Ankrd23/Tnnt3/Acta1/Mypn/Myo18b/Myom2/Ryr1/Synpo2l/Cav2/Isl1/Tcap/Alpk3/Tmod4/Flnc/Sgcd/Cfl2/Edn1/Bmp4/Pgm5/Ldb3"
"GO:0030018","CC","GO:0030018","Z disc",113,0.715565040981322,2.73288068990637,2.36782876792502e-12,1.82559598007019e-09,1.68115842522676e-09,891,"tags=25%, list=6%, signal=23%","Actn3/Ttn/Myoz1/Neb/Casq1/Nrap/Obscn/Mypn/Ky/C16h10orf71/Myo18b/Cavin4/Ryr1/Synpo2l/Ank1/Jph1/Tcap/Flnc/Trim63/Grk3/Cfl2/Fbxo32/Pgm5/Ldb3/Dmd/Vcl/Cav3/Synpo2"
