"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno04820","rno04820","Cytoskeleton in muscle cells",191,0.679163205627466,2.74255521099176,9.28150889808105e-17,3.11858698975523e-14,2.71606260385951e-14,721,"tags=20%, list=5%, signal=20%","Myh1/Actn3/Ttn/Tnni2/Ampd1/Myl1/Myoz1/Neb/Mybpc2/Mybpc1/Nrap/Ankrd23/Tnnt3/Acta1/Ckm/Obscn/Myh2/Mypn/Myom2/Eno3/Col6a5/Daam2/Tcap/Thbs4/Tmod4/Flnc/Trim63/Sgcd/Itga5/Itgb8/Col4a5/Itgav/Fhl1/Dsp/Itga4/Myom1/Ldb3/Col24a1/Atp1a2"
"rno05412","rno05412","Arrhythmogenic right ventricular cardiomyopathy",74,0.720953397884808,2.55311171465054,6.7944376314256e-08,1.1414655220795e-05,9.94133506071746e-06,1917,"tags=41%, list=14%, signal=35%","Atp2a1/Actn3/Cacna1s/Cacna2d1/Sgcd/Slc8a3/Itga5/Itgb8/Itgav/Cacna2d3/Dsp/Itga4/Cav3/Itga1/Dtna/Ctnna3/Itga6/Itga9/Nos1/Sspn/Snta1/Tcf7/Des/Sgcb/Cacnb2/Lef1/Lama1/Dsg2/Cacna1c/Itgb1"
"rno05171","rno05171","Coronavirus disease - COVID-19",206,-0.458144983177379,-1.84782675727383,6.05344072063809e-06,0.000677985360711466,0.000590475972048207,2582,"tags=27%, list=18%, signal=23%","Rpl27/Ccl2/Nfkbib/Rps27l/Rps19/Stat2/Oas1b/Rps16/Rpl10a/Ifnar2/C1qc/Rps28/Rpl29/Rps29/Irf3/C1qa/Syk/Uba52/Rps27/Rps12l2/Mx1/Rps15/Il1b/C3/Oas2/C4b/C1qb/Rpl10l1/Rpl28/LOC100362987/Mavs/Ikbke/F13a1/F2/Sting1/Mapk11/Oas1a/LOC685085/C4a/Selp/LOC100362400/Tlr2/Casp1/Tnf/RGD1565131/Oas3/Masp1/C2/Cfd/Ace2/LOC100362298/C6/LOC100365839/LOC100360843/Rpl39/Rpl37l1"
"rno05410","rno05410","Hypertrophic cardiomyopathy",77,0.632614650688647,2.24252565128268,3.9520009485162e-05,0.00147541368744605,0.00128497808618421,1917,"tags=38%, list=14%, signal=33%","Atp2a1/Ttn/Cacna1s/Cacna2d1/Sgcd/Slc8a3/Itga5/Itgb8/Itgav/Edn1/Cacna2d3/Itga4/Prkaa2/Tgfb2/Cav3/Itga1/Ace3/Dtna/Itga6/Itga9/Nos1/Sspn/Snta1/Des/Sgcb/Cacnb2/Lama1/Cacna1c/Itgb1"
"rno05414","rno05414","Dilated cardiomyopathy",81,0.619382049962212,2.20685022048617,2.73360905796042e-05,0.00147541368744605,0.00128497808618421,1917,"tags=37%, list=14%, signal=32%","Atp2a1/Ttn/Cacna1s/Prkacb/Cacna2d1/Sgcd/Slc8a3/Itga5/Itgb8/Itgav/Cacna2d3/Itga4/Tgfb2/Cav3/Itga1/Dtna/Adcy1/Itga6/Itga9/Nos1/Sspn/Snta1/Des/Gnas/Sgcb/Cacnb2/Lama1/Adcy2/Cacna1c/Itgb1"
"rno04976","rno04976","Bile secretion",54,-0.636273678407035,-2.08805454692553,3.20497126966761e-05,0.00147541368744605,0.00128497808618421,668,"tags=28%, list=5%, signal=27%","Slc22a1/Slc4a4/Adcy4/Slc4a2/Fxyd2/Car2/Nr1h4/Sct/Slc9a3/Abcg2/Abcb11/Slc51b/Nr0b2/Slc51a/Slc10a2"
"rno03320","rno03320","PPAR signaling pathway",62,-0.605773959732981,-2.04841312982556,2.48206102457361e-05,0.00147541368744605,0.00128497808618421,1327,"tags=31%, list=9%, signal=28%","Dbi/Fabp3/Ppard/Pparg/Ppara/Cpt1c/Pck1/Hmgcs2/Slc27a4/Lpl/Acsbg2/Apoa1/Fabp4/Aqp7/Adipoq/Plin1/Angptl4/Olr1/Fabp6"
"rno00190","rno00190","Oxidative phosphorylation",112,-0.514143779963445,-1.92937775756966,3.86436846466496e-05,0.00147541368744605,0.00128497808618421,3522,"tags=61%, list=25%, signal=46%","Ndufb8/Atp5pf/Atp6v1d/Ndufv1/Sdhd/ATP8/Ndufc2/Ndufa4/Uqcrc1/Ndufa13/Lhpp/Atp5pb/Ndufv2/Ndufb5/Ndufs6/Uqcrfs1/Ndufs3/Ndufa5/Ndufs5/Ndufs1/ND2/Cox7a2/ND1/COX1/CYTB/Sdhc/Ndufs7/COX3/Sdhb/Cox4i1/Atp6v0e2/Ndufab1/Ndufb6/Ndufb10/Ndufc1/ATP6/Atp5mg/Uqcrb/Cox5a/Cox6c/Ndufa6/Cyc1/Ndufb3/Atp5mc2/Cox5b/Uqcrh/Cox10/ND6/Ndufa12/Atp5po/Ndufa8/Atp5f1d/Ndufa11/Ndufa2/Tcirg1/Atp5me/Ndufs8/Cyct/Ndufa3/Ndufb7/Atp5mf/Cox6b1/Uqcrq/Atp5mc1/Cox7b/Uqcr10/Cox6a1/Ndufa4l2"
"rno03010","rno03010","Ribosome",145,-0.491402685902268,-1.90069948663127,1.82454441248557e-05,0.00147541368744605,0.00128497808618421,4649,"tags=54%, list=33%, signal=37%","Rpl37/Mrps5/LOC100363469/Mrpl13/Rpl17/Rps14/Rps8/Rps5/Mrpl32/Rpl31/Rpl13a/LOC100360522/Rpl15/Mrpl18/LOC103690996/Rpl36al1/Rps11/mrpl9/Rpl18/Rplp0/Mrps2/Rpl38/LOC102555453/LOC100359922/Mrpl21/Rps23/Mrpl30/Mrpl23/Rpl7a/Mrpl20/Fau/Rpl35/Rpl11/Rpl23a/Mrps10/Mrpl35/Rpl37a/Mrpl2/Rpl27/mrpl24/Mrpl19/Rps27l/Rps19/Rps16/Mrps21/Mrpl14/Rpl10a/Mrps18a/Mrpl22/Mrpl10/Rps28/Rpl29/Rps29/Mrps7/Mrps15/Mrpl36/Uba52/Mrps11/Rps27/Rps12l2/Mrpl4/Mrpl17/Mrpl28/Rps15/Rpl10l1/Rpl28/mrpl11/LOC100362987/Mrps16/Mrpl12/Mrps12/LOC685085/LOC100362400/RGD1565131/LOC100362298/LOC100365839/LOC100360843/Rpl39/Rpl37l1"
"rno04814","rno04814","Motor proteins",139,0.521301375279618,2.03579311326229,4.99162340928454e-05,0.00167718546551961,0.00146070663976958,780,"tags=11%, list=6%, signal=10%","Myh1/Tnni2/Myl1/Tnnt3/Acta1/Myh2/Myo18b/Kif6/Myo5c/Myo9a/Dync1i1/Dync2h1/Dnah9/Dnah5/Kif19b"
