"","unique_genes","Entrez","Ensembl","Symbols"
"287408",4.72268734045015,"287408","ENSRNOG00000049695","Myh1"
"116601",3.57432855607631,"116601","ENSRNOG00000047124","Atp2a1"
"246074",3.31973370727118,"246074","ENSRNOG00000013552","Scd"
"29172",3.27682014216679,"29172","ENSRNOG00000014652","Aqp8"
"25080",3.00196869433324,"25080","ENSRNOG00000055909","Apoa4"
"81712",2.98044464637308,"81712","ENSRNOG00000001955","Retnla"
"171009",2.88892909023424,"171009","ENSRNOG00000019745","Actn3"
"84015",2.79817461316397,"84015","ENSRNOG00000069271","Ttn"
"24300",2.70829005074291,"24300","ENSRNOG00000063855","Cyp2b1"
"114243",2.44105074748528,"114243","ENSRNOG00000048706","Nox1"
"108351380",2.42947170659044,"108351380","ENSRNOG00000064626","LOC108351380"
"81924",2.40885447436201,"81924","ENSRNOG00000019481","Cyp8b1"
"366542",2.396884064985,"366542","ENSRNOG00000068029","Six2"
"361962",2.38392907055471,"361962","ENSRNOG00000070247","LOC361962"
"353227",2.26925539713104,"353227","ENSRNOG00000029980","Zbtb16"
"299411",2.2616443587442,"299411","ENSRNOG00000065406","LOC299411"
"690539",2.0113702050134,"690539","ENSRNOG00000068347","LOC690539"
"25357",1.99320070359102,"25357","ENSRNOG00000012404","Thrsp"
"102547982",1.88980604027158,"102547982","ENSRNOG00000069405","LOC102547982"
"171291",1.84752310500568,"171291","ENSRNOG00000011453","Kif6"
"690302",1.80058693312741,"690302","ENSRNOG00000063193","LOC690302"
"685989",1.79182438743526,"685989","ENSRNOG00000068016","LOC685989"
"171045",1.78419818165088,"171045","ENSRNOG00000032626","Mmp3"
"102550997",1.77695135228456,"102550997","ENSRNOG00000063422","LOC102550997"
"100359978",1.76163095726126,"100359978","ENSRNOG00000029776","Igh-6-ps1"
"682773",1.72870018868887,"682773","ENSRNOG00000068499","LOC682773"
"108349283",1.72613245824424,"108349283","ENSRNOG00000056052","LOC108349283"
"501072",1.63955335256189,"501072","ENSRNOG00000067803","Acaa1b"
"120102524",1.60060255093715,"120102524","ENSRNOG00000064061","LOC120102524"
"102554934",1.60024202557589,"102554934","ENSRNOG00000064789","LOC102554934"
"689415",1.58751304681079,"689415","ENSRNOG00000043098","Mt2A"
"25598",1.57427728585381,"25598","ENSRNOG00000024947","Fabp2"
"306168",1.56874620517096,"306168","ENSRNOG00000063983","Sox21"
"302473",1.53630418948159,"302473","ENSRNOG00000062783","Slitrk4"
"170913",1.52185576880203,"170913","ENSRNOG00000008012","Abcb1a"
"500180",1.49415304782528,"500180","ENSRNOG00000064003","LOC500180"
"24188",1.48124599827666,"24188","ENSRNOG00000017619","Aldh1a1"
"117022",1.46777899083893,"117022","ENSRNOG00000014378","Il1r2"
"120103446",1.45947289292348,"120103446","ENSRNOG00000069868","LOC120103446"
"364823",1.4203572459947,"364823","ENSRNOG00000015418","Klhl14"
"316201",1.40218476558344,"316201","ENSRNOG00000053945","Daam2"
"290803",1.3936396011608,"290803","ENSRNOG00000007748","Tex15"
"690212",1.39077567206162,"690212","ENSRNOG00000023476","Slc16a5"
"302396",1.34564598967885,"302396","ENSRNOG00000021589","Nexmif"
"308015",1.34273566996663,"308015","ENSRNOG00000060831","Clca1"
"120102526",1.31938417053582,"120102526","ENSRNOG00000065855","LOC120102526"
"65272",1.30018365871801,"65272","ENSRNOG00000003813","Kcnk10"
"688333",1.29419609157805,"688333","ENSRNOG00000046946","Ptchd3"
"289152",1.28671121698308,"289152","ENSRNOG00000002890","Ankrd45"
"499759",1.28310147163889,"499759","ENSRNOG00000027392","Ccdc187"
"360539",1.24774533873807,"360539","ENSRNOG00000057404","Slc47a1"
"361810",1.22369019938255,"361810","ENSRNOG00000022523","Fkbp5"
"291991",1.21226068307026,"291991","ENSRNOG00000020406","Tmed6"
"690286",1.19535897005845,"690286","ENSRNOG00000067479","Hlf"
"100861534",1.18989583829897,"100861534","ENSRNOG00000070263","Rn5-8s"
"310550",1.17810692600384,"310550","ENSRNOG00000047473","Dchs2"
"293561",1.1722054653671,"293561","ENSRNOG00000014859","Rnf152"
"502831",1.168146326591,"502831","ENSRNOG00000067740","RGD1564696"
