"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007059","BP","GO:0007059","chromosome segregation",327,-0.49828473247301,-2.06925105344381,5.01941224428924e-11,3.87799789993787e-07,3.32760613837196e-07,1549,"tags=29%, list=11%, signal=26%","Anapc15/Sirt7/Zcwpw1/Spdl1/Aspm/Incenp/Zwilch/Mastl/Brip1/Chek2/Ncapg/Kif11/Aaas/Cdt1/Kif23/Haspin/Ska1/Cdca2/Prdm9/Sgo2/Ciao2b/Fam83d/Kif14/Mnd1/Cenpi/Cenpn/Espl1/Cenpf/Psrc1/Trip13/Rgs14/Brca1/Cdca5/Mki67/Kif4a/Top2a/Rad18/Rmi2/Cenpq/Racgap1/Ect2/Nsl1/Cenpe/Kif2c/Dlgap5/Ncapd2/Kntc1/Haus4/Chtf18/Pmf1/Cenph/Cdca8/Bub1/Ttk/Cdc6/Nusap1/Nek2/Dsn1/Mis18a/Spc25/Ndc80/Fancd2/Mybl2/Aurka/Spc24/Cit/Hjurp/Cenpw/Ska3/Prc1/Cdk1/Bub1b/Tpx2/Nuf2/Spag5/Tacc3/Kifc1/Sgo1/Plk1/Ccnb2/Ccnb1/Aurkb/Cdc20/Knstrn/Xrcc3/Ncaph/Ccne1/Cenpt/Kif18b/Birc5/Ube2c/Hspa1a/Pttg1/Msh5"
"GO:0030017","CC","GO:0030017","sarcomere",162,0.532856492668169,2.29290182020279,2.17392048562393e-10,8.39785483596525e-07,7.20597432550501e-07,1976,"tags=31%, list=14%, signal=27%","Myh1/Atp2a1/Actn3/Ttn/Myom2/Adra1a/Trim63/Myoz1/Fhl5/Nos1/Myh2/Sphkap/Fbxo32/Obscn/Ky/Tnni2/Ank1/Nebl/Itgb1bp2/Syne1/Tmod1/Dmd/Ank2/Scn8a/Neb/Scn3b/Tcap/Cfl2/Kcnn2/Homer1/Slc8a1/Mypn/Nexn/Trpc1/Casq1/Ppp3cb/Abcc9/Jph1/Syne2/Tmod2/Ryr3/Myom1/Prkd1/Dst/Klhl41/Atp2b4/Vcl/Scn5a/Cacna1c/Sptbn1"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",168,-0.57489839020936,-2.22490782405147,3.60619897440157e-10,9.28716442540885e-07,7.96906706694074e-07,4159,"tags=52%, list=29%, signal=37%","Mrpl10/Mrps11/Mrps2/Rpl37/Rpl34/Mrpl13/mrpl24/Rpsa/Mrpl27/Rps11/Rpl7a/Mrpl37/Mrpl35/Rps2/Rpl17/Rps14/Rpl13/Mrpl2/Rpl12/Mrps7/Mrpl22/Rps27a-ps2/Mrps18a/Mrps15/RGD1562402/Rps18/Rpl18/Rps12/Rps5/Rps27l/Mrps25/Fau/Rps8/Rpl31/Rplp0/Rpl11/Rpl23a/Rps23/Rpl36/Rpl27/Rps19/Mrpl49/mrpl11/Rpl36al1/Ikzf4/Mrps16/Mrpl23/Rpl35/Rpl10a/Rpl38/Mrpl55/Rps27/Oscp1/Rps16/Mrps34/Mrpl36/Rpl37a/RGD1560821/Mrpl12/Uba52/LOC100363469/Mrpl41/Mrpl54/Rpl29/Rps28/Mrpl28/Rps29/Mrpl4/Mrpl17/Rps15/Rpl28/Mrpl14/Bco2/Rps12l2/RGD1564606/LOC108352688/Mrps12/LOC100362400/Rpl30l1/LOC100362987/Rpl22-ps2/RGD1565131/LOC100365839/LOC100362298/LOC100360843/Rps4x-ps9/Rpl37l1"
"GO:0030016","CC","GO:0030016","myofibril",183,0.510866323850401,2.22623759930421,5.49873039517586e-10,1.06207977582822e-06,9.11342211284673e-07,1976,"tags=29%, list=14%, signal=25%","Myh1/Atp2a1/Actn3/Ttn/Myom2/Adra1a/Trim63/Myoz1/Fhl5/Myl1/Nos1/Myh2/Sphkap/Fbxo32/Obscn/Ky/Tnni2/Ank1/Nebl/Itgb1bp2/Syne1/Tmod1/Dmd/Ank2/Scn8a/Neb/Scn3b/Tcap/Cfl2/Kcnn2/Homer1/Slc8a1/Mypn/Nexn/Cald1/Trpc1/Casq1/Svil/Ppp3cb/Abcc9/Jph1/Syne2/Tmod2/Ryr3/Myom1/Prkd1/Dst/Klhl41/Atp2b4/Vcl/Scn5a/Cacna1c/Sptbn1"
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation",242,-0.516563970597155,-2.08423264297929,9.80991699355569e-10,1.51582837384423e-06,1.30069173106134e-06,1549,"tags=31%, list=11%, signal=28%","Anapc15/Sirt7/Zcwpw1/Spdl1/Aspm/Incenp/Zwilch/Mastl/Brip1/Chek2/Ncapg/Kif11/Aaas/Cdt1/Kif23/Haspin/Prdm9/Fam83d/Kif14/Mnd1/Cenpi/Espl1/Cenpf/Psrc1/Trip13/Cdca5/Kif4a/Top2a/Rmi2/Cenpq/Racgap1/Ect2/Nsl1/Cenpe/Kif2c/Ncapd2/Kntc1/Cdca8/Bub1/Ttk/Cdc6/Nusap1/Nek2/Dsn1/Spc25/Ndc80/Fancd2/Mybl2/Aurka/Spc24/Cit/Prc1/Cdk1/Bub1b/Tpx2/Nuf2/Spag5/Tacc3/Kifc1/Sgo1/Plk1/Ccnb2/Ccnb1/Aurkb/Cdc20/Knstrn/Xrcc3/Ncaph/Ccne1/Kif18b/Birc5/Ube2c/Hspa1a/Pttg1/Msh5"
"GO:0043292","CC","GO:0043292","contractile fiber",192,0.500377774702851,2.20141940866135,1.31166989537698e-09,1.68899360194709e-06,1.44928017562881e-06,1976,"tags=28%, list=14%, signal=25%","Myh1/Atp2a1/Actn3/Ttn/Myom2/Adra1a/Trim63/Myoz1/Fhl5/Myl1/Nos1/Myh2/Sphkap/Fbxo32/Obscn/Ky/Tnni2/Ank1/Nebl/Itgb1bp2/Syne1/Tmod1/Dmd/Ank2/Scn8a/Neb/Npnt/Scn3b/Tcap/Cfl2/Kcnn2/Homer1/Slc8a1/Mypn/Nexn/Cald1/Trpc1/Casq1/Svil/Ppp3cb/Abcc9/Jph1/Syne2/Tmod2/Ryr3/Myom1/Prkd1/Dst/Klhl41/Atp2b4/Vcl/Scn5a/Cacna1c/Sptbn1"
"GO:0000779","CC","GO:0000779","condensed chromosome, centromeric region",149,-0.579288779000749,-2.2088863352142,2.01558254092073e-09,2.22462724445051e-06,1.90889305905545e-06,1657,"tags=38%, list=12%, signal=34%","Cenpl/Mad2l1/Firrm/Knl1/Pinx1/Plk3/Ncapd3/Itgb3bp/Spdl1/Incenp/Cenpp/Zwilch/Ncapg/Kmt5c/Cenpv/Cdt1/Ska1/Sgo2/Cenpi/Cenpn/Cenpf/Cenpq/Nsl1/Cenpe/Kif2c/Ncapd2/Kntc1/Cenpu/Pmf1/Cenph/Bub1/Ttk/Nek2/Dsn1/Spc25/Ndc80/Aurka/Spc24/Hjurp/Cenpw/Ska3/Bub1b/Nuf2/Spag5/Cebpb/Sgo1/Plk1/Ccnb1/Plk5/Aurkb/Cdc20/Knstrn/Cenpa/Cenpt/Birc5/Cenpm"
"GO:0044391","CC","GO:0044391","ribosomal subunit",174,-0.545263216530726,-2.11353825372534,5.9496489094136e-09,5.10744305268106e-06,4.38256009724993e-06,4159,"tags=53%, list=29%, signal=38%","Mrpl10/Mrps11/Mrps2/Rpl37/Rpl34/Mrpl48/Mrpl45/Mrpl13/mrpl24/Rpsa/Mrpl27/Rps11/Rpl7a/Mrpl37/Mrpl35/Rps2/Mrpl38/Zcchc17/Rpl17/Rps14/Rpl13/Mrpl2/Rpl12/Mrps7/Mrpl22/Mrps18a/Mrps15/RGD1562402/Rps18/Mrpl42/Rpl18/Rps12/Rps5/Rps27l/Mrps25/Fau/Mpv17l2/Mrpl52/Rps8/Mrps28/Rpl31/Mrpl58/Rplp0/Snu13/Nsun4/Rpl11/Rpl23a/Rps23/Rpl36/Mrps26/Rpl27/Rps19/Mrpl49/mrpl11/Rpl36al1/Mrps16/Mrps27/Mrpl23/Rpl35/Rpl10a/Rpl38/Mrpl55/Rps27/Oscp1/Rps16/Mrps34/Mrpl36/Rpl37a/RGD1560821/Mrpl12/Uba52/LOC100363469/Mrpl41/Mrpl54/Rpl29/Rps28/Mrpl28/Rps29/Mrpl4/Nhp2/Mrpl17/Rps15/Rpl28/Mrpl14/RGD1564606/Mrps12/Rps27a-ps1/Rpl30l1/LOC100362987/RGD1565131/LOC100365839/Rpl37l1"
"GO:0050727","BP","GO:0050727","regulation of inflammatory response",299,-0.479465169901031,-1.97436622325255,5.3675866258262e-09,5.10744305268106e-06,4.38256009724993e-06,2759,"tags=37%, list=19%, signal=31%","Tnfrsf1b/Il10ra/Sharpin/Brd4/Nod2/Adora2a/Rhbdd3/Il33/Trex1/Cd24/Vamp8/Tnfsf11/Macir/Myd88/Ier3/Pbk/Cd276/Aoah/Rps19/Tnfrsf1a/Fabp4/Park7/Ccl24/Ccl5/Il1b/Tyro3/RT1-Db1/Nlrc3/Il17ra/Gps2/Tgfb1/Pmp22/Zfp36/Il22ra1/Foxp3/Apoe/Metrnl/Ccr5/Ppard/Mif/Il20rb/Agt/Gpx1/Ldlr/Tradd/Lgals9/Enpp3/Grn/Tnfaip3/Mir142/Git1/Mvk/Hyal2/Trpv4/Ghrl/C1qtnf12/Cdh5/C3/Adam8/Tmsb4x/Il18/Hgf/Nfkbiz/Sbno2/Mefv/Fcgr2b/Fcgr2a/Napepld/Tnfaip8l2/Ninj1/Ccr2/Fcgr1a/Fanca/Ager/Gsdmd/Gpsm3/Duoxa1/Gpr4/Tlr2/Pla2g5/Fcer1g/C2cd4a/Fancd2/Serpine1/Bst1/Ccn4/Wfdc1/Osm/Gpx2/Zbp1/Cebpb/Ada/Duoxa2/Tnf/Cx3cl1/Pla2g2d/C2cd4b/Sting1/Sphk1/Trem2/Socs3/Lgals2/Npy/S100a9/Tlr9/Igf1/Ggt1/Scgb1a1/Tnfaip6/Lbp/Reg3g/Reg3b"
"GO:0051301","BP","GO:0051301","cell division",436,-0.426945300707513,-1.82031259067039,8.22039809286121e-09,6.35107956654457e-06,5.44969128303578e-06,2127,"tags=27%, list=15%, signal=23%","Pdgfb/Il1b/Dll1/Hoxb4/Igf2/Septin8/Knl1/Cdca4/Calm3/Tgfb1/Gipc1/Cdc25c/Anapc13/Cfl1/Myc/Kdf1/Numbl/Pdgfa/Plk3/Ccnd3/Ulk4/Ncapd3/Itgb3bp/Cks1b/Anapc15/Sox5/Spdl1/Aspm/Incenp/Git1/Zwilch/Sfrp2/Brip1/Ncapg/Babam1/Cdk2ap2/Kif11/Cenpv/Ptn/Kif23/Ccnd2/Ska1/Tgfb3/Timeless/Reep4/Sgo2/Kif14/E2f7/Septin5/Oip5/Bora/Psrc1/Kif20b/Rgs14/Cdca5/Kif4a/Cib1/Top2a/E2f8/Racgap1/Ect2/Ube2s/Ckap2/Kif2c/Ncapd2/Stmn1/Anln/Pard6a/Pmf1/Rhoc/Cdca8/Cdc6/Nusap1/Cep55/Dsn1/Mis18a/Spc25/Ndc80/Aurka/Spc24/Cit/Kif20a/Ccna2/Sfn/Cenpw/Ccna1/Ccnf/Ska3/Prc1/Cdk1/Tpx2/Nuf2/Cdc45/Spag5/Kifc1/Iqgap3/Sgo1/Plk1/Ccnb2/Ccnb1/Aurkb/Sapcd2/Cdc20/Knstrn/Ncaph/Unc119/Cdca3/Cenpa/Ccne1/Cenpt/Kif18b/Birc5/Ereg/Il1a/Pttg1/Thbs4"
"GO:0006959","BP","GO:0006959","humoral immune response",121,-0.615033068619031,-2.28546402131614,9.1176368035301e-09,6.40389654037033e-06,5.49501211374475e-06,2343,"tags=45%, list=16%, signal=38%","Lgals3/Rps19/Cfp/RT1-Bb/Il1b/B2m/RT1-Db1/Mmp7/Serping1/RT1-DMa/C1qc/Wfdc3/Spink5/Tf/Cd59b/C3/Defa9/Cd37/Fcgr2b/Romo1/C1qb/C4b/C4a/Ccl21/Ccr2/Inhca/Ccl28/Spns2/Fcna/Cr2/Defa24/Cxcl1/Defal1/Slpi/Fcer2/Exo1/Wfdc2/Bcl3/Cxcl13/Cd5l/Ccl20/Spon2/Tnf/Cfd/Masp1/C2/Trem2/Npy/S100a9/A2m/Ccl25/Fcnb/Reg3g/Reg3b"
"GO:0031674","CC","GO:0031674","I band",117,0.550233252318216,2.23370551965047,1.76849034420219e-08,1.05102741533124e-05,9.01858476743754e-06,1960,"tags=32%, list=14%, signal=28%","Atp2a1/Actn3/Ttn/Adra1a/Trim63/Myoz1/Fhl5/Nos1/Sphkap/Fbxo32/Obscn/Ky/Ank1/Nebl/Itgb1bp2/Dmd/Ank2/Scn8a/Neb/Scn3b/Tcap/Cfl2/Kcnn2/Homer1/Slc8a1/Mypn/Nexn/Casq1/Ppp3cb/Jph1/Syne2/Ryr3/Prkd1/Dst/Atp2b4/Vcl/Scn5a/Cacna1c"
