"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno05171","rno05171","Coronavirus disease - COVID-19",209,-0.504551796118412,-2.00866732910715,7.77837422252472e-08,2.6135337387683e-05,2.14519373294892e-05,3197,"tags=39%, list=22%, signal=31%","RGD1562402/Rps18/Stat3/Rpl18/Rps12/Rps5/Ifnar2/Adar/Rps27l/Fau/LOC100361060/Mavs/Rps8/Rpl31/Pik3r2/Rplp0/Irf9/Rpl11/Rpl23a/Mapk13/Rps23/Ikbke/Rpl36/C1qa/Myd88/Rpl27/Rps19/Tnfrsf1a/Tmprss2/Pik3r3/Rpl36al1/Il1b/Rpl35/Oas1a/Rpl10a/C1qc/Rpl38/Rps27/Rps16/Rpl37a/RGD1560821/Uba52/LOC100363469/Il12a/Rpl29/Rps28/Rps29/LOC498276/Oas3/C3/Rps15/Rpl28/Nfkbib/Rps12l2/F13a1/C1qb/C4b/Vwf/C4a/RGD1564606/Tlr2/Ccl2/Hbegf/LOC100362400/Rpl30l1/Tnf/LOC685085/Fos/Cfd/Masp1/LOC100362987/Ace2/RGD1565131/C2/Sting1/Selp/LOC100365839/LOC100362298/LOC100360843/LOC108348980/Rpl37l1"
"rno03010","rno03010","Ribosome",147,-0.546647636221152,-2.06877021231289,2.79239429562971e-07,4.69122241665791e-05,3.85056476555254e-05,4159,"tags=53%, list=29%, signal=38%","Mrpl10/Mrps11/Mrps2/Rpl37/Rpl34/Mrpl13/mrpl24/Rpsa/Mrpl27/Rps11/Rpl7a/Mrpl35/Rps2/Rpl17/Rps14/Rpl13/Mrpl2/Rpl12/Mrps7/Mrpl22/LOC103690996/Mrps18a/LOC100360522/Mrps15/RGD1562402/Rps18/Rpl18/Rps12/Rps5/Rps27l/Fau/LOC100361060/Rps8/Rpl31/Rplp0/Rpl11/Rpl23a/Rps23/Rpl36/Rpl27/Rps19/mrpl11/Rpl36al1/Mrps16/Mrpl23/Rpl35/Rpl10a/Rpl38/Rps27/Rps16/Mrpl36/Rpl37a/RGD1560821/Mrpl12/Uba52/LOC100363469/Rpl29/Rps28/Mrpl28/Rps29/Mrpl4/Mrpl17/Rps15/Rpl28/Mrpl14/Rps12l2/RGD1564606/Mrps12/LOC100362400/Rpl30l1/LOC685085/LOC100362987/RGD1565131/LOC100365839/LOC100362298/LOC100360843/LOC108348980/Rpl37l1"
"rno04110","rno04110","Cell cycle",146,-0.512520080097851,-1.93541055994425,3.74225697265866e-06,0.00041913278093777,0.0003440250269602,2797,"tags=39%, list=20%, signal=32%","Ywhag/Anapc5/Dbf4/Mcm7/Cdc25b/Cdkn2d/Gadd45b/Cdk2/Tp53/Ddx11/Mcm6/Orc6/Mcm2/Mad2l1/Knl1/Mad2l1bp/Tgfb1/Anapc13/Chek1/Myc/Esco2/Ccnd3/Anapc15/Gadd45g/Fzr1/Mcm4/Mcm3/Chek2/Cdt1/Ccnd2/E2f2/Tgfb3/Orc1/Espl1/Ticrr/Trip13/Cdca5/Mcm5/Bub1/Ttk/Cdc6/Ndc80/Ccna2/Sfn/Ccna1/Cdk1/Bub1b/Cdc45/Pkmyt1/Sgo1/Plk1/Ccnb2/Ccnb1/Aurkb/Cdc20/Ccne1/Pttg1"
"rno05412","rno05412","Arrhythmogenic right ventricular cardiomyopathy",73,0.561728045952627,2.11779828405158,8.13316641847391e-06,0.000683185979151809,0.000560760421484254,2217,"tags=34%, list=15%, signal=29%","Atp2a1/Actn3/Ctnna3/Sgcd/Nos1/Itga4/Cacna2d1/Itga9/Itga1/Sspn/Cacnb4/Itgav/Slc8a3/Ctnna2/Cacnb2/Sntb2/Slc8a1/Itgb8/Itgb3/Lama2/Itga11/Lef1/Cacna1c/Sgcb/Cacng4"
"rno05144","rno05144","Malaria",38,-0.700632668275827,-2.1595377832225,2.37467286904099e-05,0.00159578016799554,0.00130981956144998,2125,"tags=55%, list=15%, signal=47%","Klrb1b/Il1b/Tgfb1/Itgb2/Cd36/Il12a/Sdc1/Il18/Hgf/Tgfb3/Icam1/Comp/Tlr2/Ccl2/Ackr1/Tnf/Tlr9/Hba-a1/Thbs4/Selp/Hba-a3"
"rno05150","rno05150","Staphylococcus aureus infection",46,-0.654429889962481,-2.0929448754836,4.83242855300234e-05,0.00270615998968131,0.00222122154541511,2765,"tags=61%, list=19%, signal=49%","RT1-DOa/Ptafr/C1qa/RT1-DMb/RT1-Bb/RT1-Db1/RT1-DMa/C1qc/Itgb2/Fcgr3a/RatNP-3b/Krt10/LOC498276/C3/Defa9/Fcgr2b/C1qb/C4b/Fcgr2a/C4a/Icam1/Fcgr1a/Defa24/Defal1/Cfd/Masp1/C2/Selp"
"rno04022","rno04022","cGMP-PKG signaling pathway",127,0.448622970337,1.84156458751498,6.7691330627562e-05,0.00324918387012297,0.00266693663525131,2466,"tags=33%, list=17%, signal=28%","Atp2a1/Adra1a/Gucy1a2/Gucy1b1/Gucy1a1/Prkg1/Atp1a2/Ednrb/Plcb1/Slc8a3/Pik3cg/Insr/Adcy2/Adcy1/Pik3r5/Ppp1cb/Gnai1/Rock1/Adra2b/Pde5a/Atp2b3/Adra1b/Itpr2/Pde3a/Itpr1/Agtr1a/Slc8a1/Ppp3cb/Creb1/Creb5/Adcy9/Atp2b4/Cacna1c/Prkce/Pde3b/Mef2a/Ednra/Adcy3/Ppp3ca/Akt3/Kcnj8/Mylk"
"rno01040","rno01040","Biosynthesis of unsaturated fatty acids",28,0.65890511811422,2.01558678152581,0.000183597801813305,0.00771110767615881,0.00632929264145867,495,"tags=18%, list=3%, signal=17%","Scd/Acaa1b/Acot1/Elovl4/Elovl2"
"rno04610","rno04610","Complement and coagulation cascades",48,-0.618417883276182,-1.9881520344814,0.000241093653026007,0.00810074674167383,0.00664910916766461,2099,"tags=48%, list=15%, signal=41%","Procr/Serping1/C1qc/Itgb2/Cd59b/Plau/C3/Plaur/F13a1/C1qb/C4b/Vwf/C4a/Clu/Cr2/Bdkrb1/Serpinf2/Plat/Serpine1/Cfd/Masp1/C2/A2m"
"rno05152","rno05152","Tuberculosis",140,-0.474887342866132,-1.78532254685974,0.000224093324411873,0.00810074674167383,0.00664910916766461,2791,"tags=36%, list=19%, signal=30%","Ifngr2/RT1-DOa/Il10ra/Nod2/Rab5c/Casp8/Card9/Mapk13/Myd88/RT1-DMb/Tnfrsf1a/RT1-Bb/Atp6v0c/Il1b/RT1-Db1/Calm3/RT1-DMa/Tgfb1/Apaf1/Itgb2/Camk2b/Cd14/Sphk2/Tlr1/Plk3/Tradd/Il12a/Fcgr3a/Ksr1/Bid/LOC498276/C3/Il18/Lsp1/Tgfb3/Fcgr2b/Fcgr2a/Fcgr1a/Calml4/Tcirg1/Tlr2/Fcer1g/Cyp27b1/Cebpb/Tnf/Clec4e/Sphk1/Il1a/Tlr9/Nos2/Lbp"
