"","unique_genes","Entrez","Ensembl","Symbols"
"304690",10.1976723659058,"304690","ENSRNOG00000028194","Serpinb13"
"286989",10.1827010074531,"286989","ENSRNOG00000070682","Ugt2b7"
"304688",10.1108785185984,"304688","ENSRNOG00000070387","Serpinb3"
"499721",9.67409823288229,"499721","ENSRNOG00000036877","Clca4l"
"100361314",9.49644215705267,"100361314","ENSRNOG00000012312","Prr9"
"25335",9.09905717774229,"25335","ENSRNOG00000010507","Mmp7"
"25105",9.06685006534109,"25105","ENSRNOG00000008141","Nppb"
"64827",9.05825955260337,"64827","ENSRNOG00000013496","Crisp3"
"296188",8.75351667502272,"296188","ENSRNOG00000004443","Sptlc3"
"302971",8.48924269953261,"302971","ENSRNOG00000039698","Prss22"
"100910813",8.45287855641969,"100910813","ENSRNOG00000050591","Lyg2"
"292126",8.39982965041699,"292126","ENSRNOG00000016659","Habp2"
"296706",8.17319880160299,"296706","ENSRNOG00000010551","Lhx2"
"114243",8.14011630640834,"114243","ENSRNOG00000048706","Nox1"
"498209",7.86118193553354,"498209","ENSRNOG00000066913","Serpinb3a"
"689756",7.76601106198906,"689756","ENSRNOG00000064111","Tnip3"
"680551",7.60411077820035,"680551","ENSRNOG00000018405","Apoc4"
"307563",7.52149161246395,"307563","ENSRNOG00000017159","Dsc3"
"303743",7.49337557172813,"303743","ENSRNOG00000036680","Notum"
"408235",7.47194551440645,"408235","ENSRNOG00000013073","Spink6"
"66017",7.45632545121718,"66017","ENSRNOG00000000109","Fgf20"
"287698",7.44423932188376,"287698","ENSRNOG00000031805","Krt36"
"292301",7.32189711207145,"292301","ENSRNOG00000012229","Tbxt"
"171551",7.26693451864796,"171551","ENSRNOG00000028043","Cxcl3"
"291754",7.1790295805398,"291754","ENSRNOG00000022364","Dsg4"
"303523",7.14914209623003,"303523","ENSRNOG00000031422","Krt39"
"613220",7.11345818492386,"613220","ENSRNOG00000029462","Defal1"
"60665",7.07414002948113,"60665","ENSRNOG00000002843","Cxcl6"
"691464",7.0413448080606,"691464","ENSRNOG00000018177","Dhrs2"
"680427",7.04098403510656,"680427","ENSRNOG00000005049","Tbr1"
"613223",7.02463635104902,"613223","ENSRNOG00000029522","Defa6"
"364301",6.97871769846153,"364301","ENSRNOG00000029516","Rnase9"
"171052",6.9674687731769,"171052","ENSRNOG00000008478","Mmp13"
"287305",6.96298665290674,"287305","ENSRNOG00000043116","RGD1308564"
"686254",6.94498611224421,"686254","ENSRNOG00000048579","Psors1c2"
"60335",6.91433887755384,"60335","ENSRNOG00000020136","Tgm1"
"498855",6.8910584042362,"498855","ENSRNOG00000039250","RGD1559536"
"367080",6.87813927775365,"367080","ENSRNOG00000025037","Ankk1"
"498658",6.87183361296219,"498658","ENSRNOG00000068468","Defa9"
"500946",6.85331157934011,"500946","ENSRNOG00000056092","Hephl1"
"293897",6.75557286882685,"293897","ENSRNOG00000048688","Dkk1"
"290856",6.75455322802907,"290856","ENSRNOG00000030524","Defa24"
"64466",6.72904606900938,"64466","ENSRNOG00000003189","Cited1"
"613224",6.69094260915196,"613224","ENSRNOG00000062395","Defa8"
"305427",6.62036417690095,"305427","ENSRNOG00000028423","Otop1"
"365299",6.55180690948665,"365299","ENSRNOG00000019770","Bnc1"
"689230",6.51844124813937,"689230","ENSRNOG00000068554","Csta3"
"25362",6.50476513135783,"25362","ENSRNOG00000054142","Slc30a2"
"293048",6.45980569962964,"293048","ENSRNOG00000015526","Rhcg"
"360619",6.43283195438382,"360619","ENSRNOG00000007943","Gsdma"
"116547",6.34358110944007,"116547","ENSRNOG00000011557","S100a8"
"117055",6.32894100466004,"117055","ENSRNOG00000026910","Gjb4"
"94195",6.32607816723447,"94195","ENSRNOG00000011483","S100a9"
"24599",6.3184791243851,"24599","ENSRNOG00000057443","Nos2"
"246138",6.26970299167941,"246138","ENSRNOG00000007137","Ly6i"
"29241",6.2497976128304,"29241","ENSRNOG00000004890","Adcy8"
"114105",6.22937570481204,"114105","ENSRNOG00000002792","Cxcl2"
"288596",6.1662617668763,"288596","ENSRNOG00000022483","Trim50"
"114768",6.15382059645768,"114768","ENSRNOG00000016339","Uox"
"140638",6.14184064270992,"140638","ENSRNOG00000018436","Apoa5"
"308429",6.10314686580706,"308429","ENSRNOG00000019862","Pinlyp"
