"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042391","BP","GO:0042391","regulation of membrane potential",400,-0.656595086161881,-1.95279370338425,3.05371317095491e-26,2.35807731061138e-22,1.8344780070147e-22,2308,"tags=42%, list=16%, signal=36%","Rapgef4/Mapt/Grik5/Pid1/Tspan9/Scn5a/Ano1/Hcn2/Ano6/Trpm4/Ank3/Slc6a4/Slc25a27/Ptn/Kcnk4/Slc4a4/Chrne/Lrrk2/Kcnh6/Dcn/Gria3/Grin2d/Kctd7/Nr3c2/Kcne2/Cacna1a/Bco2/Slc4a8/P2rx2/Slc29a1/Gper1/Kcne4/Igsf9b/Chrna10/Abat/Shank3/Npr2/Gna14/Chrnb2/Agt/Dlg4/Scn3b/Scn3a/Prkar1b/Scn1b/Best2/P2rx7/Gja5/Ehd3/Begain/Kcnip2/Fkbp1b/Cacna1d/Kcnj5/Adcy10/Nlgn3/Asic1/Cd36/Syne1/Cacna1g/Adrb1/Ryr2/Snca/Grin1/Xirp1/Rimbp2/Kcnj10/Chrm1/Cntnap1/Kcnj8/Stx1b/Shank1/Nrxn1/Cnr1/Kcna2/Kcne5/Abcc9/Rgs4/Kcnma1/Gpr88/Slc4a3/Dmd/Piezo2/Kcnh2/Kcnj11/Cav1/Rnf207/Kcnq3/P2rx5/Dpp6/Snap91/Tacr1/Flna/Kcnq5/Trpv1/P2rx1/Atp1b2/Kcnc1/Slc1a7/Cav3/Nrcam/Fhl1/Pex5l/Fgf12/Cacnb2/Slc26a3/Kcnk3/Actn2/Prkn/Fgf14/Kcnj3/Adora1/Kcnc4/Ghrl/Cacna2d1/Cacna1h/Akap6/Ank2/Glra1/Myoc/Scn2b/Grid1/Scn2a/Rims3/Fxyd1/Celf4/Trpc4/Chrna5/Rgs7/Cacna1c/Npas4/Grik3/Mapk8ip2/Fgf13/Ctnna3/Rims1/Kcnb1/Kcnip1/Scn4b/Kcnn2/Ntrk2/Tafa4/Popdc3/Kcnd3/Rgs7bp/Cntnap2/Ntrk3/Dgki/Popdc2/Chrnb4/Kcna5/Chrnb3/Bves/Cacnb4/Kcnc2/Scn7a/Phox2b/Nos1/Htr3a/Htr3b/Gabra3/Nalcn/Grik2/Scn11a/Scn9a/Ntsr1/Chrna6/Chrna3"
"GO:0097060","CC","GO:0097060","synaptic membrane",397,-0.660622917869504,-1.9654812631259,9.88228907608996e-26,3.81555181227834e-22,2.96832756617081e-22,2275,"tags=45%, list=15%, signal=39%","Grik5/Arc/Ano1/Htr2a/Ano6/Flrt3/Nrp1/P2ry4/Prrt1/Olfm1/Hspb1/Itgb3/Ank3/Slc6a4/Syde1/Entpd1/Slc8a1/Ntng2/Epb41l1/Stxbp1/Syt11/Chrne/Unc13a/Syt3/Napb/Dnm1/Gria3/Lrfn3/Hip1/Kcnd1/Grin2d/Syde2/Slc16a7/Cacna1a/Dnajc6/Slc4a8/Itpr1/P2rx2/Gper1/Magi2/L1cam/Igsf9b/Ncam1/Lrrc4/Chrna10/Shank3/Palm/Cdh2/Chrnb2/Itga5/Nbea/Dlg4/Cntn2/Ctnna2/Adcy1/Pcdh17/Eno2/Npy1r/Adgrl1/Lpar1/Lrrtm3/Cntn1/Nsg1/Pdlim4/Cpe/Cacna1d/Adam22/Nlgn3/Slc6a7/Stx2/Syne1/Bsn/Ank1/Grin1/Chrm1/Nrxn3/Kcnj8/Stx1b/Shank1/Nrxn1/Cnr1/Ache/Kcna2/Akap5/Syndig1/Apbb1/Apba1/Kcnma1/Syp/Cadm3/Dmd/Pde2a/Plppr4/Dnm3/Kcnj11/Slitrk2/Fxyd6/Snap91/Lrrc4c/Kcnq5/Trpv1/Epha7/P2rx1/Camk2a/Kcnc1/Slc1a7/Nrcam/Dgkb/Adam23/Clstn3/Erc2/Actn2/Syt6/Kcnj3/Cacng4/Kctd16/Adora1/Ano2/Lhfpl4/Atp2b4/Kcnc4/Gpm6a/Cacna2d1/Cacna1h/Rgs9/Cntn5/Glra1/Gsg1l/Nrxn2/Grid1/Scn2a/Rims3/Ntng1/Chrm4/Dlg2/Lrrc4b/Chrna5/Snph/Rgs7/Iqsec3/Cacna1c/Snap25/Grik3/Adgrb1/Cryab/Rims1/Kcnb1/Kcnn2/Faim2/Syt1/Ntrk2/Kcnd3/Rgs7bp/Musk/Cntnap2/Ntrk3/Cacng7/Dgki/Chrnb4/Atp2b2/Slitrk3/Chrnb3/Tenm2/Kcnc2/Slitrk1/Atp2b3/Htr3a/Htr3b/Gabra3/Grik2/Scn11a/Cacna1e/Cnksr2/Adgrb3/Chrna6/Slc5a7/Chrna3"
"GO:0005261","MF","GO:0005261","monoatomic cation channel activity",233,-0.720097626979391,-2.09806591970723,3.44425782880595e-24,8.8655196513465e-21,6.89697523824405e-21,1828,"tags=48%, list=12%, signal=42%","Pkd1/Kcnd1/Grin2d/Nalf2/Kcne2/Cacna1a/Trpm5/Itpr1/P2rx2/Tmc1/Cacna2d2/Scnn1b/Kcne4/Chrna10/Chrnb2/Anxa6/Trpm6/Kcns3/Scn3b/Scn3a/Scn1b/Pkd2/P2rx7/Kcnt1/Kcnip2/Cacna1d/Kcnj5/Kcnip4/Asic1/Kcng4/Cacna1g/Ryr2/Trpv3/Grin1/Ncs1/Rimbp2/Scnn1g/Kcnj10/Kcnj8/Kcnb2/Kcna2/Kcne5/Abcc9/Kcnma1/Kcnip3/Lrrc55/Piezo2/Tmem38a/Kcnh2/Kcnj11/Kcnab1/Kcnq3/P2rx5/Kcnq5/Trpv1/Abcc8/P2rx1/Kcnc1/Kcnn3/Cacnb1/Cacna1b/Pex5l/Cacnb2/Kcng2/Kcnk3/Kcnt2/Kcnj3/Slc24a3/Cacng4/Kcnc4/Gpm6a/Cacna2d1/Cacna1h/Kcnj12/Cacna2d3/Scn2b/Scn2a/Trpc4/Kcnq4/Chrna5/Kcnmb1/Cacna1c/Snap25/Grik3/Kcnb1/Kcnip1/Scn4b/Kcnn2/Kcnd3/Trpm3/Eef1a2/Cacng7/Chrnb4/Kcna5/Chrnb3/Cacnb4/Cnga3/Kcnc2/Slc24a2/Scn7a/Htr3a/Htr3b/Nalcn/Grik2/Scn11a/Cacna1e/Scn9a/Chrna6/Kcnf1/Ryr3/Chrna3"
"GO:1902495","CC","GO:1902495","transmembrane transporter complex",273,-0.692577720332793,-2.03789175154224,5.20572385609475e-23,1.00496499041909e-19,7.81817527545599e-20,1828,"tags=36%, list=12%, signal=32%","Pkd1/Gria3/Kcnd1/Grin2d/Kcne2/Cacna1a/Cacna2d2/Scnn1b/Cpt1c/Chrnb2/Dlg4/Kcns3/Scn3b/Scn3a/Scn1b/Pkd2/Best2/Kcnip2/Fkbp1b/Cacna1d/Kcnj5/Kcnip4/Kcng4/Cacna1g/Ryr2/Mcub/Grin1/Scnn1g/Kcnj8/Kcnb2/Kcna2/Kcne5/Abcc9/Kcnma1/Kcnip3/Lrrc55/Kcnh2/Kcnj11/Kcnab1/Kcnq3/Dpp6/Kcnq5/Abcc8/Atp1b2/Kcnc1/Cacnb1/Cacna1b/Pex5l/Cacnb2/Ttyh1/Kcng2/Kcnj3/Cacng4/Unc80/Kcnc4/Cacna2d1/Cacna1h/Hspa2/Akap6/Cacna2d3/Glra1/Scn2b/Scn2a/Fxyd1/Trpc4/Chrna5/Kcnmb1/Cacna1c/Snap25/Grik3/Kcnb1/Kcnip1/Scn4b/Kcnd3/Eef1a2/Cntnap2/Cacng7/Chrnb4/Kcna5/Chrnb3/Atp1a2/Cacnb4/Cnga3/Kcnc2/Scn7a/Htr3a/Htr3b/Gabra3/Grik2/Scn11a/Cacna1e/Scn9a/Dpp10/Chrna6/Kcnf1/Ryr3/Chrna3"
"GO:0034703","CC","GO:0034703","cation channel complex",138,-0.784341587946487,-2.22685365556698,2.0673781917236e-22,3.19285887929792e-19,2.48390049266664e-19,1383,"tags=57%, list=9%, signal=52%","Pkd1/Kcnd1/Kcne2/Cacna1a/Cacna2d2/Scnn1b/Kcns3/Scn3b/Scn3a/Scn1b/Pkd2/Kcnip2/Fkbp1b/Cacna1d/Kcnj5/Kcnip4/Kcng4/Cacna1g/Ryr2/Mcub/Scnn1g/Kcnj8/Kcnb2/Kcna2/Kcne5/Abcc9/Kcnma1/Kcnip3/Lrrc55/Kcnh2/Kcnj11/Kcnab1/Kcnq3/Dpp6/Kcnq5/Abcc8/Kcnc1/Cacnb1/Cacna1b/Pex5l/Cacnb2/Kcng2/Kcnj3/Cacng4/Unc80/Kcnc4/Cacna2d1/Cacna1h/Hspa2/Akap6/Cacna2d3/Scn2b/Scn2a/Trpc4/Kcnmb1/Cacna1c/Snap25/Grik3/Kcnb1/Kcnip1/Scn4b/Kcnd3/Eef1a2/Cntnap2/Cacng7/Kcna5/Cacnb4/Cnga3/Kcnc2/Scn7a/Htr3a/Htr3b/Grik2/Scn11a/Cacna1e/Scn9a/Dpp10/Kcnf1/Ryr3"
"GO:0022836","MF","GO:0022836","gated channel activity",223,-0.709202730613959,-2.06423376040927,3.3545144249715e-22,4.31726006493832e-19,3.35863400408989e-19,1806,"tags=48%, list=12%, signal=43%","Gria3/Kcnd1/Grin2d/Nalf2/Kcne2/Cacna1a/Trpm5/Itpr1/P2rx2/Tmc1/Cacna2d2/Scnn1b/Kcne4/Chrna10/Chrnb2/Anxa6/Clcn4/Kcns3/Scn3b/Scn3a/Scn1b/Pkd2/P2rx7/Kcnt1/Kcnip2/Cacna1d/Kcnj5/Kcnip4/Asic1/Kcng4/Cacna1g/Ryr2/Grin1/Ncs1/Rimbp2/Scnn1g/Kcnj10/Kcnj8/Kcnb2/Kcna2/Kcne5/Kcnma1/Kcnip3/Lrrc55/Piezo2/Kcnh2/Kcnj11/Kcnab1/Kcnq3/P2rx5/Kcnq5/Trpv1/P2rx1/Kcnc1/Kcnn3/Slc1a7/Cacnb1/Cacna1b/Pex5l/Cacnb2/Kcng2/Kcnk3/Kcnt2/Kcnj3/Cacng4/Kcnc4/Cacna2d1/Cacna1h/Kcnj12/Cacna2d3/Glra1/Scn2b/Grid1/Scn2a/Kcnq4/Chrna5/Kcnmb1/Cacna1c/Snap25/Grik3/Kcnb1/Kcnip1/Scn4b/Kcnn2/Kcnd3/Eef1a2/Cacng7/Chrnb4/Kcna5/Chrnb3/Cacnb4/Cnga3/Kcnc2/Tmc3/Scn7a/Htr3a/Htr3b/Gabra3/Nalcn/Grik2/Scn11a/Cacna1e/Scn9a/Chrna6/Kcnf1/Ryr3/Chrna3"
"GO:0043269","BP","GO:0043269","regulation of monoatomic ion transport",423,-0.635454351672194,-1.89463953274846,4.70888410274974e-22,5.19457186306193e-19,4.04114309389365e-19,2278,"tags=40%, list=15%, signal=35%","Ccl5/Arc/Scn5a/Mir192/Htr2a/Hcn2/Ano6/Cracr2a/Ace/Hecw2/Itgb3/Prkg2/Ank3/Per1/Slc6a4/Slc8a1/Xcl1/Wnk3/Nherf2/Kcnh6/Igf1/Plpp4/Wnk2/Car2/Prnp/Kcnd1/Grin2d/Cabp1/Kcne2/Chp2/Cacna1a/Rapgef3/Dysf/Itpr1/Nol3/Akt3/Tmc1/Cacna2d2/Cracr2b/Gper1/Scnn1b/Kcne4/Usp2/Slc9a3/Sgk1/Casr/Stc2/Agt/Kcns3/Scn3b/Scn3a/Hrh3/Crhr2/Scn1b/Pkd2/P2rx7/Rem1/Cntn1/Gjc2/Kcnip2/Fkbp1b/Cacna1d/Kcnj5/Kcnip4/Nkain2/Ptger3/Hrc/Kcng4/Cacna1g/Adrb1/Ryr2/Snca/Trpv3/Grin1/Gnao1/Egf/Kcnj10/Chrm1/Kcnj8/Hsd3b2/Kcnb2/Cnr1/Kcna2/Kcne5/Akap5/Gcg/Ngf/Rgs4/Kcnma1/Kcnip3/Dmd/Agtr1a/Tmem38a/Kcnh2/Kcnj11/Cav1/Rnf207/Cxcl12/Kcnab1/Ms4a2/Kcnq3/Car7/Fxyd6/P2rx5/Dpp6/Flna/Plp1/Abcc8/P2rx1/Atp1b2/Camk2a/Kcnc1/Cav3/Cacnb1/Cacna1b/Fhl1/Fgf12/Cacnb2/Kcng2/Actn2/Fgf14/Kcnj3/Cacng4/Pdzk1/Adora1/Kcnc4/Adcyap1r1/Cacna2d1/Cacna1h/Akap6/Ank2/Kcnj12/Rgs9/Cacna2d3/Mylk/Scn2b/Scn2a/Fxyd1/Trpc4/Kcnq4/Rgs7/Kcnmb1/Cacna1c/Maob/Fgf13/Kcnb1/Kcnip1/Scn4b/Kcnn2/Kcnd3/Fxyd7/Cacng7/Kcna5/Atp2b2/Atp1a2/Cacnb4/Kcnc2/Scn7a/Nos1/Vip/Nalcn/Scn11a/Cacna1e/Scn9a/Sln/Lep/Dpp10/Ntsr1/Tacr2/Kcnf1"
"GO:0022839","MF","GO:0022839","monoatomic ion gated channel activity",219,-0.711491642066303,-2.0682128626878,5.60799384079748e-22,5.41311605482977e-19,4.21116063808306e-19,1806,"tags=49%, list=12%, signal=44%","Gria3/Kcnd1/Grin2d/Nalf2/Kcne2/Cacna1a/Trpm5/Itpr1/P2rx2/Tmc1/Cacna2d2/Scnn1b/Kcne4/Chrna10/Chrnb2/Anxa6/Clcn4/Kcns3/Scn3b/Scn3a/Scn1b/Pkd2/P2rx7/Kcnt1/Kcnip2/Cacna1d/Kcnj5/Kcnip4/Asic1/Kcng4/Cacna1g/Ryr2/Grin1/Ncs1/Rimbp2/Scnn1g/Kcnj10/Kcnj8/Kcnb2/Kcna2/Kcne5/Kcnma1/Kcnip3/Lrrc55/Piezo2/Kcnh2/Kcnj11/Kcnab1/Kcnq3/P2rx5/Kcnq5/Trpv1/P2rx1/Kcnc1/Kcnn3/Slc1a7/Cacnb1/Cacna1b/Pex5l/Cacnb2/Kcng2/Kcnk3/Kcnt2/Kcnj3/Cacng4/Kcnc4/Cacna2d1/Cacna1h/Kcnj12/Cacna2d3/Glra1/Scn2b/Grid1/Scn2a/Kcnq4/Chrna5/Kcnmb1/Cacna1c/Snap25/Grik3/Kcnb1/Kcnip1/Scn4b/Kcnn2/Kcnd3/Eef1a2/Cacng7/Chrnb4/Kcna5/Chrnb3/Cacnb4/Cnga3/Kcnc2/Tmc3/Scn7a/Htr3a/Htr3b/Gabra3/Nalcn/Grik2/Scn11a/Cacna1e/Scn9a/Chrna6/Kcnf1/Ryr3/Chrna3"
"GO:0034702","CC","GO:0034702","monoatomic ion channel complex",199,-0.722209612125648,-2.09098438833372,1.11954051268051e-21,9.60565759879877e-19,7.47276924662885e-19,1828,"tags=47%, list=12%, signal=42%","Pkd1/Gria3/Kcnd1/Grin2d/Kcne2/Cacna1a/Cacna2d2/Scnn1b/Cpt1c/Chrnb2/Dlg4/Kcns3/Scn3b/Scn3a/Scn1b/Pkd2/Best2/Kcnip2/Fkbp1b/Cacna1d/Kcnj5/Kcnip4/Kcng4/Cacna1g/Ryr2/Mcub/Grin1/Scnn1g/Kcnj8/Kcnb2/Kcna2/Kcne5/Abcc9/Kcnma1/Kcnip3/Lrrc55/Kcnh2/Kcnj11/Kcnab1/Kcnq3/Dpp6/Kcnq5/Abcc8/Kcnc1/Cacnb1/Cacna1b/Pex5l/Cacnb2/Ttyh1/Kcng2/Kcnj3/Cacng4/Unc80/Kcnc4/Cacna2d1/Cacna1h/Hspa2/Akap6/Cacna2d3/Glra1/Scn2b/Scn2a/Trpc4/Chrna5/Kcnmb1/Cacna1c/Snap25/Grik3/Kcnb1/Kcnip1/Scn4b/Kcnd3/Eef1a2/Cntnap2/Cacng7/Chrnb4/Kcna5/Chrnb3/Cacnb4/Cnga3/Kcnc2/Scn7a/Htr3a/Htr3b/Gabra3/Grik2/Scn11a/Cacna1e/Scn9a/Dpp10/Chrna6/Kcnf1/Ryr3/Chrna3"
"GO:1990351","CC","GO:1990351","transporter complex",297,-0.673429259979431,-1.99111830148436,4.6734656903963e-21,3.2840834826851e-18,2.55486912794393e-18,1828,"tags=33%, list=12%, signal=29%","Pkd1/Gria3/Kcnd1/Grin2d/Kcne2/Cacna1a/Cacna2d2/Scnn1b/Cpt1c/Chrnb2/Dlg4/Kcns3/Scn3b/Scn3a/Scn1b/Pkd2/Best2/Kcnip2/Fkbp1b/Cacna1d/Kcnj5/Kcnip4/Kcng4/Cacna1g/Ryr2/Mcub/Grin1/Scnn1g/Kcnj8/Kcnb2/Kcna2/Kcne5/Abcc9/Kcnma1/Kcnip3/Lrrc55/Kcnh2/Kcnj11/Kcnab1/Kcnq3/Dpp6/Kcnq5/Abcc8/Atp1b2/Kcnc1/Cacnb1/Cacna1b/Pex5l/Cacnb2/Ttyh1/Kcng2/Kcnj3/Cacng4/Unc80/Kcnc4/Cacna2d1/Cacna1h/Hspa2/Akap6/Cacna2d3/Glra1/Scn2b/Scn2a/Fxyd1/Trpc4/Chrna5/Kcnmb1/Cacna1c/Snap25/Grik3/Kcnb1/Kcnip1/Scn4b/Kcnd3/Eef1a2/Cntnap2/Cacng7/Chrnb4/Kcna5/Chrnb3/Atp1a2/Cacnb4/Cnga3/Kcnc2/Scn7a/Htr3a/Htr3b/Gabra3/Grik2/Scn11a/Cacna1e/Scn9a/Dpp10/Chrna6/Kcnf1/Ryr3/Chrna3"
