"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno03010","rno03010","Ribosome",182,0.642792799216565,2.55121887173267,2.78403181534004e-20,9.35434689954254e-18,6.62306516070368e-18,4098,"tags=76%, list=28%, signal=56%","Rps15al2/LOC683961/LOC120100542/Rn5-8s/LOC100361180/RGD1565415/Rpl6-ps6/Rps12l2/LOC100359505/RGD1559955/Rps12l3/RGD1561333/LOC100360522/RGD1564606/Rps15al4/LOC100909911/LOC680700/Rn18s/RGD1560124/LOC108350287/Rsl24d1/Rpl27l1/LOC100360843/LOC100361259/LOC100362298/LOC100361060/LOC100360573/LOC100360439/RGD1561636/LOC100362751/Rps27l/LOC685085/Rpl22l1/Rps20/LOC102555453/LOC688684/Rpl9/LOC100363469/LOC100364427/LOC499522/Rps12/LOC108352861/Rps18/Rpl37l1/LOC108351255/Rpl31l2/RGD1563570/Rps17/LOC100365839/Mrps10/Rpl32/Rpl39/LOC108348980/Rps15a/Rps3/Rpl38/Rps2/Rps21/RGD1562404/Rpl27/Rpl10a/Rpl17/Rps10/RGD1562402/Rpl12/Rps25/Rplp0/Rps13/RGD1565131/Rpl34/Rps28/Rps9/Rpl4/Rps5/Mrpl32/Rpl18a/Rpl37/Rps19/Rpl6/Rpl26/LOC108352551/Mrps2/Rpl15/Rpl8/Rps16/Rps24/Rpl14/Rps23/Rpl11/Rps6/Rpl24/Rpl13a/Rps27a/Rpsa/Rps7/Rpl36al1/Mrpl21/Rpl22/Rpl30l1/Rps11/Rps15/Rpl7a/Rps8/Rpl35/LOC100910017/Rpl28/Rpl18/Mrpl1/Rpl30/Rps4x/LOC100359922/RGD1560821/Rpl35a/Rplp2/Mrps7/Rpl19/Mrpl28/Rpl13/Rpl3/Mrpl17/Rpl29/Mrpl4/Rpl23/Rpl10/Mrpl35/Rps14/Rpl37a/Rpl31/Rplp1/Mrpl19/Mrps18c/Mrpl20/LOC103690996/Rpl23a/LOC108348509/Rps3a/Mrpl22/LOC687780/Uba52"
"rno04657","rno04657","IL-17 signaling pathway",77,0.745050593060795,2.73287340963352,1.78742249904508e-14,3.00286979839574e-12,2.12609202517994e-12,910,"tags=35%, list=6%, signal=33%","Cxcl3/Cxcl6/Mmp13/S100a8/S100a9/Cxcl2/Il17a/Cxcl1/Il17c/Fosl1/Csf3/Mmp3/Mmp9/Lcn2/Tnf/Cxcl10/Il1b/Muc5b/Ccl12/Ptgs2/Il6/Ccl17/Ccl20/Mapk4/Hsp90aa1/Tnfaip3/Fos"
"rno05171","rno05171","Coronavirus disease - COVID-19",246,0.508431699135482,2.12118665299304,1.20779413488172e-13,1.35272943106753e-11,9.57759559590416e-12,3379,"tags=59%, list=23%, signal=46%","Oas2/Csf3/Mmp3/Rps15al2/Mx2/Oas1b/C3/LOC683961/Tnf/Oas1i/LOC120100542/Cxcl10/Il1b/Oas1a/Sting1/LOC100361180/RGD1565415/Ccl12/Tlr2/Rpl6-ps6/Oas3/Rps12l2/LOC100359505/RGD1559955/Il6/Hbegf/Rps12l3/RGD1561333/LOC100360522/RGD1564606/Rps15al4/LOC100909911/Cgas/LOC680700/Mx1/RGD1560124/LOC108350287/Rsl24d1/Rpl27l1/LOC100360843/LOC100361259/LOC100362298/LOC100361060/LOC100360573/Fos/Il12b/LOC100360439/RGD1561636/LOC100362751/Rps27l/LOC685085/Rpl22l1/Rps20/LOC102555453/LOC688684/Rpl9/LOC100363469/Tmprss2/LOC100364427/Nfkbia/Selp/LOC499522/Rps12/Nfkbib/LOC108352861/Rps18/Rpl37l1/LOC108351255/Rpl31l2/Eif2ak2/RGD1563570/Rps17/LOC100365839/Rpl32/Rpl39/LOC108348980/Rps15a/Rps3/Rpl38/Rps2/Rps21/RGD1562404/Rpl27/Rpl10a/Rpl17/Rps10/RGD1562402/Rpl12/Rps25/Rplp0/Rps13/RGD1565131/Rpl34/Rps28/Rps9/Rpl4/Rps5/Rpl18a/Rpl37/Rps19/Rpl6/Rpl26/LOC108352551/Rpl15/Traf3/Rpl8/Rps16/Rps24/Rpl14/Rps23/Rpl11/Rps6/Stat2/Ikbke/Rpl24/Rpl13a/Rps27a/Stat1/Rpsa/Rps7/Rpl36al1/Rpl22/Pik3cb/Adar/Rpl30l1/Rps11/Ifih1/Rps15/Rpl7a/Rps8/Rpl35/Egfr/LOC100910017/Rpl28/Rpl18/Rpl30/Rps4x/LOC100359922/RGD1560821/Rpl35a/Nfkb1/Rplp2/Rpl19/Rpl13"
"rno04820","rno04820","Cytoskeleton in muscle cells",188,-0.659947385757955,-1.92230162135817,6.05632596940458e-13,5.08731381429984e-11,3.60192018180377e-11,2286,"tags=48%, list=15%, signal=41%","Daam2/Vcl/Col6a3/Sun2/Itgb3/Ank3/Syne2/Pdlim2/Col11a2/Col6a4/Ankrd1/Col1a1/Fn1/Col6a2/Dcn/Sdc3/Col5a3/Col6a1/Tmod4/Acta1/Col4a5/Sdc2/Bgn/Tpm1/Tnnt3/Vim/Col5a1/Col1a2/Col3a1/Itga9/Col6a5/Col24a1/Pdlim3/Itga5/Myoz1/Sgce/Col27a1/Eno2/Col9a2/Comp/Mypn/Mybpc1/Sptbn5/Eln/Pdlim4/Col4a6/Fbln1/Fbn1/Syne1/Xirp1/Col11a1/Itga1/Lama2/Col4a3/Thbs3/Atp1b2/Myom3/Csrp1/Mybpc2/Fhl1/Itga7/Actn2/Tcap/Sgcg/Col6a6/Ank2/Ldb3/Tmod2/Dtna/Sspn/Sgca/Tmod1/Myh2/Obscn/Myom1/Flnc/Myl9/Tpm2/Sgcd/Lmod1/Fbln2/Des/Synpo2/Actg2/Myh11/Atp1a2/Trim63/Myom2/Myl1/Ckm"
"rno04080","rno04080","Neuroactive ligand-receptor interaction",181,-0.655738008168307,-1.90957913402206,3.02086101763857e-12,2.03001860385312e-10,1.4372938736554e-10,2425,"tags=51%, list=16%, signal=43%","Gzma/Avpr1a/Tbxa2r/Lpar3/S1pr1/Grik5/Htr2a/Paqr6/Thrb/P2ry4/Npw/Pdyn/Thra/Calcrl/Chrne/Gria3/Grin2d/Cysltr1/P2rx2/Lypd6/Chrna10/Pyy/S1pr3/Chrnb2/Agt/Sstr2/Hrh3/Crhr2/Npy1r/Adora2b/Prlh/Lpar1/P2rx7/Grpr/Apela/Ptger3/Adrb1/Ptger1/Grin1/Chrm1/Vipr2/Vgf/Gcgr/Lpar4/Cnr1/Pth1r/Gcg/Agtr1a/Ppy/Lepr/P2rx5/Tacr1/Trpv1/Htr2b/P2rx1/Galr2/Adra1d/Ptgfr/Nmu/Adora1/Ghrl/Adcyap1r1/Prlr/Edn2/Glra1/Grid1/Chrm4/Tacr3/Chrna5/Galr1/Grik3/Tshr/Gal/Tac3/Penk/Chrnb4/Chrnb3/Mtnr1a/Oprl1/Vip/Gabra3/Sst/Grik2/Lep/Ntsr1/Adrb3/Chrna6/Oxtr/Npy4r/Tacr2/Grp/Chrna3"
"rno04621","rno04621","NOD-like receptor signaling pathway",154,0.566777256054229,2.29015527026398,6.12376550374086e-12,2.95424210646516e-10,2.09166264430177e-10,531,"tags=16%, list=4%, signal=15%","Cxcl3/Defal1/Defa6/Defa9/Defa24/Defa8/Cxcl2/Nlrp12/Cxcl1/Oas2/RatNP-3b/Oas1b/Tnf/Oas1i/Il1b/Oas1a/Sting1/Irf7/Ccl12/Ripk3/Oas3/Il6/Gbp4/Casp4"
"rno04110","rno04110","Cell cycle",147,0.571709869009033,2.28815713811668,6.15467105513575e-12,2.95424210646516e-10,2.09166264430177e-10,2938,"tags=48%, list=20%, signal=39%","Cdkn2a/Cdkn1a/Ccne1/Myc/Orc1/Mcm3/Mcm5/Ccnd2/Ccne2/Cdkn1c/Trip13/Cdk1/Mcm6/Ppp2r1b/Cdt1/Mad2l1/Plk1/Cdc14b/Mcm7/Sfn/Ticrr/Mcm4/Ccnb1/Mcm2/Pcna/E2f2/Aurkb/Chek1/Cdca5/Cdk4/Knl1/Ttk/Cdc20/Cdc45/Cdc6/Ccna2/Bub1b/Gadd45g/E2f3/Orc6/Dbf4/Pkmyt1/Ndc80/Esco2/Ywhag/Bub1/Tp53/Mtbp/Ccnb2/Atr/Espl1/Chek2/Fbxo5/Sgo1/Skp2/Pttg1/Smad2/Tfdp1/Cdc25b/Tgfb1/Ccnd1/Ywhae/Cdk6/Mad2l1bp/Ywhah/Pds5a/Ywhaz/Anapc10/Mad1l1/Rbl1/Skp1"
"rno04020","rno04020","Calcium signaling pathway",190,-0.623847099339058,-1.8179451439307,2.55950833524838e-10,1.07499350080432e-08,7.6111695232386e-09,2772,"tags=44%, list=19%, signal=36%","Slc25a4/P2rx6/Prkca/Hrh1/Prkcg/Stim1/Vegfb/Pdgfa/Gnal/Cd38/Avpr1a/Tbxa2r/Slc8a2/Htr2a/Flt4/Fgfr3/Nfatc4/Slc8a1/Adcy9/Atp2a3/Itpkb/Plcd4/Fgfr1/Grin2d/Cacna1a/Cysltr1/Itpr1/P2rx2/Fgf1/Gna14/Adcy1/Fgf2/Camk2g/Adora2b/P2rx7/Grpr/Plcd1/Cacna1d/Pde1c/Pdgfd/Ptger3/Hrc/Cacna1g/Adrb1/Ryr2/Ptger1/Gdnf/Grin1/Egf/Chrm1/Ngf/Agtr1a/Plcb1/P2rx5/Tacr1/Mst1/Htr2b/P2rx1/Camk2a/Cacna1b/Adra1d/Ret/Vegfd/Ptgfr/Atp2b4/Cacna1h/Pde1b/Mylk/Phkg1/Tacr3/Cacna1c/Ntrk2/Ntrk3/Atp2b2/Atp2b3/Nos1/Cacna1e/Sln/Ntsr1/Adrb3/Oxtr/Tacr2/Ryr3"
"rno04024","rno04024","cAMP signaling pathway",168,-0.627641763273991,-1.81569365433362,3.01909436539369e-09,1.12712856308031e-07,7.98029621729794e-08,2332,"tags=36%, list=16%, signal=31%","Pde3a/Rapgef4/Hcn2/Creb3l4/Npr1/Creb3l2/Adcy9/Atp2a3/Gli1/Pde10a/Gria3/Grin2d/Pde3b/Rapgef3/Ffar2/Ppp1r12a/Creb3l1/Lipe/Akt3/Vav2/Sstr2/Adcy1/Camk2g/Crhr2/Npy1r/Ppara/Cacna1d/Adcy10/Ptger3/Adrb1/Ryr2/Grin1/Mapk10/Chrm1/Vipr2/Pde4c/Gcg/Gli3/Atp1b2/Camk2a/Hcar1/Adora1/Atp2b4/Ghrl/Adcyap1r1/Edn2/Adcy5/Fxyd1/Cacna1c/Myl9/Tshr/Popdc3/Popdc2/Atp2b2/Atp1a2/Bves/Cnga3/Atp2b3/Vip/Sst/Oxtr"
"rno05150","rno05150","Staphylococcus aureus infection",50,0.729997905666952,2.48166036762559,5.67363570195876e-09,1.90634159585814e-07,1.34972807225545e-07,482,"tags=28%, list=3%, signal=27%","Krt36/Krt39/Defal1/Defa6/Defa9/Defa24/Defa8/Cfi/Plg/RatNP-3b/Krt17/C3/Fcgr3a/Krt18"
