"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T6-2444","T7-2446","T8-3837","T9-3838","T10-3840","T36","T37","Significance"
"Slc30a10",28.7495229777118,4.4087159879481,5.69200992267866e-11,4.02653792618295,2.01310710558484,0.67112375832706,1.61997019755293,1.57665691660624,0,7.91324981044592,17.0146109617672,68.5734320248274,17.0001330787543,75.3192577374876,48.3613036768936,110.338569336561,48.0653691569743,"p < 0.001"
"Cr2",119.320757227909,3.66483942872329,0.00068405355661006,2.41592275570977,17.1114103974712,1.34224751665412,17.8196721730822,22.0731968324873,31.4722551645155,30.5225349831485,3.24087827843185,9.00459208406824,442.003460047613,499.240035799807,132.773761003835,339.893523933315,121.577110220582,"p < 0.001"
"Ccn3",1735.10493053106,3.62838770184026,1.74394274382049e-16,485.600473897664,180.173085949844,79.1926034825931,328.853950103244,148.205750160986,158.672619787765,436.359203833161,2019.06716746304,2316.95080932371,3947.12180755805,3512.67688740318,2143.72469753212,5913.89366455615,2620.97630638325,"p < 0.001"
"Cd5l",29.2384749562581,3.54392570888152,3.08477320084156e-06,4.02653792618295,5.03276776396211,2.01337127498118,3.23994039510585,3.15331383321247,11.8020956866933,3.39139277590539,3.24087827843185,13.1605576613305,136.001064630035,59.9887893484414,21.1031143317354,95.1194563246218,48.0653691569743,"p < 0.001"
"Glycam1",191.49357033695,3.46433248778765,1.35151649721976e-05,33.0176109947002,38.249035006112,13.4224751665412,27.5394933583998,28.3798244989122,39.3403189556443,42.957641828135,46.9927350372618,33.9403855476418,1354.60151304802,226.624315316334,101.998385936721,483.206838129079,210.639411893799,"p < 0.001"
"Cytl1",17.1058876476551,3.45887196937717,4.83437774273723e-09,6.44246068189272,3.01966065837727,0.67112375832706,3.23994039510585,0,2.62268793037629,3.39139277590539,10.5328544049035,36.7110292658167,44.8185326621705,17.3300947006609,35.171857219559,31.7064854415406,43.8243071725354,"p < 0.001"
"Aqp3",1575.29408060222,3.36748782386407,3.20657480633489e-08,446.945709806307,150.983032918863,42.9519205329319,570.22950953863,256.995077406817,94.4167654935464,386.618776453215,2559.48362039155,4536.92908851131,1181.50924897343,956.487919055705,3630.61496148898,2153.50449118944,5086.4470066704,"p < 0.001"
"Dpep1",213.395669315457,3.36049088956059,0.000783350839587027,33.8229185799368,10.0655355279242,58.3877669744543,17.8196721730822,0,121.954988762497,22.6092851727026,201.744672832383,596.381060337135,150.682997743504,45.9914051671384,429.09665807862,149.654611284072,1149.32779778295,"p < 0.001"
"Fmo2",214.725200232882,3.12110549346953,6.65089555452747e-05,75.6989130122395,29.1900530309802,2.01337127498118,68.038748297223,34.6864521653372,24.9155353385747,75.7411053285538,397.81780867751,132.990898472393,734.869388995244,396.592551803585,89.6882359098755,842.124253327318,101.785487626534,"p < 0.001"
"Amn",24.8596830546081,3.09298050057864,1.2972447327975e-09,11.2743061933123,9.0589819751318,4.02674254996236,4.85991059265878,3.15331383321247,2.62268793037629,0,51.0438328853016,42.9449776317101,34.7729994792702,22.6624315316334,43.9648215244488,34.2430042768639,83.4075523606319,"p < 0.001"
"Pck1",1254.89089470728,3.0589142330095,4.27681385378879e-19,259.309042446182,193.258282136145,638.909817927361,95.5782416556227,193.928800742567,359.308246461552,136.786175294851,1798.68744452968,2062.05158725163,1972.78817045726,2160.92950075164,1841.24672544391,3339.32704670306,2516.36344410042,"p < 0.001"
"Edn2",46.2694824347589,3.02572311561192,5.45956003879192e-11,7.24776826712931,10.0655355279242,12.0802276498871,4.85991059265878,9.45994149963742,20.9815034430103,5.65232129317566,58.3358090117733,96.9725301361195,27.8183995834162,58.6557051406983,79.1366787440078,68.4860085537277,188.020414643458,"p < 0.001"
"Trpm3",61.2057959401095,2.98552960631051,3.91883058256591e-13,12.8849213637854,4.02621421116969,24.1604552997742,11.3397913828705,6.30662766642494,9.17940775631701,26.000677948608,93.1752505049157,162.775318442772,45.5912659839321,83.3177629839465,115.187832394056,135.703757689794,127.231859533167,"p < 0.001"
"Hoxa13",763.014899006095,2.98079326144014,2.21518429780079e-07,146.565980513059,79.5177306706014,18.7914652331577,299.694486547292,283.798244989123,61.6331663638428,313.138599641931,961.730629124652,1508.6155045462,1031.59898455168,1239.76831320112,1793.76471819751,835.78295623901,2107.80780626614,"p < 0.001"
"Klk1c9",19.9502616692162,2.96675128856555,6.91807880593918e-06,11.2743061933123,4.02621421116969,0.67112375832706,3.23994039510585,0,1.31134396518814,10.1741783277162,17.8248305313752,28.3990981112921,63.364132384448,26.6616841548629,24.6203000536913,60.876452047758,26.8600592347798,"p < 0.001"
"Tacr2",14.2933251286418,2.9042039456424,0.0014261123506792,0.80530758523659,0,0,0,1.57665691660624,9.17940775631701,12.4351068449864,19.4452696705911,34.6330464771855,26.2729329398931,9.99813155807357,21.1031143317354,27.9017071885557,36.7558705318039,"p < 0.05"
"Plin4",10.0477936598715,2.89465145163859,1.11691886777015e-06,5.63715309665613,0,1.34224751665412,3.23994039510585,0,2.62268793037629,3.39139277590539,16.2043913921593,24.2431325340299,20.0910663658006,10.6646736619451,19.3445214707575,12.6825941766162,21.2053099221946,"p < 0.001"
"Calb2",6.8815466599694,2.79835968186983,0.000676375894985681,4.02653792618295,4.02621421116969,0.67112375832706,0,0,2.62268793037629,0,9.72263483529555,15.9312013795054,16.2273997569928,8.66504735033043,14.9480393183126,2.53651883532325,16.9642479377556,"p < 0.001"
"Aqp8",68.7747146872707,2.79156721323558,1.4723374805009e-11,20.9379972161513,9.0589819751318,6.7112375832706,27.5394933583998,14.1899122494561,10.4907517215052,33.9139277590539,141.788424681393,158.61935286551,165.364930856974,59.3222472445699,53.6370822598275,125.557682348501,135.713983502045,"p < 0.001"
"Fabp6",25.1240024047253,2.78890338455512,0.0223014579198466,11.2743061933123,11.0720890807166,14.0935989248683,1.61997019755293,0,5.24537586075258,0,3.24087827843185,13.8532185908742,18.5455997222774,1.33308420774314,11.4308535963567,161.068946043026,98.9581129702413,"p < 0.05"
"Nefm",39.3456606413594,-3.93581314901878,1.31245766856259e-06,180.388899092996,77.5046235650165,37.5829304663154,16.1997019755293,3.15331383321247,166.540683578894,36.1748562763242,10.5328544049035,6.2339483658934,9.27279986113872,0.666542103871572,2.63788929146693,2.53651883532325,1.4136873281463,"p < 0.001"
"Lyg2",58.8245018261252,-3.98301766021145,1.11930416888802e-06,34.6282261651734,158.02890778841,34.2273116746801,115.017884026258,285.374901905729,36.717631025268,111.915961604878,12.1532935441194,0.692660929543711,7.7273332176156,22.6624315316334,4.39648215244488,0,0,"p < 0.001"
"Cfi",535.352050740336,-4.12736744110548,2.6401238241413e-26,497.680087676213,2202.33917350982,641.59431296067,767.865873640088,1617.649996438,344.883462844482,1018.54829703025,98.8467874921714,60.2615008703029,58.7277324538786,49.9906577903679,49.2406001073826,64.6812303007428,22.6189972503409,"p < 0.001"
