"","unique_genes","Entrez","Ensembl","Symbols"
"289353",4.4087159879481,"289353","ENSRNOG00000002397","Slc30a10"
"289395",3.66483942872329,"289395","ENSRNOG00000034164","Cr2"
"81526",3.62838770184026,"81526","ENSRNOG00000008697","Ccn3"
"310693",3.54392570888152,"310693","ENSRNOG00000034230","Cd5l"
"25258",3.46433248778765,"25258","ENSRNOG00000036826","Glycam1"
"498392",3.45887196937717,"498392","ENSRNOG00000028108","Cytl1"
"65133",3.36748782386407,"65133","ENSRNOG00000009797","Aqp3"
"94199",3.36049088956059,"94199","ENSRNOG00000015880","Dpep1"
"246245",3.12110549346953,"246245","ENSRNOG00000003510","Fmo2"
"314459",3.09298050057864,"314459","ENSRNOG00000009050","Amn"
"362282",3.0589142330095,"362282","ENSRNOG00000028616","Pck1"
"24324",3.02572311561192,"24324","ENSRNOG00000009390","Edn2"
"309407",2.98552960631051,"309407","ENSRNOG00000027770","Trpm3"
"500129",2.98079326144014,"500129","ENSRNOG00000057061","Hoxa13"
"292868",2.96675128856555,"292868","ENSRNOG00000067884","Klk1c9"
"25007",2.9042039456424,"25007","ENSRNOG00000050658","Tacr2"
"363331",2.89465145163859,"363331","ENSRNOG00000047046","Plin4"
"117059",2.79835968186983,"117059","ENSRNOG00000016977","Calb2"
"29172",2.79156721323558,"29172","ENSRNOG00000014652","Aqp8"
"25440",2.78890338455512,"25440","ENSRNOG00000003902","Fabp6"
"287366",2.76613354012375,"287366","ENSRNOG00000021657","Pld6"
"304445",2.75695450454323,"304445","ENSRNOG00000000961","Glt1d1"
"25527",2.73041552253894,"25527","ENSRNOG00000008245","Ptgis"
"60372",2.72534139025302,"60372","ENSRNOG00000047279","Pga5"
"63887",2.71759513200336,"63887","ENSRNOG00000002164","Nmu"
"287920",2.67644099885479,"287920","ENSRNOG00000000251","St6galnac1"
"499353",2.65783833400236,"499353","ENSRNOG00000013241","Cyp2c24"
"680865",2.64624007562169,"680865","ENSRNOG00000058904","Tex13b"
"361549",2.60614048698362,"361549","ENSRNOG00000021087","Lgi4"
"25081",2.59842109094162,"25081","ENSRNOG00000045679","Apoa1"
"84347",2.5852441435828,"84347","ENSRNOG00000065511","Cacng2"
"117064",2.58352137092047,"117064","ENSRNOG00000018808","Vip"
"114629",2.54494771506305,"114629","ENSRNOG00000006878","Slc26a3"
"353227",2.53195084588357,"353227","ENSRNOG00000029980","Zbtb16"
"314917",2.52489682084235,"314917","ENSRNOG00000004398","Pkhd1l1"
"680174",2.45812423431193,"680174","ENSRNOG00000025519","Sval1"
"50565",2.44391004150586,"50565","ENSRNOG00000029079","Hspb7"
"364973",2.40532663266242,"364973","ENSRNOG00000003737","Best2"
"81712",2.39201146072212,"81712","ENSRNOG00000001955","Retnla"
"25421",2.38731947612701,"25421","ENSRNOG00000047653","Crybb1"
"685750",2.37237366706903,"685750","ENSRNOG00000014907","Aldh8a1"
