"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051607","BP","GO:0051607","defense response to virus",255,-0.604763010607457,-2.11709224798712,1.50758790691127e-12,1.15601840701956e-08,1.04007696230489e-08,1761,"tags=29%, list=13%, signal=25%","Trim65/Stat1/Aim2/Il12b/Lamp2/Rnasel/Trim5/Apobec3/Tlr2/Gbp7/Nlrp3/Trim21/Il23r/Abcc9/Treml4/Eif2ak2/Foxp3/Prf1/Oasl/Irf3/Mlkl/Slfn13/Isg20/Ifih1/Stat2/Bnip3/Pmaip1/Samhd1/Mmp12/Dtx3l/Gbp5/Fbxl2/Nlrc5/Tnfaip3/Cd8a/Shfl/Il1b/Il12rb1/Trim15/Mx1/Mov10/Gbp2/Znfx1/Parp9/Ripk3/Dhx58/Zc3h12a/Ddx60/Ifi27/Irgm/Ifit2/Mill1/Rig1/Oas1a/Tnf/Il23a/Sting1/Acod1/Ifit1bl/Ifit3/Rsad2/Oas3/Bst2/Oas1k/Irf7/Usp18/Oasl2/Oas1i/Oas1b/Zbp1/Mx2/Il6/Oas2"
"GO:0019058","BP","GO:0019058","viral life cycle",217,-0.555666991246778,-1.90154696934733,6.65169607912041e-08,5.08191321453572e-05,4.57222897730378e-05,1804,"tags=23%, list=13%, signal=20%","Tmprss2/RT1-Db1/Ch25h/Rnasel/Trim5/Apobec3/Nectin2/Gbp7/Ccl5/Trim34/Trim21/Eif2ak2/Slc7a1/Mir24-2/Oasl/Usp6nl/Slc20a2/Siglec1/Isg20/Ifih1/Samhd1/Cd300lf/Lgals9/Cd300ld/Fbxl2/Shfl/Trim15/Mx1/Cldn6/Znfx1/Nectin4/Zc3h12a/Ifi27/Hmox1/Ceacam1/Oas1a/Tnf/Rsad2/Oas3/Bst2/Ly6e/Oasl2/Oas1i/Trim10/Oas1b/Mx2/Oas2/Serpinb3a/Serpinb3"
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus",443,-0.474746151266315,-1.73709040851641,7.14574999090606e-08,5.08191321453572e-05,4.57222897730378e-05,2498,"tags=30%, list=18%, signal=25%","Cd300a/Fgr/Tril/Serpinb9/Emilin1/Traf3ip2/Grn/Mark4/Cd86/Htra1/Il18rap/Peli3/Pml/Tgfb1/Mif/Tnip2/Slc15a3/Klrd1/Traf3/Zdhhc12/Fcnb/Clec2d/Ptprs/Pspc1/Ripk2/Cd274/Tlr5/Adar/Serping1/Tyrobp/Pvr/Syt11/Lrrc19/Raet1ll1/Mapkbp1/RT1-Db1/Arrb2/Stat1/Aim2/Il12b/Lamp2/Trim5/Apobec3/Arg1/Tlr2/Nectin2/Ifi35/Gbp7/Prkd1/Gbp1/Nlrp3/Tap2/Adam8/Cd226/Trim21/Il23r/Treml4/Eif2ak2/Klrb1b/RT1-CE16/Cadm1/Foxp3/Irf4/Sh2d1b2/Oasl/Irf3/Nfkbia/RT1-M3-1/Ikbke/Cx3cl1/Ifih1/Stat2/Samhd1/Cd300lf/Nfkbiz/Mmp12/Dtx3l/Lgals9/Scimp/Ppl/Pla2g5/Gbp5/Tap1/Trafd1/Gbp4/Fbxl2/Clec4a/Nlrc5/Tnip3/Tnfaip3/Il1b/Il12rb1/Trim15/Alpk1/Gbp2/Znfx1/Parp9/Dhx58/Clec7a/Zc3h12a/Ddx60/Nod2/Parp14/Hspa1a/Prdm1/Irgm/Lag3/Clec4e/Mill1/Otop1/Arg2/Ceacam1/Rig1/Oas1a/Casp4/Tnf/Il23a/Sting1/Tifa/Acod1/Rsad2/Oas3/Cxcl1/Irf7/Cxcl6/Usp18/Il17f/Zbp1/Il17a/Reg3g/Serpinb3a"
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production",430,-0.468407826495434,-1.71340042680156,3.30327075091628e-07,0.000148996941870741,0.000134053476789506,2257,"tags=31%, list=16%, signal=27%","Trim16/Tgfb1/Aif1/Gprc5b/Mif/Nfam1/Fcgr2a/Agtr1a/Anxa1/Traf3/Fcnb/Trim27/Ptprj/Il1r1/Scamp5/Hilpda/Ripk2/Cd274/Tlr5/Tyrobp/Crlf2/Il1rap/Fcer1g/Batf/Trim65/Stat1/Aim2/Il4r/Ddit3/Il12b/Cd200/Zfpm1/Tlr2/Thbs1/Eif2ak3/Ccr5/Cd244l1/Nlrp3/Pf4/Adam8/Cd226/Cyp1b1/Ccn1/B2m/Il23r/Panx1/Eif2ak2/Mapk11/RT1-CE16/Calca/Cadm1/Cd3e/Foxp3/Tnfrsf8/Serpinf2/Zfp580/Cd6/Slc11a1/Irf4/Cd276/Irf3/Vtcn1/RT1-M3-1/Ltb/Ikbke/Cx3cl1/Ptgs2/Ifih1/Cd28/Ccl2/Tmem106a/Nfatc4/Ager/Tigit/Mmp12/Lgals9/Scimp/Bcl3/Mdk/P2ry2/Gbp5/Hspb1/Arid5a/Pde4b/Clec4a/Heg1/Ccdc88b/Il12rb2/Tnfsf9/Il1b/Il12rb1/Adra2a/Trim15/Fcgr3a/Dhx58/Clec7a/Nox1/Egr1/Rora/Postn/Nod2/Hspa1a/Chi3l1/Ccl3/Htr2b/Ccl4/Il1a/Clec4e/Isl1/Il10/Ccl20/Rig1/Serpine1/Oas1a/Casp4/Tnf/Il23a/Sting1/Osm/Twist1/Rsad2/Oas3/Adipoq/Gata3/Irf7/Mmp8/Il17f/Il6/C3/Il17a/Nos2/Il17c/Oas2"
"GO:0048704","BP","GO:0048704","embryonic skeletal system morphogenesis",80,-0.669393517382085,-2.07812937085205,1.40845890547846e-06,0.000490911949418585,0.000441676539067266,1217,"tags=29%, list=9%, signal=26%","Chst11/Hoxd11/Hoxb9/Prrx1/Mycn/Nog/Hoxd10/Fgfr2/Tgfb2/Mdfi/Six4/Twist1/Irx5/Hoxb4/Hoxb3/Hoxd9/Hoxd4/Hoxd3/Hoxb5/Hoxb7/Osr2/Hoxb6/Hoxb8"
"GO:0045088","BP","GO:0045088","regulation of innate immune response",364,-0.468445648130712,-1.69212021627083,2.39266552142492e-06,0.000764456634095261,0.000687786395939426,2155,"tags=32%, list=16%, signal=28%","Fosl1/Ly96/Irf1/Casp6/Tlr13/Znrf1/Klrk1/F2rl1/Cd96/Mapkapk3/Cfh/Nmi/Src/Cd300a/Fgr/Tril/Serpinb9/Grn/Mark4/Cd86/Il18rap/Peli3/Tgfb1/Tnip2/Slc15a3/Klrd1/Traf3/Zdhhc12/Fcnb/Clec2d/Ptprs/Pspc1/Ripk2/Tlr5/Adar/Serping1/Tyrobp/Pvr/Lrrc19/Raet1ll1/Arrb2/Aim2/Il12b/Lamp2/Trim5/Arg1/Tlr2/Nectin2/Ifi35/Gbp7/Prkd1/Gbp1/Nlrp3/Tap2/Adam8/Cd226/Trim21/Treml4/Eif2ak2/Klrb1b/RT1-CE16/Cadm1/Irf4/Sh2d1b2/Oasl/Irf3/Nfkbia/RT1-M3-1/Ikbke/Ifih1/Stat2/Samhd1/Cd300lf/Nfkbiz/Mmp12/Lgals9/Scimp/Pla2g5/Gbp5/Tap1/Trafd1/Gbp4/Fbxl2/Clec4a/Nlrc5/Tnip3/Tnfaip3/Trim15/Alpk1/Gbp2/Znfx1/Parp9/Dhx58/Clec7a/Ddx60/Nod2/Parp14/Hspa1a/Irgm/Lag3/Clec4e/Mill1/Otop1/Ceacam1/Rig1/Oas1a/Casp4/Tnf/Sting1/Tifa/Acod1/Rsad2/Oas3/Irf7/Usp18/Zbp1/Reg3g/Serpinb3a"
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway",375,-0.465053317902675,-1.68214998228488,4.47401654064219e-06,0.00118299168391877,0.0010643449875633,1886,"tags=29%, list=14%, signal=25%","Sh2b2/Crlf2/Il1rap/Fcer1g/Pdgfb/Csf1/Csf2ra/Trim65/Stat1/Aim2/Il4r/Il12b/Il3ra/Angpt1/Usp25/Arg1/Cxcr4/Ccl5/Ccr5/Cish/Pf4/Ccr9/Il23r/Ebi3/Ccl7/Oasl/Irf3/Card14/Tnfsf18/Nfkbia/Tnfrsf1b/Lilrb3/Il2ra/Ccl11/Ikbke/Cx3cl1/Ifih1/Stat2/Ccl2/Samhd1/Cd300lf/Ccr4/Nfkbiz/Cd44/Osmr/Cxcr6/Ccr3/Il2rb/Mmp12/Tnfrsf18/Lilrc2/Eda/Tnfrsf4/Tnfsf11/Nlrc5/Padi2/Il12rb2/Epor/Il11/Il1b/Il12rb1/Insl3/Ccr10/Mx1/Lilrb2/Lilrb4/Parp9/Egr1/Tmsb4x/Ifi27/Thpol1/Parp14/Hspa1a/Duox2/Duox1/Ccl3/Irgm/Ccl4/Il1a/Cxcr2/Csf3r/Ccl20/Otop1/Ceacam1/Slit2/Oas1a/Casp4/Cxcl3/Socs1/Tnf/Ccl12/Sting1/Osm/Oas3/Adipoq/Cxcl1/Irf7/Cxcl6/Usp18/Mmp8/Il17f/Zbp1/Cxcl2/Ccl25/Il6/Il17a/Oas2"
"GO:0002922","BP","GO:0002922","positive regulation of humoral immune response",18,-0.885867237361924,-2.08153388159602,5.87101387265816e-06,0.00132408630516302,0.00119128869725701,573,"tags=44%, list=4%, signal=43%","Il1b/Nod2/Tnf/C6/Acod1/Il17f/C3/Il17a"
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity",335,-0.477056221969139,-1.71531337476538,5.75227263043964e-06,0.00132408630516302,0.00119128869725701,2556,"tags=35%, list=18%, signal=29%","Csf2rb/C1qc/Il9r/Nr4a3/Cd300a/Fgr/Cd80/Malt1/Serpinb9/C1qa/Traf3ip2/Stx11/Il18rap/Dusp22/Tgfb1/Unc13d/Il21r/C1qb/Pld2/Fcgr2a/Klrd1/Clec2d/Il1r1/Gapt/Serping1/RT1-T24-4/Tyrobp/Pvr/Trem3/Fcer1g/Batf/Raet1ll1/RT1-Db1/Arrb2/Il4r/Il12b/Arg1/Tlr2/Nectin2/Rnf19b/Fcer2/Milr1/Micb/Fut7/Prdx1/Nlrp3/Tcirg1/Shld2/Nkg7/Tap2/Cd226/Fcgr1a/B2m/Treml4/Klrb1b/Ephb6/RT1-CE16/Slamf9/Cadm1/Foxp3/Prf1/Sh2d1b2/Icam1/RT1-M2/Tnfrsf1b/RT1-M3-1/Ptgds/Cd28/Slfn2/Ccl2/Lat/Nfkbiz/Ager/Il2rb/Lgals9/Scimp/Bcl3/Tap1/Arid5a/Anxa3/Clcf1/RT1-CE1/Cd8a/Il1b/C1rl/RT1-S3/Fcgr3a/Lilrb4/Ripk3/Clec7a/RT1-N3/Hmox1/Nod2/Hspa1a/Ccl3/RT1-T24-1/Lag3/Csf3r/Mill1/Ceacam1/Rig1/Tnf/Trem1/Il23a/C6/C2/Rsad2/Gata3/Cxcl1/Bst2/Irf7/Cxcl6/Gata2/Il6/C3/Cfi/Serpinb3a"
"GO:0031349","BP","GO:0031349","positive regulation of defense response",408,-0.446926690801859,-1.62786801647227,7.60919475151029e-06,0.00166706586727374,0.00149986954590672,2498,"tags=30%, list=18%, signal=25%","Cd300a/Csf1r/Tril/Ido1/Gpsm3/Emilin1/Grn/Mark4/Cd47/Cd86/Il18rap/Peli3/Tgfb1/Gprc5b/Mif/Tnip2/Slc15a3/Fcgr2a/Klrd1/Traf3/Zdhhc12/Fcnb/Ptprs/Pspc1/Ripk2/Tlr5/Tyrobp/Pvr/Fcer1g/Lrrc19/Raet1ll1/Arrb2/Aim2/Il12b/Lamp2/Trim5/Arg1/Tlr2/Nectin2/Ifi35/Gbp7/Ccl5/Ccr5/Prkd1/Gbp1/Nlrp3/Nkg7/Adam8/Cd226/Fcgr1a/Treml4/Eif2ak2/Cadm1/Irf4/Sh2d1b2/Oasl/Irf3/Tnfsf18/Nfkbia/RT1-M3-1/Ikbke/Cx3cl1/Ptgs2/Ifih1/Cd28/Cd300lf/Nfkbiz/Mmp12/Gpr4/Lgals9/Scimp/Mdk/Pla2g5/Gbp5/Gbp4/Fbxl2/Tnfsf11/Clec4a/Gja1/Nlrc5/Tnip3/Tnfaip3/Il1b/Trim15/Alpk1/Gbp2/Znfx1/Parp9/Dhx58/Clec7a/Ddx60/Nod2/Hspa1a/Ccl3/Irgm/Lag3/Clec4e/Rig1/Serpine1/Oas1a/Casp4/Tnf/Sting1/Tifa/Acod1/Osm/Rsad2/Oas3/Cxcl1/Irf7/Mmp8/Il17f/Zbp1/Tac1/Il6/C3/S100a8/Il17a/S100a9/Reg3g/Lgals2"
