"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno04657","rno04657","IL-17 signaling pathway",78,-0.775042355610461,-2.34266691145329,5.23836358883235e-12,1.76009016584767e-09,1.36748860003202e-09,1312,"tags=38%, list=9%, signal=35%","Mapk11/Ccl7/Nfkbia/Ccl11/Ikbke/Ptgs2/Fosb/Ccl2/Mapk15/Tnfaip3/Il1b/Mmp9/Ccl20/Cxcl3/Tnf/Ccl12/Mmp13/Mmp3/Cxcl1/Cxcl6/Muc5b/Il17f/Lcn2/Cxcl2/Il6/S100a8/Il17a/S100a9/Il17c/Csf3"
"rno05171","rno05171","Coronavirus disease - COVID-19",195,-0.583735345649107,-1.97194963361257,1.31586782923594e-08,2.21065795311638e-06,1.7175537981606e-06,3070,"tags=47%, list=22%, signal=37%","Rpl31l2/Pik3r2/Rplp0/Rpl35/Rps12l2/Rpl36al1/Plcg1/Rpl27/Rps16/Syk/Rps24/Rps3/Pik3cd/Tnfrsf1a/Mapk8/Rps27a/Rps23/Rpl24/Rps25/Rpl26/Rps27l/Rpl32/Selp/C4a/Casp1/Stat3/Cxcl10/Rps21/C1qc/Rps12/Mapk10/Rps18/Mapk13/C1qa/Rpl38/Rpl13a/Rpl17/Rpl37/Rps17/C1qb/Rps15a/Agtr1a/Traf3/Adar/Rpl9/Tmprss2/Rpl37l1/Stat1/Il12b/Rpl39/Tlr2/Rps20/Hbegf/Nlrp3/Rpl30l1/Rpl22l1/Eif2ak2/Mapk11/Prkcg/Rps12l3/Cfd/Irf3/Nfkbia/Pik3r3/Vwf/Ikbke/Ifih1/Stat2/Ccl2/Rpl6-ps6/Rps15al2/Irf9/Il1b/Rps15al4/Mx1/Rpl27l1/Oas1a/Tnf/Ccl12/Sting1/C6/C2/Mmp3/Oas3/Oas1i/Oas1b/Mx2/Il6/C3/Oas2/Csf3"
"rno05162","rno05162","Measles",115,-0.614251700841728,-1.93885803547064,1.02400868488799e-06,0.000114688972707454,8.91067206499019e-05,3129,"tags=47%, list=23%, signal=37%","Slamf1/Pik3cd/Mapk8/Bak1/Ccne1/Msn/Akt2/Bcl2l1/Bax/Stat3/Cblb/Il2rg/Mapk10/Cdk4/Tp53/Apaf1/Faslg/Bbc3/Traf3/Adar/Cd3g/Akt3/Stat1/Bid/Il12b/Tlr2/Eif2ak3/Eif2ak2/Cyct/Cd3e/Irf3/Nfkbia/Pik3r3/Il2ra/Ikbke/Ifih1/Stat2/Cd28/Cd3d/Il2rb/Irf9/Tnfaip3/Il1b/Mx1/Hspa1a/Il1a/Oas1a/Oas3/Irf7/Oas1i/Oas1b/Mx2/Il6/Oas2"
"rno04621","rno04621","NOD-like receptor signaling pathway",154,-0.569583371032191,-1.86456799058546,1.92648781303218e-06,0.000161824976294703,0.000125728678324206,1751,"tags=28%, list=13%, signal=25%","Stat1/Aim2/Pstpip1/Rnasel/Gbp7/Ccl5/Gbp1/Nlrp3/Panx1/Mapk11/Irf3/Nfkbia/Defa6/Ikbke/Stat2/Ccl2/Gbp5/Birc3/Gbp4/Trpm2/Irf9/Tnfaip3/Il1b/Gbp2/Ripk3/Nod2/Irgm/Oas1a/Casp4/Cxcl3/Tnf/Ccl12/Sting1/Casp12/Oas3/Cxcl1/Irf7/Oas1i/Nlrp12/Oas1b/Cxcl2/Il6/Oas2"
"rno04060","rno04060","Cytokine-cytokine receptor interaction",188,-0.536706308738085,-1.80762165279567,4.08516326967739e-06,0.000274522971722321,0.000213288524395788,1875,"tags=39%, list=14%, signal=34%","Crlf2/Il1rap/Csf1/Csf2ra/Il4r/Il12b/Tnfrsf12a/Tnfsf8/Il3ra/Cxcr4/Ccl5/Ccr5/Pf4/Ccr9/Il23r/Ebi3/Ccl7/Tnfrsf8/Tnfsf18/Tnfrsf1b/Ltb/Gdf3/Lif/Il2ra/Ccl11/Cx3cl1/Ccl2/Gdf15/Ccr4/Osmr/Cxcr6/Ccr3/Il2rb/Tnfrsf18/Eda/Tnfrsf4/Tnfrsf19/Clcf1/Tnfsf11/Tnfrsf9/Il12rb2/Ccl27/Tnfsf9/Epor/Il11/Il1b/Il12rb1/Ccr10/Tgfb2/Inhbb/Thpol1/Ccl3/Ccl4/Il1a/Cxcr2/Csf3r/Il10/Ccl20/Cxcl3/Tnf/Ccl12/Il23a/Osm/Tnfrsf11b/Cxcl1/Cxcl6/Il17f/Cxcl2/Ccl25/Il6/Il17a/Il17c/Il22/Csf3"
"rno04668","rno04668","TNF signaling pathway",112,-0.591128450869939,-1.85293498819119,8.95065621937929e-06,0.00050123674828524,0.000389432060071239,1808,"tags=31%, list=13%, signal=27%","Akt3/Csf1/Junb/Ccl5/Rhbdf1/Mapk11/Map3k8/Icam1/Nfkbia/Pik3r3/Tnfrsf1b/Mlkl/Lif/Cx3cl1/Ptgs2/Ccl2/Bcl3/Birc3/Creb5/Tnfaip3/Il1b/Ripk3/Ifi47/Nod2/Mmp9/Ccl20/Cxcl3/Socs3/Tnf/Ccl12/Mmp3/Cxcl1/Cxcl6/Cxcl2/Il6"
"rno04659","rno04659","Th17 cell differentiation",90,-0.609687992613746,-1.88242133335934,3.83876716301999e-05,0.00184260823824959,0.00143160038560745,3406,"tags=51%, list=25%, signal=39%","Lck/Plcg1/RT1-Ba/Tgfbr2/RT1-DMa/Runx1/RT1-DMb/Mapk8/Ahr/Rara/Hif1a/Nfkbie/Stat3/Il2rg/Mapk10/Mapk13/Tgfb1/Il21r/Il1r1/Cd3g/Cd247/Il1rap/RT1-Db1/Stat1/Il4r/Il23r/Mapk11/Ebi3/Cd3e/Foxp3/Irf4/Nfkbia/Zap70/Il2ra/Lat/Cd3d/Il2rb/Il1b/Il12rb1/Rora/Il23a/Gata3/Il17f/Il6/Il17a/Il22"
"rno04260","rno04260","Cardiac muscle contraction",56,0.623985420109908,1.94194205238205,5.09283105864991e-05,0.00213898904463296,0.00166187118755944,3251,"tags=64%, list=24%, signal=49%","Cacng2/Casq2/Atp1a2/Atp2a3/Tpm2/Cacnb1/Asph/Cacna1c/Cacna2d1/Hrc/Cacnb2/Slc9a7/Atp1b1/Cox5b/Uqcrb/Cacna1d/CYTB/Atp1a1/Uqcrc1/Uqcrc2/Cyc1/Cox6a1/Cox5a/COX2/Cox7b/Atp2a2/COX3/Cox6b1/Cacna2d2/Cox6c/Uqcrh/Slc9a1/Cox4i1/Slc9a6/Uqcrfs1/Uqcr10"
"rno05146","rno05146","Amoebiasis",85,-0.604785269798183,-1.84349962163827,7.59804494890718e-05,0.00283660344759202,0.00220387736529705,1246,"tags=25%, list=9%, signal=23%","Prkcg/Lama1/Gna15/Pik3r3/Lama5/Hspb1/Il1b/Gnal/Tgfb2/Il10/Prdx1l1/Arg2/Cxcl3/Tnf/Cxcl1/Cxcl2/Il6/Nos2/Serpinb13/Serpinb3a/Serpinb3"
"rno05164","rno05164","Influenza A",132,-0.542472100084386,-1.74443331905124,9.46486120883528e-05,0.00289108487833514,0.00224620629645086,2091,"tags=30%, list=15%, signal=26%","Traf3/Pabpn1/Dnajb1/Adar/Akt3/Tmprss2/RT1-Db1/Stat1/Bid/Il12b/Rnasel/Ccl5/Nlrp3/Eif2ak2/Cyct/Icam1/Irf3/Slc25a4/Nfkbia/Pik3r3/Ikbke/Ifih1/Stat2/Ccl2/Irf9/Il1b/Mx1/Il1a/Oas1a/Socs3/Tnf/Ccl12/Rsad2/Oas3/Irf7/Oas1i/Oas1b/Mx2/Il6/Oas2"
