"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T38","T39","T40","T41","T22-2854","T23-3024","T24-4404","Significance"
"Aqp8",78.2307663292075,3.34557981232805,4.53314985262278e-05,16.8279239534175,7.25461185322714,5.38907029921564,22.0414857758832,11.340588675491,8.44928215308457,27.1614925397636,8.53192869740797,4.78217600022757,216.011969074249,58.1210930536002,193.674901490002,305.103599909167,210.540605134168,"p < 0.001"
"Ccn3",1144.41655604556,3.32125388681258,9.94786721511167e-05,390.278390150414,144.286169080851,63.5910295307446,263.201271323782,118.446148388462,127.795392565404,349.477870678292,775.33902037695,93.2524320044376,1948.2419220333,578.204667102195,3486.14822682004,1518.7127147895,6164.85652979345,"p < 0.001"
"Edn2",42.4843165329016,3.24902859797792,5.80288300149972e-08,5.82505059925991,8.06067983691904,9.70032653858816,3.88967396044998,7.56039245032735,16.8985643061691,4.52691542329393,100.250162194544,28.6930560013654,24.8052021903444,20.0417562253794,149.823980397926,114.555626731695,100.149044604361,"p < 0.001"
"Dpep1",157.054396882391,3.22075165524463,0.00272228751467546,27.1835694632129,8.06067983691904,46.8849116031761,14.2621378549833,0,98.2229050296081,18.1076616931757,305.016450932335,279.757296013313,122.992460860458,16.0334049803035,648.019167249568,433.269796153538,180.95111468288,"p < 0.05"
"Tex15",29.7140664749632,3.13749032322282,0.006454861368357,1.94168353308664,5.64247588584333,20.4784671370194,0,1.26006540838789,9.50544242222014,2.71614925397636,45.8591167485679,11.9554400005689,2.0671001825287,3.00626343380691,140.079331266354,106.6161278493,64.8692675278248,"p < 0.05"
"Amn",20.02492233695,3.12791305666412,3.94991558853971e-05,9.06118982107096,7.25461185322714,3.23344217952939,3.88967396044998,2.52013081677578,2.11232053827114,0,31.9947326152799,15.5420720007396,26.8723023728731,6.01252686761381,88.9199233255986,41.9659226640861,40.9700637017841,"p < 0.001"
"Trpm3",52.8738638826807,3.12541207084171,1.3508120539808e-05,10.3556455097954,3.22427193476762,19.4006530771763,9.07590590771661,5.04026163355157,7.393121883949,20.8238109471521,138.64384133288,17.9331600008534,27.9058524641375,18.0375806028414,237.525822582078,136.105695126766,88.7684713538655,"p < 0.001"
"Aqp3",1018.69389362218,3.02371756990543,0.00162887775548977,359.211453621028,120.910197553786,34.4900499149801,456.388411359464,205.390661567226,76.0435393777611,309.641014953305,334.878201373263,74.1237280035274,1646.44529538411,607.265213628995,2617.65637296865,3949.33358692832,3469.9367840761,"p < 0.05"
"Fabp6",23.198796938285,3.01245515488044,0.00518431958227717,9.06118982107096,8.86674782061094,11.3170476283528,1.29655798681666,0,4.22464107654228,0,113.048055240656,22.715336001081,13.4361511864366,5.01043905634485,10.962730273019,100.945057219018,23.8992038260407,"p < 0.05"
"Cytl1",10.0980798922443,2.9702015765981,2.49004210104455e-06,5.17782275489769,2.41820395107571,0.538907029921564,2.59311597363332,0,2.11232053827114,2.71614925397636,21.3298217435199,19.1287040009103,11.3690510039079,13.0271415464966,28.0158662532708,17.0132118908457,15.9328025506938,"p < 0.001"
"Prlr",37.7137942209267,2.8922953545921,0.00056942765478607,5.17782275489769,2.41820395107571,22.6340952567057,2.59311597363332,3.78019622516367,17.9547245753047,7.24306467727029,42.6596434870399,71.7326400034136,20.671001825287,3.00626343380691,149.823980397926,111.152984353525,67.1453821779239,"p < 0.001"
