"","unique_genes","Entrez","Ensembl","Symbols"
"29172",3.34557981232805,"29172","ENSRNOG00000014652","Aqp8"
"81526",3.32125388681258,"81526","ENSRNOG00000008697","Ccn3"
"24324",3.24902859797792,"24324","ENSRNOG00000009390","Edn2"
"94199",3.22075165524463,"94199","ENSRNOG00000015880","Dpep1"
"290803",3.13749032322282,"290803","ENSRNOG00000007748","Tex15"
"314459",3.12791305666412,"314459","ENSRNOG00000009050","Amn"
"309407",3.12541207084171,"309407","ENSRNOG00000027770","Trpm3"
"65133",3.02371756990543,"65133","ENSRNOG00000009797","Aqp3"
"25440",3.01245515488044,"25440","ENSRNOG00000003902","Fabp6"
"498392",2.9702015765981,"498392","ENSRNOG00000028108","Cytl1"
"24684",2.8922953545921,"24684","ENSRNOG00000057557","Prlr"
"25007",2.88005294199355,"25007","ENSRNOG00000050658","Tacr2"
"25081",2.82863586830366,"25081","ENSRNOG00000045679","Apoa1"
"25527",2.80373424925681,"25527","ENSRNOG00000008245","Ptgis"
"499353",2.78409740624465,"499353","ENSRNOG00000013241","Cyp2c24"
"500129",2.7766816670447,"500129","ENSRNOG00000057061","Hoxa13"
"685440",2.76281748469884,"685440","ENSRNOG00000048769","Nek5"
"362282",2.75561766335198,"362282","ENSRNOG00000028616","Pck1"
"304445",2.64944835810068,"304445","ENSRNOG00000000961","Glt1d1"
"685750",2.59502623040291,"685750","ENSRNOG00000014907","Aldh8a1"
"500128",2.57959146930078,"500128","ENSRNOG00000050564","Hoxa11-as"
"310787",2.49603274255121,"310787","ENSRNOG00000020421","Fndc7"
"314917",2.45095158908546,"314917","ENSRNOG00000004398","Pkhd1l1"
"114629",2.43005408294496,"114629","ENSRNOG00000006878","Slc26a3"
"25598",2.39035740493813,"25598","ENSRNOG00000024947","Fabp2"
"287366",2.37287186863901,"287366","ENSRNOG00000021657","Pld6"
"81924",2.28536263963017,"81924","ENSRNOG00000019481","Cyp8b1"
"25294",2.22635788041118,"25294","ENSRNOG00000001333","Azgp1"
"306168",2.17455811109273,"306168","ENSRNOG00000063983","Sox21"
"59301",2.17409590908879,"59301","ENSRNOG00000010349","Ghrl"
"361245",2.17368496391146,"361245","ENSRNOG00000003094","Cmahp"
"64155",2.15197749766056,"64155","ENSRNOG00000029342","Scn7a"
"293561",2.11635923104413,"293561","ENSRNOG00000014859","Rnf152"
"287920",2.10926419047138,"287920","ENSRNOG00000000251","St6galnac1"
"289264",2.10283502818813,"289264","ENSRNOG00000003616","Grem2"
"29504",2.09717493785446,"29504","ENSRNOG00000022946","Slc22a3"
"83810",2.07281241950912,"83810","ENSRNOG00000019486","Trpv1"
"116694",2.01686605852022,"116694","ENSRNOG00000018480","Capn9"
"25421",1.98164291009635,"25421","ENSRNOG00000047653","Crybb1"
"685180",1.97866349226509,"685180","ENSRNOG00000070368","Stx19"
"295117",1.97499132177579,"295117","ENSRNOG00000021186","Otol1"
"298975",1.95367820307143,"298975","ENSRNOG00000004498","Scin"
"103692131",1.94656787074317,"103692131","ENSRNOG00000059870","Hoxa11"
"300520",1.93013502780436,"300520","ENSRNOG00000033490","Vsig2"
"308015",1.91143944679078,"308015","ENSRNOG00000060831","Clca1"
"316201",1.88984956566486,"316201","ENSRNOG00000053945","Daam2"
"171118",1.87661408569511,"171118","ENSRNOG00000036571","Ces2c"
"103690342",1.87156435999469,"103690342","ENSRNOG00000046734","Evx1"
"366909",1.87099597994644,"366909","ENSRNOG00000029465","Slc26a10"
"102553587",1.8511674782292,"102553587","ENSRNOG00000066798","Peg10"
"171449",1.83635950370937,"171449","ENSRNOG00000016857","Zg16"
"171291",1.81132671761465,"171291","ENSRNOG00000011453","Kif6"
"499132",1.80840103548004,"499132","ENSRNOG00000012877","Rgs9bp"
"690212",1.79211485290899,"690212","ENSRNOG00000023476","Slc16a5"
"24572",1.78612979344424,"24572","ENSRNOG00000046602","Muc2"
"500366",1.78334024318076,"500366","ENSRNOG00000001840","Rep15"
"24799",1.77616006996346,"24799","ENSRNOG00000011624","Eef1a2"
"24190",1.71833008027234,"24190","ENSRNOG00000006807","Aldob"
"246252",1.71472731921387,"246252","ENSRNOG00000011330","Ces2a"
"306805",1.71031462791071,"306805","ENSRNOG00000015410","Aspn"
"499949",1.71026713375206,"499949","ENSRNOG00000028440","Apcdd1l"
