"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009615","BP","GO:0009615","response to virus",323,-0.588908703566884,-2.22812273459405,1.5974308560392e-16,1.21915922932911e-12,1.03631224902837e-12,1890,"tags=31%, list=14%, signal=27%","Tagap/Hmga2/Bcl2l1/Eno1/Traf3ip3/Plscr1/Hif1a/Fbxl2/Zdhhc12/Stat1/Tbx21/Ifnlr1/Il12rb1/Garin5a/Mefv/Trim21/Gbp7/Ifitm3/Spon2/Ptprs/Aim2/Dus2/Gbp5/Psmb9/Adar/Tlr2/Irf3/Foxp3/Mapk11/Pml/Ikbke/Unc13d/Tgfb1/Abcc9/Cgas/Pmaip1/Lgals9/Mmp12/Slfn13/Ifih1/Eif2ak2/Mlkl/Isg20/Prf1/Stat2/Bnip3/Clu/Nlrp3/Hspb1/Apobec3/Dtx3l/Mov10/Oasl/Duox2/Samhd1/Gbp2/Mx1/Znfx1/Shfl/Cd40/Nlrc5/Tnfaip3/Cd8a/Ddx60/Bcl3/Ifit2/Ifi27l2b/Zc3h12a/Sting1/Irgm/Ifit1bl/Mill1/Parp9/Dhx58/Ifi27/Trim15/Ripk3/Gata3/Rsad2/Rig1/Il1b/Il23a/Ifit3/Oas3/Tnf/Pou2af1/Acod1/Oas1a/Irf7/Bst2/Oas1k/Oasl2/Oas1b/Oas1i/Usp18/Lcn2/Zbp1/Il6/Mx2/Oas2"
"GO:0002683","BP","GO:0002683","negative regulation of immune system process",443,-0.517090719026004,-2.004364705877,1.08587122428154e-13,1.38122819728612e-10,1.17407444828897e-10,1784,"tags=34%, list=13%, signal=30%","Gnrh1/Bmp4/Tap2/Fbxl2/Zdhhc12/Rin3/Gpnmb/Gpr55/Nme2/Tbx21/Cd47/Zfpm1/Mefv/Runx1/Col3a1/Il4r/Cst7/Trim21/Cebpb/Fcgr2b/Ptprs/RT1-DOb/Grn/Bcl6/Stap1/Arg1/Cd200/Angpt1/Adar/Fstl3/Tbc1d10c/Loxl3/Mdk/RT1-CE16/Mif/A2m/Mmp28/Foxp3/Mnda/Il2ra/Btn2a2/Cnn2/Fgr/RT1-M3-1/Pla2g2f/Cd300a/Clec2d/Fcer1g/Zpbp2/Cd33/Cx3cl1/Cd68/Nfkbid/Anxa1/Cd44/C5ar2/Tgfb1/Emilin1/Cgas/Runx3/Slamf1/Lgals9/Mmp12/Masp1/Trafd1/Ido1/Pdcd1/Cd276/Gli3/Twist1/Fbn1/Tnfrsf4/Arg2/Pf4/Serping1/Il1rl1/Il4i1/Stat2/Apod/Irak3/Scgb1a1/Cd274/Pla2g5/Slit2/Fn1/Tap1/Tigit/Pirb/Padi2/Hspb1/Tmem178a/Bpi/Tnfaip6/Pvrig/Cd80/Enpp3/Gpx2/Tnfsf18/Samsn1/Irf4/Ypel4/Samhd1/Erfe/Milr1/Gbp1/Hmox1/Tgfb2/Pla2g2a/Fcrl5/Lst1/Nlrc5/Thy1/Tnfaip3/Ccl2/Adora2a/Prdm1/Lag3/Parp14/Zc3h12a/Irgm/Olfm4/Gata2/Mill1/Twist2/Adipoq/Tnfrsf13b/Ceacam1/Dhx58/Lilrb4/Alox15/Pla2g2d/Pglyrp1/Nod2/Tnfrsf11b/Socs1/Oas3/Tnf/Acod1/Npy/Oas1a/Sh2d1b2/Bst2/Usp18/Ccl3/Ccl25/Cdkn2a/Lgals5/Fcrlb/Serpinb3a"
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus",442,-0.506649867758881,-1.96278951021616,1.79467291105979e-12,1.95670623674405e-09,1.66324348133256e-09,1804,"tags=26%, list=13%, signal=24%","Mark4/Plscr1/Raet1ll1/Tap2/Fbxl2/Zdhhc12/Stat1/Rftn1/Ifnlr1/Il12rb1/Mmp2/Mefv/Trim21/Gbp7/Ptprs/Aim2/Grn/Arg1/Gbp5/Adar/RT1-CE16/Mif/A2m/Tlr2/Irf3/Foxp3/Mnda/Pml/Prkd1/Fgr/RT1-M3-1/Cd300a/Clec2d/Mr1/Nectin2/Cx3cl1/Ikbke/Slc15a3/Tgfb1/Emilin1/Cgas/Lgals9/Il18rap/Mmp12/Nfkbia/Trafd1/Alpk1/Ifih1/Eif2ak2/Arg2/Clec7a/Serping1/Il4i1/Stat2/Irak3/Klrb1b/Pvr/Nlrp3/Cd274/Pla2g5/Nfkbiz/Tap1/Lbp/Fcnb/Emilin2/Apobec3/Dtx3l/Oasl/Irf4/Gbp4/Samhd1/Gbp2/Gbp1/Znfx1/Cd40/Nlrc5/Tnfaip3/Adam8/Prdm1/Ddx60/Lag3/Parp14/Scimp/Ppl/Zc3h12a/Sting1/Irgm/Mill1/Ereg/Parp9/Casp4/Ceacam1/Tnip3/Fosl1/Dhx58/Trim15/Tifa/Rsad2/Rig1/Il1b/Coch/Il23a/Nod2/Oas3/Tnf/Acod1/Oas1a/Irf7/Sh2d1b2/Usp18/Il17a/Clec4e/Zbp1/Cxcl6/Cxcl1/Reg3g/Serpinb3a"
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus",265,-0.564186014516926,-2.09627812260732,4.22289747117696e-12,3.22291535000225e-09,2.73954916998564e-09,1530,"tags=29%, list=11%, signal=26%","B2m/Adam9/Cebpb/Fcgr2b/Plscr3/Spon2/Stap1/Arg1/Zfp36/Gbp5/Mif/Tlr2/Irf3/Cx3cl1/Cd68/Notch2/Nfkbia/Ednrb/Arg2/Pf4/Clec7a/Eme1/Pde4b/Irak3/Sbno2/Nlrp3/Bid/Cd274/Fn1/Nfkbiz/Lbp/Vwf/Bpi/Cd80/Plscr2/Tnfrsf1b/Gbp4/Fcgr3a/Gbp2/Esr2/Abcb1b/Icam1/Gbp1/Cxcl13/Cd40/Mir142/Tnfaip3/Ccl2/Prdm1/Scimp/Cmpk2/Ccl20/Zc3h12a/Irgm/P2ry2/Arid5a/Tnip3/Plau/Il1b/Ass1/Nod2/Serpine1/Il1a/Socs1/Tnf/Trem1/Acod1/Mmp9/Lcn2/Cxcl3/Il6/Cxcl6/Cxcl1/Mmp8/Cxcl2/Nos2/Csf3"
"GO:0031349","BP","GO:0031349","positive regulation of defense response",406,-0.512715198777636,-1.97411845179034,6.04677113168873e-12,3.84574643975403e-09,3.26896934075418e-09,1804,"tags=28%, list=13%, signal=25%","Mark4/Plscr1/Raet1ll1/Fcgr1a/Fbxl2/Zdhhc12/Cd28/Cd47/Rftn1/Mmp2/Gprc5b/Mefv/Ccr5/Cebpb/Gbp7/Gpsm3/Ptprs/Aim2/Grn/Tnfrsf1a/Stap1/Arg1/Nkg7/Gbp5/Mdk/Mif/Tlr2/Irf3/Mnda/Prkd1/RT1-M3-1/Cd300a/Fcgr2a/Fcer1g/Nectin2/Cx3cl1/Ikbke/Slc15a3/Lpl/Tgfb1/Emilin1/Cgas/Lgals9/Il18rap/Mmp12/Nfkbia/Ido1/Alpk1/Ifih1/Eif2ak2/Clec7a/Il1rl1/Ccr7/Irak3/Pvr/Nlrp3/Pla2g5/Nfkbiz/Lbp/Fcnb/Emilin2/Tnfsf18/Oasl/Irf4/Gbp4/Gbp2/Gpr4/Gbp1/Znfx1/Cd40/Nlrc5/Tnfaip3/Adam8/Ddx60/Lag3/Scimp/Sting1/Irgm/Ereg/Parp9/Casp4/Tnip3/Fosl1/Dhx58/Gja1/Trim15/Tifa/Rsad2/Rig1/Il1b/Coch/Osm/Nod2/Serpine1/Oas3/Tnf/Ptgs2/Acod1/Oas1a/Irf7/Sh2d1b2/Tnfsf11/Tac1/Il17a/Clec4e/Zbp1/Ccl3/C3/Il6/S100a8/S100a9/Cxcl1/Mmp8/Reg3g/Lgals2"
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity",331,-0.52744448700541,-1.99793162134862,1.3421955906223e-11,7.44769814380105e-09,6.33070777615661e-09,1780,"tags=31%, list=13%, signal=28%","C4b/Raet1ll1/Fcgr1a/Tap2/Cd28/Tbx21/Rftn1/Slamf9/Il4r/B2m/Fcgr2b/Spon2/C4a/Bcl6/Stap1/Arg1/Nkg7/RT1-CE16/Myo1g/Rnf19b/Tlr2/Tcirg1/RT1-CE1/Foxp3/Prdx1/Fgr/RT1-M3-1/Cd300a/Fcgr2a/Clec2d/Fcer1g/Mr1/Nectin2/Unc13d/Tgfb1/Slamf1/Lgals9/Il18rap/Clec7a/Serping1/Trem3/Il4i1/Prf1/Slfn2/Klrb1b/Ephb6/Pvr/Nlrp3/Nfkbiz/Tap1/RT1-S3/Pirb/Anxa3/Cd80/Il21r/Rab44/Clcf1/Csf2rb/Stx11/Batf/Tnfrsf1b/Fcgr3a/Milr1/Icam1/Hmox1/RT1-N3/Cd40/Fcer2/Cd8a/Ccl2/Lag3/Scimp/Bcl3/C1rl/Gata2/RT1-T24-1/Arid5a/Mill1/C6/Ceacam1/Lilrb4/Ripk3/Gata3/Rsad2/Rig1/Il1b/Il23a/Nod2/Csf3r/Tnf/Trem1/Irf7/Sh2d1b2/C2/Bst2/Cd19/Ccl3/C3/Il6/Cxcl6/Cxcl1/Cfi/Serpinb3a"
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production",425,-0.497819062241064,-1.9194467739605,1.36619200751067e-11,7.44769814380105e-09,6.33070777615661e-09,1776,"tags=30%, list=13%, signal=27%","Hif1a/Stat3/Tmem106a/Stat1/F2r/Cd28/Rel/Tbx21/Zfpm1/Rftn1/Adra2a/Il12rb1/Garin5a/Ltb/Gprc5b/Mefv/Lum/Ccr5/Gapdh/Runx1/Il4r/B2m/Cebpb/Spon2/Nfatc4/Gpsm3/Carmil2/Aim2/Tnfrsf1a/Trim16/Cd200/Sulf1/Gbp5/Mdk/RT1-CE16/Mif/Tlr2/Irf3/Foxp3/Cd3e/Mapk11/F3/Fgr/Hgf/RT1-M3-1/Fcgr2a/Fcer1g/Cx3cl1/Ikbke/Anxa1/Lpl/Tgfb1/Cgas/Slamf1/Lgals9/Mmp12/Ido1/Cd276/Twist1/Ifih1/Eif2ak2/Pf4/Clec7a/Il1rl1/Postn/Ccr7/Pde4b/Irak3/Clu/Nlrp3/Cd274/Ccn1/Tigit/Lbp/Heg1/Fcnb/Hspb1/Htr2b/Batf/Irf4/Fcgr3a/Sema7a/Cd40/Ccdc88b/Tnfsf9/Ccl2/Adam8/Slc11a1/Scimp/Bcl3/Ccl20/Sting1/P2ry2/Arid5a/Ereg/Adipoq/Nox1/Casp4/Dhx58/Trim15/Gata3/Rsad2/Rig1/Il1b/Il23a/Osm/Nod2/Serpine1/Il1a/Chi3l1/Oas3/Tnf/Pou2af1/Cyp1b1/Ptgs2/Oas1a/Irf7/Ccl4/Il17a/Clec4e/Ccl3/C3/Il6/Mmp8/Nos2/Oas2/Il17c"
"GO:0048525","BP","GO:0048525","negative regulation of viral process",86,-0.722653821509211,-2.31503974741619,1.23777596190425e-10,4.7233530706266e-08,4.01495434379782e-08,2084,"tags=45%, list=15%, signal=39%","Ifitm2/Trim27/Ifitm1/Fam111a/Hmga2/Plscr1/Sp100/Stat1/Trim21/Ifitm3/Lrrc15/Zfp36/Adar/Trim59/Ptx3/Ifih1/Eif2ak2/Isg20/Fcnb/Apobec3/Oasl/Samhd1/Mx1/Hmox1/Znfx1/Shfl/Trim15/Rsad2/Oas3/Tnf/Oas1a/Ly6e/Bst2/Oasl2/Oas1b/Oas1i/Trim10/Mx2/Oas2"
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway",367,-0.505588365034649,-1.93075376111441,2.10732926444557e-10,6.99266823749939e-08,5.9439223143149e-08,2141,"tags=34%, list=16%, signal=30%","Crlf2/Ugcg/Cxcl10/Ifitm2/Il33/Nol3/Il1rap/Ifitm1/Il2rb/Csf2ra/Src/Il9r/Csf1/Ccr4/Tp53/Usp25/Hif1a/Stat3/Cish/Ptprn/Stat1/Pira2/Ifnlr1/Il17rd/Il12rb1/Ccr5/Il4r/Cxcr4/Slit3/Ifitm3/Aim2/Tnfrsf1a/Stap1/Arg1/Rnf113a1/Angpt1/Adar/Irf3/Il2ra/Tnfrsf18/F3/Il1rn/Fcer1g/Pdgfb/Card14/Cx3cl1/Ikbke/Cd44/Il18rap/Mmp12/Nfkbia/Il2rg/Ifih1/Tnfrsf4/Ecm1/Pf4/Il1rl1/Stat2/Ccr7/Tmsb4x/Irak3/Slit2/Ccl11/Nfkbiz/Duox1/Pirb/Padi2/Il21r/Csf2rb/Tnfsf18/Thpol1/Tnfrsf1b/Oasl/Il1r2/Duox2/Samhd1/Osmr/Cxcl13/Mx1/Inhba/Ccl7/Nlrc5/Ccl2/Parp14/Ccl12/Sh2b2/Ccl20/Sting1/Irgm/Ereg/Parp9/Adipoq/Casp4/Ceacam1/Fosl1/Lilrb4/Ifi27/Ebi3/Lilrb2/Lilrc2/Ccl9/Il1b/Cxcr2/Osm/Csf3r/Il1a/Socs1/Oas3/Tnf/Oas1a/Irf7/Usp18/Tnfsf11/Ccl4/Il17a/Cxcl3/Zbp1/Ccl3/Il6/Cxcl6/Ccl25/Cxcl1/Mmp8/Cxcl2/Oas2"
"GO:0030198","BP","GO:0030198","extracellular matrix organization",263,-0.5414819077653,-2.01713723219328,4.51398943080279e-10,1.23038454771025e-07,1.04585401736984e-07,1611,"tags=36%, list=12%, signal=32%","Mmp2/Col3a1/Col27a1/Antxr1/P4ha1/Hspg2/Kif9/Col5a2/Carmil2/Flrt2/Fkbp10/Tnfrsf1a/Serpinh1/Sulf1/Col6a1/Loxl3/Mmp28/Adamts7/Gpm6b/Col7a1/Col16a1/Ptx3/Ccn2/Adamts3/Itga8/Lamb1/Col18a1/Adamts14/Nid1/Hpn/Pdgfra/Adamts5/Col28a1/Col22a1/Tgfb1/Emilin1/Pxdn/Efemp2/Phldb2/Mmp12/Aplp1/Aebp1/Lox/Lamc1/Pdpn/Col5a1/Prickle1/Adamts1/Adamts9/Postn/Abi3bp/Adamtsl4/Loxl4/Col1a2/Col8a1/Fn1/Ccn1/Sh3pxd2b/Olfml2a/Has2/Col4a2/Col17a1/Prdm5/Col4a1/Mmp19/Tnfrsf1b/Loxl2/Fscn1/Ero1a/Tgfb2/Col1a1/Smoc1/Acan/Adamts12/Adamtsl5/Col9a3/Col5a3/Bcl3/Mmp10/Nox1/Noxo1/B4galt1/Mmp3/Adamts4/Tnfrsf11b/Meltf/Tnf/Cyp1b1/Mmp20/Mmp9/Mmp7/Il6/Mmp13/Mmp8"
