"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno04657","rno04657","IL-17 signaling pathway",77,-0.801264883014757,-2.58220270032372,1.18715944603486e-15,3.97698414421677e-13,2.92416116181217e-13,749,"tags=34%, list=5%, signal=32%","Ccl11/Mapk10/Ccl7/Tnfaip3/Ccl2/Ccl12/Ccl20/Fosl1/Il1b/Mmp3/Tnf/Ptgs2/Mmp9/Muc5b/Lcn2/Il17a/Cxcl3/Il6/Cxcl6/S100a8/Mmp13/S100a9/Cxcl1/Cxcl2/Il17c/Csf3"
"rno05171","rno05171","Coronavirus disease - COVID-19",194,-0.577539871330339,-2.08658674610071,8.48046438243973e-10,1.42047778405865e-07,1.04443613973205e-07,2430,"tags=35%, list=18%, signal=29%","Rps18/Rps15a/Rpl24/C1s/Irf9/C1qc/Rps23/C1qa/Rps15al4/Rps25/Rps27a/Cxcl10/Rpl13a/C1qb/Rpl38/Rpl36/Hbegf/C4b/Rps17/Nfkbib/Stat3/Stat1/Tmprss2/Rps20/Pik3r3/C1r/Rpl9/Rps27l/C4a/Tnfrsf1a/Adar/Tlr2/Irf3/Mapk11/Rpl22l1/Ikbke/Prkcg/Cgas/Masp1/Nfkbia/Ifih1/Rpl39/Eif2ak2/Stat2/Nlrp3/Vwf/Mapk10/Rpl37l1/Mx1/Ccl2/Ccl12/Sting1/Selp/C6/Il1b/Mmp3/Oas3/Tnf/Oas1a/C2/Oas1b/Oas1i/C3/Il6/Mx2/Oas2/Csf3"
"rno04060","rno04060","Cytokine-cytokine receptor interaction",175,-0.589460538611637,-2.11630452635352,3.49024536136499e-09,3.89744065352424e-07,2.86567513880494e-07,2142,"tags=46%, list=16%, signal=39%","Tgfbr2/Crlf2/Cxcl10/Il33/Il1rap/Il2rb/Csf2ra/Relt/Il9r/Ccl27/Csf1/Ccr4/Bmp4/Ifnlr1/Il12rb1/Ltb/Gdf15/Ccr5/Il4r/Cxcr4/Tnfrsf9/Tnfrsf1a/Ngfr/Il2ra/Tnfrsf18/Il1rn/Cx3cl1/Tgfb1/Il18rap/Il2rg/Tnfrsf4/Pf4/Il1rl1/Ccr7/Tnfsf8/Ccl11/Lif/Il21r/Clcf1/Csf2rb/Tnfsf18/Thpol1/Tnfrsf1b/Il1r2/Osmr/Tnfrsf12a/Cxcl13/Tgfb2/Cd40/Inhba/Ccl7/Tnfsf9/Ccl2/Ccl12/Ccl20/Inhbb/Tnfrsf13b/Ebi3/Ccl9/Il1b/Cxcr2/Il23a/Osm/Csf3r/Il1a/Tnfrsf11b/Tnf/Tnfsf11/Ccl4/Il17a/Cxcl3/Ccl3/Il6/Cxcl6/Ccl25/Cxcl1/Il22/Cxcl2/Il17c/Csf3"
"rno04668","rno04668","TNF signaling pathway",111,-0.628231641206011,-2.14644716656002,4.44941514061625e-08,3.72638518026611e-06,2.73990300764264e-06,1282,"tags=29%, list=9%, signal=26%","Mapk11/Junb/Akt3/Cx3cl1/Sele/Nfkbia/Mlkl/Lif/Mapk10/Birc3/Map3k8/Tnfrsf1b/Icam1/Tnfaip3/Ccl2/Ifi47/Ccl12/Bcl3/Ccl20/Ripk3/Il1b/Mmp3/Nod2/Tnf/Ptgs2/Socs3/Mmp9/Cxcl3/Il6/Cxcl6/Cxcl1/Cxcl2"
"rno05323","rno05323","Rheumatoid arthritis",69,-0.698109307144218,-2.19852761447006,1.37117877281249e-07,7.65574814820309e-06,5.62904969891445e-06,1435,"tags=38%, list=11%, signal=34%","RT1-DOb/Vegfa/Angpt1/Tlr2/Tcirg1/Flt1/Tgfb1/Cd80/Icam1/Tgfb2/Ccl2/Ccl12/Ccl20/Il1b/Mmp3/Il23a/Il1a/Tnf/Tnfsf11/Il17a/Cxcl3/Ccl3/Il6/Cxcl6/Cxcl1/Cxcl2"
"rno05146","rno05146","Amoebiasis",84,-0.658617717411232,-2.14712004008986,1.29692246931937e-07,7.65574814820309e-06,5.62904969891445e-06,1388,"tags=37%, list=10%, signal=33%","Arg1/Lama4/Tlr2/Prdx1/Lamb1/Prdx1l1/Prkcg/Tgfb1/Lamc1/Arg2/Col1a2/Fn1/Col4a2/Hspb1/Col4a1/Lama1/Il1r2/Tgfb2/Col1a1/Lama5/Gnal/Il1b/Tnf/Cxcl3/Il6/Cxcl1/Cxcl2/Nos2/Serpinb13/Serpinb3a/Serpinb3"
"rno05162","rno05162","Measles",115,-0.607148615048358,-2.08105996852871,3.9075016712031e-07,1.87001865693291e-05,1.37497051287447e-05,1961,"tags=34%, list=14%, signal=29%","Il2rb/Eif2ak3/Bcl2l1/Tp53/Nfkbib/Stat3/Stat1/Cd28/Pik3r3/Fcgr2b/Adar/Tlr2/Irf3/Il2ra/Cd3e/Akt3/Ikbke/Msn/Slamf1/Nfkbia/Il2rg/Ifih1/Eif2ak2/Stat2/Bid/Mapk10/Ccne1/Mx1/Tnfaip3/Il1b/Il1a/Oas3/Oas1a/Irf7/Oas1b/Oas1i/Il6/Mx2/Oas2"
"rno04621","rno04621","NOD-like receptor signaling pathway",154,-0.569143734215222,-2.02814507130407,6.5026450503122e-07,2.72298261481823e-05,2.00213018654349e-05,1516,"tags=27%, list=11%, signal=24%","Gbp7/Antxr1/Gpsm3/Aim2/Gbp5/Pstpip1/Irf3/Antxr2/Mapk11/Ikbke/Nfkbia/Stat2/Nlrp3/Trpm2/Mapk10/Birc3/Gbp4/Gbp2/Gbp1/Tnfaip3/Ccl2/Ccl12/Sting1/Irgm/Casp12/Casp4/Ripk3/Il1b/Nod2/Oas3/Tnf/Oas1a/Irf7/Oas1b/Oas1i/Cxcl3/Il6/Nlrp12/Cxcl1/Cxcl2/Oas2"
"rno05169","rno05169","Epstein-Barr virus infection",183,-0.523002129162034,-1.88680404946507,1.05443134947013e-06,3.9248278008055e-05,2.88581211433932e-05,3829,"tags=54%, list=28%, signal=39%","Psmc5/RT1-DMb/RT1-T24-4/Plcg2/Psmd3/Rela/Btk/Psmd1/Psmd11/Psmd2/Nedd4/Ccne2/Psmc6/Bax/Irak1/Psmc3/RT1-DOa/Pik3cd/Map3k14/Traf3/Psmc1/Psmd6/Adrm1/Nfkbie/Ccnd3/E2f3/RT1-T18/Akt2/Psmd8/Cd3g/Casp8/Gadd45a/RT1-CE11/Lyn/Bak1/Cd247/Psmd12/Blnk/Cdk2/Vim/Irf9/Cd3d/Nfkb2/RT1-M2/Cdk4/RT1-CE15/Cxcl10/Apaf1/Ccna2/Tp53/Myc/Nfkbib/Stat3/Tap2/Bcl2l11/Stat1/Pik3r3/B2m/E2f2/RT1-DOb/Cdkn1a/RT1-CE16/Tlr2/Irf3/RT1-CE1/Cd3e/Mapk11/Akt3/RT1-M3-1/Ikbke/Cd44/Runx3/Nfkbia/Eif2ak2/Stat2/Bid/Tap1/RT1-S3/Gadd45b/Mapk10/Gadd45g/Ccne1/Icam1/RT1-N3/Cd40/Fcer2/Tnfaip3/RT1-T24-1/Oas3/Tnf/Oas1a/Irf7/Rbpjl/Oas1b/Oas1i/Cd19/Il6/Oas2"
"rno05164","rno05164","Influenza A",132,-0.554644181108585,-1.93233814906927,3.33613299801452e-06,0.000111760455433486,8.21742233195155e-05,2182,"tags=31%, list=16%, signal=26%","Cdk4/Cxcl10/Apaf1/Il33/Actg1/Dnajb1/Nfkbib/Stat1/Tmprss2/Pik3r3/Slc25a4/RT1-DOb/Tnfrsf1a/Adar/Irf3/Pml/Akt3/Ikbke/Nfkbia/Ifih1/Eif2ak2/Stat2/Nlrp3/Bid/Icam1/Mx1/Ccl2/Ccl12/Rsad2/Il1b/Il1a/Oas3/Tnf/Oas1a/Irf7/Socs3/Oas1b/Oas1i/Il6/Mx2/Oas2"
