"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","T1.2442","T2.2443","T3.2538","T31","T32","T33","T34","T27.2846","T28.3102","T29.4247","T42","T43","T44","T45","Symbols"
"Aqp3",747.999067005186,2.48984551467754,0.699322344786587,3.56036888173131,0.000370334193109187,0.00372713436191971,364.66261522605,121.941168140965,35.2252449416028,463.715699942616,208.064232344563,76.9632192661762,312.518511413749,87.456546708871,1137.58761850666,304.28424188377,862.706028763858,2351.86968005092,3420.9452389334,724.046891949407,"Aqp3"
"Aqp8",156.443210156556,4.39364781651181,0.801450184965315,5.48212215672763,4.20253875751986e-08,2.2365385950176e-06,17.0832936862654,7.31647008845789,5.50394452212544,22.3953605085922,11.4882091478593,8.55146880735291,27.413904509978,24.6672311230149,16.0223608240374,48.8357425245556,216.868090103622,249.224944469064,1239.08252748769,295.75139438917,"Aqp8"
"Apoa1",33.9861057247221,2.53584822312881,0.592322135515174,4.28119779944277,1.85890035382502e-05,0.000350306420066904,11.826895628953,17.0717635397351,7.15512787876307,3.95212244269275,8.93527378166836,10.6893360091911,10.0517649869919,15.697328896464,16.0223608240374,7.51319115762394,47.6633165062905,144.448743324927,141.147661826858,33.6305933419124,"Apoa1"
"Slc13a2",1845.84984282089,1.35497078766162,0.296416228211128,4.57117613242319,4.84994412777607e-06,0.000116842859286116,1104.50064179278,1037.31287031914,1116.75034353925,1152.70237911872,1022.45061415948,969.522776033637,859.88280479631,872.322991532073,2099.99742533717,1963.44728919239,4081.17147585112,4001.84053690325,4332.47899393739,1227.5166569798,"Slc13a2"
"Pck1",1071.33853006088,3.13686037213874,0.570492137819333,5.49851639345841,3.82999938819525e-08,2.07428977465967e-06,211.570021806825,156.084695220435,523.975518506341,77.7250747062907,157.005525020744,292.887806651837,110.569414856911,312.825340150962,725.278866634761,1543.96078289172,3443.67461757949,4143.23754621427,2668.87601790174,631.068192710002,"Pck1"
"Neurod1",43.2159622406887,1.47663414781038,0.365969659959333,4.03485400394795,5.46362590111448e-05,0.000831588820122956,17.7403434434295,13.0070579350362,42.9307672725784,35.5691019842347,10.2117414647638,23.5165392202205,16.4483427059868,54.9406511376241,46.9989250838432,52.5923381033676,30.9811557290888,52.8967229077197,114.211085142343,92.9786992394047,"Neurod1"
"Ghrl",81.963214073765,4.16271078455023,0.621646694611808,6.69626464779912,2.13814357829503e-11,4.20145213134974e-09,9.85574635746081,1.62588224187953,4.40315561770035,0,14.0411445140503,26.7233400229779,4.56898408499634,82.9715955955956,114.2928405448,42.5747498932023,110.817210877125,76.2933503476726,477.316138849605,182.000858085643,"Ghrl"
"Vip",17.2977055479643,2.89021045367462,0.632144986263116,4.5720689343119,4.82931997197421e-06,0.000116565334189683,2.62819902865622,0,3.30236671327526,2.6347482951285,0,6.41360160551469,13.706952254989,8.96990222655088,26.7039347067291,37.5659557881197,22.640075340488,44.7587655373013,56.0280795037911,16.8152966709562,"Vip"
"Grem2",86.1760728695305,3.03688818604445,0.495134649148214,6.13345923430898,8.59884604317715e-10,8.4428982147136e-08,19.0544429577576,7.31647008845789,7.70552233097561,19.7606122134637,6.3823384154774,44.8952112386028,26.5001076929788,109.881302275248,91.861535391148,219.134742097365,50.046482331605,84.431307718091,412.668354806769,106.826590615486,"Grem2"
"Chrdl1",16.8754325992842,2.78825269788911,0.492704290000815,5.65907940010934,1.52187138098731e-08,9.71905110683024e-07,6.57049757164054,6.50352896751812,1.10078890442509,0,2.55293536619096,4.27573440367646,8.2241713529934,23.545993344696,24.5676199301907,48.8357425245556,15.4905778645444,34.5863188242783,44.1759857626046,15.8261615726646,"Chrdl1"
"Bmp3",67.0988099225224,1.3136684282592,0.265970692345538,4.93914730481858,7.84649240874651e-07,2.50548310726787e-05,26.9390400437262,21.1364691444339,36.3260338460279,35.5691019842347,31.911692077387,68.4117504588233,50.2588249349597,71.759217812407,86.5207484498022,95.1670879965699,94.1350500999238,138.345275297113,119.598400479246,63.3046462906585,"Bmp3"
"Klf4",4992.27481968027,0.83989484054559,0.25957533021707,3.23564970462804,0.00121366224531278,0.00907847790820351,5038.91458769113,3811.06797496562,3771.30278656035,3095.82924677599,3515.39199924495,2799.53710080716,3018.27088654858,2511.57262343425,4552.48678880317,6495.1537557659,7094.68466196134,9607.87592045024,10460.0114581309,4119.74768438426,"Klf4"
"Muc2",39753.3817559488,0.928023403610622,0.625678678364022,1.4832268314419,0.138014154710877,0.288351001806653,16387.4779934287,13488.3190786326,63357.5565775425,17390.6561219957,6447.43826731527,55195.4554170594,19469.3549829864,18165.1732465438,97802.6267847011,27424.3999238536,17543.6752230529,114323.042384309,73382.7771300905,16169.3914517718,"Muc2"
"Muc5b",214.850503551899,-1.94971004240745,0.392910837437665,-4.96222006784622,6.96919676099142e-07,2.28241193922469e-05,128.124702646991,384.521150204509,982.45409719939,288.504938316571,298.693437844342,148.581770527757,158.086849340873,86.3353089305522,104.679424050378,52.5923381033676,109.625627964468,116.983137199765,64.6477840428359,84.0764833547809,"Muc5b"
"Muc20",69.2696206587507,-3.41323086712775,0.414015280834872,-8.24421470686995,1.66248406295331e-16,1.82006380234895e-13,78.1889211025224,223.558808258436,53.9386563168293,114.61155083809,224.658312224805,45.9641448395219,146.207490719883,11.2123777831886,17.0905182123066,10.0175882101653,4.76633165062905,13.2241807269299,7.54224147166419,18.7935668675393,"Muc20"
"Cd44",10810.949960364,-0.934712311625968,0.178831440782675,-5.22677839833475,1.72489024100647e-07,7.12598186628197e-06,15302.0317945937,14193.1390304874,19686.5087667383,10968.4571526199,10483.6290812632,16771.5681984209,11962.5141313374,7501.08073695317,10851.4109074264,5613.60599327135,5074.95162500728,7588.64524791517,7679.07928122153,7676.67749784064,"Cd44"
"Ereg",136.567527267239,-2.67597076793027,0.408473345524445,-6.55115149433935,5.7095100527962e-11,9.5119196281747e-09,192.515578849068,207.29998583964,221.808964241655,623.11797179789,154.452589654553,127.203098509375,127.017757562898,12.3336155615075,28.8402494832674,45.0791469457436,51.2380652442623,73.2416163337657,28.0140397518956,19.7827019658308,"Ereg"
