"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","T1.2442","T2.2443","T3.2538","T31","T32","T33","T34","T27.2846","T28.3102","T29.4247","T42","T43","T44","T45","Symbols"
"Nos2",1689.47107692944,-2.92182286199837,0.314285644256507,-9.29671117785354,1.44857053889032e-20,3.17174866422457e-17,1923.18463921919,3192.41978193046,1357.82311360834,4875.60172013529,4193.19633896865,2306.75871078345,3046.59858787556,359.917326840354,535.14685152285,519.662388402322,380.114949137667,292.966465335063,115.288548209724,553.915655043262,"Nos2"
"Duox2",12572.1607981949,-1.12729563205633,0.184179599548601,-6.12063244148199,9.32046762904144e-10,8.92842545939488e-08,19032.103266014,19474.0045521121,13074.620212309,18916.1753848751,19942.2546130007,14525.7387028898,15774.8744518583,5660.0083049536,11671.7557816171,8269.51906749142,8055.1004895631,10457.2752209877,5771.96965195787,5384.85147509914,"Duox2"
"Noxo1",1553.17285146596,-1.56503435269124,0.182461581481206,-8.57733633560799,9.70953918821249e-18,1.3528918830703e-14,1928.4410372765,3609.45857697256,2280.83460996878,2387.08195538642,2408.69451800117,1794.73951594319,1842.21438307052,703.016087005925,964.546121607054,884.052159547083,811.467963519596,986.727331163233,503.17525246674,639.970408594626,"Noxo1"
"Cxcl1",301.667537076306,-2.2090580530259,0.377751404608366,-5.84791486166978,4.97773197125564e-09,3.73988715310957e-07,546.665397960493,920.249348903815,495.355006991289,745.633767521365,242.528859788141,305.715009862867,215.656048811827,170.428142304467,83.3162762849947,157.777014310103,120.349874178384,63.0691696207427,28.0140397518956,128.5875627779,"Cxcl1"
"Cxcl3",354.752833752365,-1.97813667921243,0.415802970218205,-4.75738948707929,1.96112556666676e-06,5.43547406153734e-05,1101.21539300695,777.984652739356,414.997416968258,558.566638567242,251.46413356981,544.087202867829,312.518511413749,269.097066796526,175.177811676143,149.011624626208,112.008793789783,52.8967229077197,26.936576684515,220.577126919013,"Cxcl3"
"Cxcl6",1269.7691422609,-2.04783787702573,0.543575938030972,-3.76734460403772,0.000164993178461813,0.00199751220085641,2732.6699400453,2058.36691821949,916.957157386097,3556.91019842347,1586.64933008768,1051.83066330441,2411.50980006107,902.596411546682,525.533435028428,493.366219350639,463.525753023675,179.035062149205,32.323892021418,865.493211005097,"Cxcl6"
"Socs3",1793.67452302885,-2.23236002776518,0.213055206560378,-10.4778478020088,1.09200490442839e-25,1.6737159170174e-21,3141.35488900134,3036.33508671002,1830.61194805892,4908.53607382439,3300.94542848491,2249.03629633382,2239.7159984652,603.225924735546,859.866697556676,525.923381033676,627.964194970377,800.571556314911,412.668354806769,574.687492107385,"Socs3"
"Lag3",74.5958904919644,-0.815297390797108,0.310964509874088,-2.62183421229396,0.00874579638682527,0.0401939493915655,74.9036723167022,111.372933568748,142.552163123049,79.042448853855,48.5057719576283,110.100160894669,98.6900562359209,87.456546708871,70.4983876257647,48.8357425245556,36.9390702923751,19.3276487547437,40.9435965604628,75.174267470157,"Lag3"
"Il10",11.9884132401058,-1.92092234952899,0.573693858130205,-3.34834044727216,0.00081297076651208,0.00684172764860028,19.7114927149216,15.4458812978555,25.318144801777,34.2517278366705,5.10587073238192,25.6544064220587,7.31037453599414,15.697328896464,4.27262955307665,1.25219852627066,2.38316582531453,4.06897868520921,5.387315336903,1.97827019658308,"Il10"
"Il17a",32.9843853162332,-3.08628506201104,0.550341384130688,-5.60794654191978,2.04741240878101e-08,1.25022669280424e-06,78.1889211025224,120.315285899085,82.008773379669,59.2818366403912,11.4882091478593,45.9641448395219,15.5345458889875,2.24247555663772,13.8860460474991,11.2697867364359,8.34108038860084,8.13795737041841,2.1549261347612,2.96740529487462,"Il17a"
