"","unique_genes","Entrez","Ensembl","Symbols"
"289353",4.43150944861716,"289353","ENSRNOG00000002397","Slc30a10"
"29172",4.39364781651181,"29172","ENSRNOG00000014652","Aqp8"
"59301",4.16271078455023,"59301","ENSRNOG00000010349","Ghrl"
"498392",3.9595650562689,"498392","ENSRNOG00000028108","Cytl1"
"363331",3.73092554957635,"363331","ENSRNOG00000047046","Plin4"
"353227",3.4486576301596,"353227","ENSRNOG00000029980","Zbtb16"
"94199",3.44250766007121,"94199","ENSRNOG00000015880","Dpep1"
"25007",3.42254880407354,"25007","ENSRNOG00000050658","Tacr2"
"309407",3.29432825888592,"309407","ENSRNOG00000027770","Trpm3"
"102553587",3.13816240025899,"102553587","ENSRNOG00000066798","Peg10"
"362282",3.13686037213874,"362282","ENSRNOG00000028616","Pck1"
"314459",3.11524868198052,"314459","ENSRNOG00000009050","Amn"
"500128",3.10144463813282,"500128","ENSRNOG00000050564","Hoxa11-as"
"314917",3.06948962021093,"314917","ENSRNOG00000004398","Pkhd1l1"
"500129",3.06507322829203,"500129","ENSRNOG00000057061","Hoxa13"
"289264",3.03688818604445,"289264","ENSRNOG00000003616","Grem2"
"290803",3.02200810033872,"290803","ENSRNOG00000007748","Tex15"
"289395",2.98768358702889,"289395","ENSRNOG00000034164","Cr2"
"81924",2.9798165964328,"81924","ENSRNOG00000019481","Cyp8b1"
"287366",2.93098036749599,"287366","ENSRNOG00000021657","Pld6"
"24324",2.89845125757109,"24324","ENSRNOG00000009390","Edn2"
"117064",2.89021045367462,"117064","ENSRNOG00000018808","Vip"
"295327",2.88924040505539,"295327","ENSRNOG00000054375","Nhlh2"
"363455",2.78825269788911,"363455","ENSRNOG00000004330","Chrdl1"
"361549",2.7566733200209,"361549","ENSRNOG00000021087","Lgi4"
"287920",2.73756249627251,"287920","ENSRNOG00000000251","St6galnac1"
"304445",2.72469481355955,"304445","ENSRNOG00000000961","Glt1d1"
"25527",2.71998391416565,"25527","ENSRNOG00000008245","Ptgis"
"685750",2.66812570850996,"685750","ENSRNOG00000014907","Aldh8a1"
"306942",2.66779297404428,"306942","ENSRNOG00000016628","Scgn"
"25440",2.64019888157438,"25440","ENSRNOG00000003902","Fabp6"
"64155",2.63538420142523,"64155","ENSRNOG00000029342","Scn7a"
"24684",2.57336140667335,"24684","ENSRNOG00000057557","Prlr"
"81526",2.55719168273589,"81526","ENSRNOG00000008697","Ccn3"
"25081",2.53584822312881,"25081","ENSRNOG00000045679","Apoa1"
"65133",2.48984551467754,"65133","ENSRNOG00000009797","Aqp3"
"24953",2.45697014128751,"24953","ENSRNOG00000036692","Gcgr"
"24677",2.45201946766046,"24677","ENSRNOG00000020874","Ppy"
"690212",2.4338762101722,"690212","ENSRNOG00000023476","Slc16a5"
"114629",2.42506025493834,"114629","ENSRNOG00000006878","Slc26a3"
"499949",2.4069563583001,"499949","ENSRNOG00000028440","Apcdd1l"
"54297",2.39209556106434,"54297","ENSRNOG00000002369","Rgs8"
"689991",2.32722749084749,"689991","ENSRNOG00000028362","Unc80"
"65195",2.32188775604695,"65195","ENSRNOG00000014686","Kcnd3"
"84510",2.31451558717588,"84510","ENSRNOG00000011705","Stmn2"
"363112",2.29928836709033,"363112","ENSRNOG00000010545","Mrap2"
"309122",2.27447238292339,"309122","ENSRNOG00000062678","H19"
"24952",2.27311281673335,"24952","ENSRNOG00000005498","Gcg"
"50565",2.24870885812989,"50565","ENSRNOG00000029079","Hspb7"
"25598",2.24502081988078,"25598","ENSRNOG00000024947","Fabp2"
"83783",2.22048509803461,"83783","ENSRNOG00000019342","Sult1a1"
"499353",2.20906257335435,"499353","ENSRNOG00000013241","Cyp2c24"
"309410",2.19975395513262,"309410","ENSRNOG00000024620","Mamdc2"
"314981",2.1949308960794,"314981","ENSRNOG00000026415","Col14a1"
"81725",2.19332083156206,"81725","ENSRNOG00000033567","Musk"
"310787",2.18571772675605,"310787","ENSRNOG00000020421","Fndc7"
"102555659",2.16777363833683,"102555659","ENSRNOG00000055939","Zcchc18"
"361245",2.16068723375447,"361245","ENSRNOG00000003094","Cmahp"
"338458",2.13535018908883,"338458","ENSRNOG00000058068","Obscn"
"25294",2.12441765568895,"25294","ENSRNOG00000001333","Azgp1"
"191574",2.11948713826848,"191574","ENSRNOG00000017672","Akr1c14"
