"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno04657","rno04657","IL-17 signaling pathway",76,-0.789407762810843,-2.75380131503954,6.79828044393059e-15,2.28422222916068e-12,1.58865079847641e-12,632,"tags=34%, list=5%, signal=33%","Hsp90aa1/Cebpb/Ccl7/Ccl2/Mmp3/Fos/Ccl20/Tnfaip3/Il1b/Fosb/Mmp9/Tnf/Fosl1/Muc5b/Cxcl3/Cxcl6/Lcn2/Cxcl2/Cxcl1/Ptgs2/Mmp13/S100a8/Il17a/S100a9/Il17c/Csf3"
"rno03010","rno03010","Ribosome",129,-0.646014586622018,-2.48319598603851,3.51468072459734e-11,5.90466361732353e-09,4.10662695189794e-09,3789,"tags=84%, list=28%, signal=62%","mrpl24/Mrps21/Mrps18a/Rplp1/Rps9/Mrpl16/Mrpl13/Mrpl3/Rpl18a/Rpl22/Rps13/Rps6/Rpsa/Rpl18/Rpl13/Mrpl18/Rpl8/Mrpl19/Rps5/Mrpl23/Fau/Mrps5/Rpl6/Rps8/Rpl37a/Rps27/Rpl21/Rps11/Rpl19/Rpl23/Rplp2/Rpl15/Mrps14/Mrpl10/Rps29/Mrpl1/Rpl26/Rpl4/Rpl31/Rps28/Rpl12/Mrpl30/Rpl7a/mrpl11/Rn5-8s/Rpl29/Mrpl27/Mrps16/Rplp0/Rpl24/Rpl23a/Rps19/Rps14/Rps2/Uba52/Rpl32/Mrps11/Rpl27l1/Mrpl12/Rps15/Rps24/Rpl14/Rpl35a/Rpl17/Mrps12/Mrpl21/Mrpl20/Rpl28/Rps10/Mrpl32/Rpl27/Rpl10a/Rps3/Rpl13a/Mrps2/Rpl11/Mrpl28/Rpl36al1/Rps16/Rpl34/Mrpl35/Mrps15/Rps15a/Rpl36/Rpl35/Rps21/Rps12/Rpl37/Mrpl22/Mrps18c/Mrpl17/Rps27a/Rps18/Rps23/Rps25/Mrps7/Rps12l3/Rps17/Mrps10/Rpl9/Mrpl4/Rpl38/Rps20/Rpl30l1/Rpl22l1/Rps27l/Rpl39/Rpl37l1/Rps15al4"
"rno03050","rno03050","Proteasome",40,-0.762004054813678,-2.36259847315286,1.93516942739817e-07,2.16738975868595e-05,1.50739513292068e-05,3155,"tags=95%, list=23%, signal=73%","Psmd7/Psma7/Psmd6/Psmd4/Psmc2/Psme1/Psmd1/Psmc6/Psmd11/Psmd13/Psma4/Psmc1/Psmd2/Psmc3/Psmd14/Psmb3/Psmb1/Psma1/Psmf1/Psmb4/Pomp/Adrm1/Psmd12/Psmc5/Psmc4/Psma2/Psmd3/Psma3/Psmb2/Psmb7/Psmd8/Psmb5/Psma6/Psmb6/Psme2/Psmb9/Psma5/Psmb8"
"rno05171","rno05171","Coronavirus disease - COVID-19",193,-0.489527848267995,-1.96492014678991,3.71698135228136e-07,3.12226433591634e-05,2.17149963212227e-05,3467,"tags=57%, list=25%, signal=43%","Rpl18a/Rpl22/Rela/Rps13/Rps6/Rpsa/Rpl18/Rpl13/Mapk13/Rpl8/Rps5/Fau/Myd88/Rpl6/Rps8/Rpl37a/Rps27/Irf3/Nlrp3/Rpl21/Rps11/Rpl19/Rpl23/Rplp2/Rpl15/Oas3/Rps29/Rpl26/Mapk14/Casp1/Rpl4/Rpl31/Rps28/Rpl12/Rpl7a/Traf3/Rpl29/Rplp0/Rpl24/Rpl23a/Rps19/F2/Rps14/Rps2/Uba52/Rpl32/Masp1/Rpl27l1/Rps15/Rps24/Rpl14/Rpl35a/Oas1b/Rpl17/Rpl28/Rps10/Rpl27/Rpl10a/Rps3/Rpl13a/Rpl11/Rpl36al1/Mx2/Stat3/Rps16/Rpl34/Vwf/Rps15a/Rpl36/Rpl35/Rps21/Rps12/Rpl37/Oas2/Mapk10/Cgas/Rps27a/Rps18/Rps23/Tmprss2/Rps25/Rps12l3/Rps17/Rpl9/Nfkbib/Nfkbia/Rpl38/Oas1i/Tlr2/Rps20/Rpl30l1/Ccl12/Tnfrsf1a/Rpl22l1/C6/Rps27l/C2/Rpl39/Ccl2/Mmp3/Fos/Selp/Rpl37l1/Rps15al4/Il1b/Hbegf/Sting1/Tnf/C3/Csf3"
"rno04080","rno04080","Neuroactive ligand-receptor interaction",149,0.530691518436345,1.9488614690827,6.6179068791973e-07,4.44723342282058e-05,3.09300068880379e-05,1412,"tags=37%, list=10%, signal=33%","Ghrl/Tacr2/Edn2/Vip/Prlr/Gcgr/Ppy/Gcg/Trpv1/Avpr1b/Tac3/Sstr1/Pyy/Nmu/Ptger3/Npy1r/Chrna7/Adcyap1r1/Adora1/Gria2/Gabrb3/P2rx5/Adora2b/Thrb/Chrm1/Tacr1/Cnr1/Lepr/Ptger1/Edn3/Adrb1/Gria4/Cysltr1/Vipr1/Sstr2/Gpr156/Ghr/Adora3/Edn1/Calcrl/Hrh1/Vipr2/Agtr1a/Gabrr2/Gipr/P2ry4/Agt/Grin1/P2ry1/Lpar1/P2rx3/P2rx1/Aplnr/P2rx7/Chrm3"
"rno04060","rno04060","Cytokine-cytokine receptor interaction",182,-0.493391923232949,-1.95981531849081,2.09252181627407e-06,0.000117181221711348,8.14982181075164e-05,874,"tags=25%, list=6%, signal=24%","Ccl12/Il1rl1/Tnfrsf9/Tnfrsf1a/Csf3r/Tnfsf18/Tnfrsf21/Cx3cl1/Ccr8/Clcf1/Tnfrsf1b/Osmr/Ccl7/Il4r/Ccl2/Ccl4/Gdf15/Ccl20/Cxcl17/Csf2rb/Cxcr2/Tnfsf9/Ebi3/Lif/Tnfrsf12a/Epor/Ccl9/Tnfrsf11b/Inhbb/Thpol1/Il1b/Tnf/Il23a/Ccl25/Il1a/Il10/Cxcl3/Cxcl6/Cxcl2/Osm/Cxcl1/Tnfsf11/Il17a/Il17c/Il22/Csf3"
"rno04110","rno04110","Cell cycle",147,-0.509487753851323,-1.98162697955353,4.9600410207572e-06,0.000238081968996346,0.00016558332430197,2725,"tags=44%, list=20%, signal=35%","Anapc5/Ywhae/Ywhah/Mad2l1bp/Fzr1/E2f5/Chek1/E2f3/Ccnd3/Tgfb1/Mcm7/Mcm3/Skp1/E2f4/Fbxo5/Mcm6/Ddx11/Anapc15/Cdk2/Knl1/Anapc10/Tp53/Mtbp/Tfdp1/Cdc6/Cdc7/Mcm4/Tgfb2/Sfn/Pcna/Pttg1/Dbf4/Ccnb2/Skp2/Espl1/Mcm5/Ticrr/Sgo1/Bub1b/Bub1/Ndc80/Ccne2/Myc/Cdc45/Cdca5/Aurkb/Cdkn1a/Trip13/Orc1/Pkmyt1/Ttk/Ywhag/Ccna2/Esco2/Mad2l1/Cdc20/Ccnb1/Orc6/Plk1/E2f2/Cdk1/Gadd45g/Ccne1/Cdkn2a"
"rno04668","rno04668","TNF signaling pathway",110,-0.541025801784387,-2.01171830902736,6.54044311160901e-06,0.00024577994668393,0.000170937180964387,1043,"tags=27%, list=8%, signal=25%","Mapk10/Rhbdf1/Icam1/Nfkbia/Ifi47/Ccl12/Tnfrsf1a/Cx3cl1/Tnfrsf1b/Birc3/Cebpb/Junb/Ccl2/Mmp3/Fos/Ccl20/Nod2/Tnfaip3/Lif/Bcl3/Il1b/Mmp9/Tnf/Ripk3/Cxcl3/Cxcl6/Cxcl2/Cxcl1/Socs3/Ptgs2"
"rno04713","rno04713","Circadian entrainment",72,0.590979119017532,1.94216851443775,7.31487936559315e-06,0.00024577994668393,0.000170937180964387,2773,"tags=53%, list=20%, signal=42%","Per3/Adcyap1r1/Gria2/Gucy1a1/Rasd1/Ryr2/Adcy5/Prkacb/Cacna1h/Gria4/Prkg1/Cacna1c/Kcnj5/Adcy2/Per1/Adcy1/Gucy1b1/Prkcb/Grin1/Ryr1/Prkca/Gnb5/Adcy10/Per2/Plcb1/Gng8/Gnb4/Gng11/Gnb3/Nos1ap/Plcb2/Grin2d/Rps6ka5/Adcy7/Creb1/Adcy9/Cacna1d/Camk2g"
"rno04820","rno04820","Cytoskeleton in muscle cells",176,0.487827489646507,1.82842517128367,6.91009957053156e-06,0.00024577994668393,0.000170937180964387,2555,"tags=38%, list=19%, signal=31%","Obscn/Atp1a2/Col6a6/Sgce/Myh11/Lmod1/Dtna/Fmn2/Fbln2/Ank2/Tmod2/Des/Eno3/Daam2/Sspn/Synpo2/Actg2/Col24a1/Thbs4/Mybpc1/Pdlim3/Tpm2/Col6a5/Col4a6/Sgca/Acta1/Tmod1/Myl9/Fbln1/Flnc/Fhl1/Myom1/Lama2/Itga4/Tnnt2/Itgb8/Neb/Col4a3/Atp1b2/Pdlim4/Ank3/Syne1/Myh7b/Sdc2/Actn2/Tln2/Syne2/Ldb3/Sun2/Tnnt3/Col6a4/Syne3/Itga9/Tmod4/Sgcb/Itgb3/Sdc3/Pdlim2/Myh14/Fbn2/Thbs3/Itga1/Nebl/Col27a1/Ankrd1/Col4a5"
"rno03008","rno03008","Ribosome biogenesis in eukaryotes",73,-0.610012034880841,-2.12300048233867,1.26959454539244e-05,0.000284389178167907,0.000197789466019033,4219,"tags=84%, list=31%, signal=58%","Nat10/Gnl3l/Gnl2/Lsg1/Csnk2a1/Pop7/Riok1/Rexo5/Eif6/Afg2a/Wdr3/Csnk2a2/Pop5/Rpp25l/Rpp40/Mdn1/Nxt2/Utp6/Dkc1/Rexo2/Gtpbp4/Imp3/Wdr36/Mphosph10/Rrp7a/Tcof1/Nob1/Xpo1/Csnk2b/Imp4/Fcf1/Nmd3/Rn5-8s/Tbl3/Utp14a/Heatr1/Pwp2/Utp15/Nxt1/Riok2/Wdr43/Pop1/Gar1/Rpp38/Rpp30/Utp18/Rbm28/Rpp25/Fbl/Gnl3/Rcl1/Pop4/Nop58/Snu13/Nop56/Utp4/Ak6/Ran/Nop10/Nhp2/Emg1"
"rno03013","rno03013","Nucleocytoplasmic transport",95,-0.562410527561682,-2.03431907181201,1.26280922366501e-05,0.000284389178167907,0.000197789466019033,4049,"tags=63%, list=29%, signal=45%","Nup88/Nup214/Nup153/Rae1/Ipo13/Ipo8/Ncbp1/Sumo1/Nxt2/Thoc1/Nup188/Sap18/Thoc5/Tmem33/Thoc3/Nup210/Tnpo2/Xpo4/Pym1/Kpna3/Ddx39b/Kpnb1/Kpna4/Xpo5/Sec13/Cse1l/Nup160/Xpo1/Ipo7/Nup54/Pom121/Nmd3/Kpna2/Nup93/Rnps1/Nup62/Ipo9/Ipo4/Magoh/Rbm8a/Nup133/Thoc6/Thoc7/Nxt1/Nup37/Alyref/Nup205/Eif4a3/Ipo5/Nup107/Nup155/Ndc1/Nup35/Ranbp17/Nup85/Xpot/Nup43/Aaas/Rangap1/Ran"
"rno04024","rno04024","cAMP signaling pathway",159,0.490374153934921,1.80913074169044,1.0612910500715e-05,0.000284389178167907,0.000197789466019033,1492,"tags=26%, list=11%, signal=24%","Ghrl/Edn2/Vip/Gcg/Atp1a2/Sstr1/Ptger3/Npy1r/Adcyap1r1/Adora1/Gria2/Chrm1/Ryr2/Fxyd1/Adcy5/Prkacb/Edn3/Adrb1/Gria4/Cacna1c/Sstr2/Ppara/Atp2a3/Myl9/Adcy2/Edn1/Vipr2/Pik3r1/Hhip/Pde3a/Gipr/Adcy1/Atp1b2/Kcnk2/Grin1/Vav3/Creb3l2/Cftr/Pde4c/Ffar2/Adcy10/Gli1"
"rno04020","rno04020","Calcium signaling pathway",175,0.477544465501191,1.78683912283037,1.12318267447094e-05,0.000284389178167907,0.000197789466019033,2244,"tags=36%, list=16%, signal=31%","Tacr2/Avpr1b/Ptger3/Casq2/Chrna7/P2rx5/Adora2b/Chrm1/Ryr2/Tacr1/Fgfr3/Cacna1b/Vegfd/Pde1b/Ptger1/Prkacb/Ret/Cacna1h/Plcd1/Adrb1/Fgf9/Itpka/Cacna1c/Cysltr1/Atp2a3/Egf/Gna14/Adcy2/Hrh1/Agtr1a/Pdgfa/Flt4/Itpr2/Mylk/Pdgfd/Adcy1/Prkcb/Grin1/P2rx3/Ryr1/Cd38/Prkca/Fgf1/Slc8a3/P2rx1/Kdr/P2rx7/Asph/Stim1/Chrm3/Adra1d/Plcb1/Camk4/Erbb2/Pde1c/P2rx2/Cacna1a/Plce1/Plcb2/Chrm2/Grin2d/Fgf20/P2rx6"
