"","unique_genes","Entrez","Ensembl","Symbols"
"65133",3.56653729376996,"65133","ENSRNOG00000009797","Aqp3"
"94199",3.38350100208089,"94199","ENSRNOG00000015880","Dpep1"
"81526",3.0708777283596,"81526","ENSRNOG00000008697","Ccn3"
"500129",2.88718287007713,"500129","ENSRNOG00000057061","Hoxa13"
"29172",2.72980858403713,"29172","ENSRNOG00000014652","Aqp8"
"685750",2.47918582823101,"685750","ENSRNOG00000014907","Aldh8a1"
"102553587",2.44927549450049,"102553587","ENSRNOG00000066798","Peg10"
"499353",2.44175771556298,"499353","ENSRNOG00000013241","Cyp2c24"
"114629",2.43180055857012,"114629","ENSRNOG00000006878","Slc26a3"
"25440",2.42159526178382,"25440","ENSRNOG00000003902","Fabp6"
"681458",2.26863565977939,"681458","ENSRNOG00000013279","Scd3"
"170583",2.13442551343197,"170583","ENSRNOG00000066556","Fgf23"
"304445",2.12129594702942,"304445","ENSRNOG00000000961","Glt1d1"
"63887",2.0899993770139,"63887","ENSRNOG00000002164","Nmu"
"362282",2.03955707088777,"362282","ENSRNOG00000028616","Pck1"
"287920",2.02598509256488,"287920","ENSRNOG00000000251","St6galnac1"
"25421",2.00560834001507,"25421","ENSRNOG00000047653","Crybb1"
"84347",1.96364171239816,"84347","ENSRNOG00000065511","Cacng2"
"500128",1.93789554995724,"500128","ENSRNOG00000050564","Hoxa11-as"
"306168",1.92853130181949,"306168","ENSRNOG00000063983","Sox21"
"308015",1.90819778189623,"308015","ENSRNOG00000060831","Clca1"
"500366",1.90645690206887,"500366","ENSRNOG00000001840","Rep15"
"24324",1.89389708471764,"24324","ENSRNOG00000009390","Edn2"
"498335",1.87792821146992,"498335","ENSRNOG00000024899","Cxcl13"
"24258",1.83373822255646,"24258","ENSRNOG00000052549","Chga"
"290315",1.80920292300308,"290315","ENSRNOG00000011342","Tdh"
"24684",1.80081587683604,"24684","ENSRNOG00000057557","Prlr"
"103692131",1.78076093910596,"103692131","ENSRNOG00000059870","Hoxa11"
"25598",1.77406970235336,"25598","ENSRNOG00000024947","Fabp2"
"680174",1.7549741592206,"680174","ENSRNOG00000025519","Sval1"
"309407",1.72718778225731,"309407","ENSRNOG00000027770","Trpm3"
"24949",1.71844255111783,"24949","ENSRNOG00000010365","Syn1"
"293561",1.68852373629613,"293561","ENSRNOG00000014859","Rnf152"
"65270",1.68798909722021,"65270","ENSRNOG00000039906","Abo3"
"289201",1.63870923383649,"289201","ENSRNOG00000004642","Lmx1a"
"361245",1.63384565383379,"361245","ENSRNOG00000003094","Cmahp"
"116694",1.61838513510095,"116694","ENSRNOG00000018480","Capn9"
"246271",1.61625145297494,"246271","ENSRNOG00000017856","Fev"
"65047",1.60351961846303,"65047","ENSRNOG00000026065","Slit1"
"494499",1.59412894901826,"494499","ENSRNOG00000000201","Gsta5"
"103690342",1.5873333127854,"103690342","ENSRNOG00000046734","Evx1"
"25527",1.58444625334782,"25527","ENSRNOG00000008245","Ptgis"
"24784",1.58436455723919,"24784","ENSRNOG00000015159","Slc9a3"
"681070",1.57397884716051,"681070","ENSRNOG00000004393","Fcamr"
"29242",1.57319674686556,"29242","ENSRNOG00000002916","Car4"
"24362",1.57188442243056,"24362","ENSRNOG00000017597","Fbp1"
"502334",1.56377466909214,"502334","ENSRNOG00000022701","Ceacam18"
"304353",1.56015393320423,"304353","ENSRNOG00000069743","Nxpe5l1"
"314917",1.5517464407416,"314917","ENSRNOG00000004398","Pkhd1l1"
"191574",1.53858737021017,"191574","ENSRNOG00000017672","Akr1c14"
"312793",1.53571926182958,"312793","ENSRNOG00000008518","Gsg1"
"25314",1.53226261960427,"25314","ENSRNOG00000008676","Emp1"
"365527",1.517708777339,"365527","ENSRNOG00000040052","RT1-M6-2"
"298975",1.51479340121341,"298975","ENSRNOG00000004498","Scin"
"24572",1.50751720150409,"24572","ENSRNOG00000046602","Muc2"
"64348",1.50029515090683,"64348","ENSRNOG00000049770","Cryba4"
"246245",1.4884410625281,"246245","ENSRNOG00000003510","Fmo2"
"25258",1.48799236247055,"25258","ENSRNOG00000036826","Glycam1"
"286912",1.48526192425298,"286912","ENSRNOG00000027139","Krt20"
"81733",1.47635596114544,"81733","ENSRNOG00000015675","Nell1"
"171291",1.46867161079738,"171291","ENSRNOG00000011453","Kif6"
"114513",1.46178969286069,"114513","ENSRNOG00000056151","Rasgrf2"
"25229",1.45748192706127,"25229","ENSRNOG00000018385","Chrm1"
"117242",1.45734730311862,"117242","ENSRNOG00000027341","Tenm2"
