"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051607","BP","GO:0051607","defense response to virus",255,-0.619695220187412,-2.12622424378316,2.39634703639495e-12,1.83009023169483e-08,1.66558731382272e-08,1820,"tags=29%, list=13%, signal=25%","Lamp2/Fbxl2/Traf3ip2/Il15/Isg20/Abcc9/Adar/Cgas/Stat1/Pml/Gbp7/Samhd1/Tspan32/Ifnlr1/Il23r/Prf1/Gbp2/Zc3h12a/Trim15/Sting1/Trim21/Pmaip1/Eif2ak2/Tnfaip3/Slfn13/Oasl/Il1b/Stat2/Cd8a/Ripk3/Trim5/Mov10/Treml4/Dtx3l/Irf3/Il12b/Aim2/Ifih1/Bnip3/Garin5a/Mlkl/Il12rb1/Oas1k/Znfx1/Shfl/Nlrc5/Ifit1bl/Acod1/Mx1/Irgm/Parp9/Mill1/Tnf/Il6/Ifi27/Rig1/Il23a/Dhx58/Ddx60/Ifit3/Ifit2/Oas3/Bst2/Oas1a/Irf7/Rsad2/Zbp1/Oasl2/Oas1i/Usp18/Oas1b/Mx2/Oas2"
"GO:0019058","BP","GO:0019058","viral life cycle",216,-0.58739376200961,-1.98605326038535,6.66070842013056e-09,1.27169575511343e-05,1.15738572889795e-05,1411,"tags=19%, list=10%, signal=18%","Slc7a1/Gbp7/Samhd1/Slc20a2/Ace2/Usp6nl/Hs3st5/Zc3h12a/Trim15/Ch25h/Ccl5/Lgals9/Trim21/Eif2ak2/Siglec1/Oasl/Cd300lf/Trim5/Trim34/Mir24-2/Ifih1/Ceacam1/Nectin4/Znfx1/Shfl/Mx1/Tnf/Ifi27/Cldn6/Oas3/Bst2/Ly6e/Trim10/Oas1a/Rsad2/Oasl2/Oas1i/Oas1b/Mx2/Oas2/Serpinb3a/Serpinb3"
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus",442,-0.507983358726667,-1.78163461176449,1.32077782562223e-08,2.01735605085539e-05,1.8360202068597e-05,2176,"tags=27%, list=16%, signal=24%","Kcnj8/Ifi35/Polr3f/Apobec3/RT1-Db1/Prkdc/Tnip2/Mapk8/Traf3/Nlrp3/Nfkbia/Tlr2/Syt11/Clec2d/Lamp2/Fbxl2/Traf3ip2/Il15/Rab11fip2/Adar/Tlr5/Il18rap/Raet1ll1/Adam8/Cd274/Cd300a/Tnip3/Cgas/Mnda/Stat1/Cx3cl1/Klrk1/Tap2/Nfkbiz/Pml/Clec7a/Gbp7/Slc15a2/Samhd1/Tspan32/Lrrc19/Ifnlr1/Il23r/RT1-M3-1/Cd226/Prkd1/Scimp/Gbp2/Zc3h12a/Trim15/Clec4a/Alpk1/Lag3/Sting1/RT1-CE16/Lgals9/Trim21/Ppl/Eif2ak2/Mr1/Tnfaip3/Cadm1/Tap1/Oasl/Gbp4/Il1b/Cd300lf/Klrb1b/Klrc3/Ikbke/Stat2/Cd36/Trim5/Treml4/Dtx3l/Trafd1/Irf3/Il12b/Aim2/Sh2d1b2/Ifih1/Ereg/Irf4/Arg2/Klrd1/Tifa/Il12rb1/Ceacam1/Clec4e/Pla2g5/Nod2/Znfx1/Lbp/Nlrc5/Acod1/Prdm1/Parp14/Coch/Gbp1/Cxcl6/Irgm/Parp9/Mill1/Tnf/Casp4/Rig1/Il23a/Dhx58/Cxcl1/Ddx60/Il17a/Oas3/Otop1/Oas1a/Irf7/Rsad2/Zbp1/Usp18/Reg3g/Serpinb3a"
"GO:0044283","BP","GO:0044283","small molecule biosynthetic process",469,0.34258313177479,1.55760615517745,6.11149683895607e-07,0.000291709383494422,0.000265488247550177,2319,"tags=29%, list=17%, signal=25%","Aqp8/Aldh8a1/Scd3/Pck1/Edn2/Ptgis/Fbp1/Aldob/Pla2g10/Sptssb/Lipg/Acer1/Apoa1/Pc/Gstm1/Rgn/Coq8a/Bmp6/Prkaa2/Fgf1/Gne/Itpka/Fa2h/Aldoa/Cbs/Elovl6/Ppargc1a/Acsbg1/Adcyap1r1/Acss2/Alox5/Ptgs1/Lepr/Acss1/Slc45a3/Stard4/Agt/Hnf4a/Acot7/Scd/Nr1d1/C1qtnf3/Aldh1a2/Adk/Cth/Cftr/Cyp39a1/Gsto1/Akr1c15/Gpd1/Abat/Ipmk/Gulo/Plcd1/Glul/Aldh18a1/Tbxas1/Ppara/P2ry1/Lta4h/Ltc4s/Apob/Pdss1/Hpgds/Akr1b1/Acadm/Abcg4/Cacna1h/Abhd2/Ugdh/Eif6/Slc39a14/Mthfr/Nags/Mecr/Gstm7/Mgst3/Cyb5r3/Pdxk/Pltp/Insr/Pla2g3/Bmp2/Msmo1/Slc25a13/Ephx1/Scd2/Nus1/Mthfd1/Hsd17b10/Mid1ip1/Coq2/Apoe/Alox5ap/Pmvk/Pgm2/Hmgcs1/Erlin1/Ido1/Alox12/Pgp/Daglb/Slc38a1/Arpp19/Pparg/Foxo1/Abhd1/Degs1/Pnp/Myh9/Tk1/Ptk2b/Dhcr7/Hmgcl/P2ry6/Gamt/Ak1/Prps1/Pla2g4a/Per2/Fgfr4/Gstm4/Mri1/Ptafr/Lpcat3/Gcg/Fdft1/Ubiad1/Tcf7l2/Gstm2/Elovl7/Srebf1/Nr3c1/Ndufa9/Pdk2/Prkaca/Mdh2/Elovl5"
"GO:0031349","BP","GO:0031349","positive regulation of defense response",405,-0.481968684897552,-1.68071824548249,7.7119412494895e-07,0.000346447619543243,0.000315306180002348,1540,"tags=22%, list=11%, signal=21%","Il18rap/Raet1ll1/Adam8/Cd300a/Tnip3/Cgas/Mnda/Cx3cl1/Klrk1/Nfkbiz/Clec7a/Gbp7/Slc15a2/Lrrc19/Fcgr2a/RT1-M3-1/Cd226/Prkd1/Scimp/Gbp2/Trim15/Clec4a/Alpk1/Ccl5/Lag3/Sting1/Lgals9/Nkg7/Ccr7/Ccr5/Eif2ak2/Tnfaip3/Mdk/Cadm1/Oasl/Gbp4/Il1b/Tafa3/Cd300lf/Klrc3/Ikbke/Cd28/Cd36/Serpine1/Trim5/Treml4/Irf3/Tnfsf11/Il12b/Aim2/Sh2d1b2/Ifih1/Ptgs2/Ereg/Irf4/Klrd1/Tifa/Ccl3/Gja1/Clec4e/Pla2g5/Nod2/Znfx1/Lbp/Nlrc5/Acod1/Coch/Gbp1/Mmp8/Irgm/Parp9/Tnf/Osm/Il6/Casp4/Rig1/Dhx58/Cxcl1/Ddx60/Il17a/Oas3/C3/Oas1a/S100a8/Irf7/Rsad2/Zbp1/Tac1/S100a9/Reg3g/Lgals2"
"GO:0006631","BP","GO:0006631","fatty acid metabolic process",334,0.367250281253799,1.62613496667372,1.59692131274447e-06,0.00053408498152863,0.000486077218669985,2319,"tags=33%, list=17%, signal=28%","Cyp2c24/Scd3/Pck1/Edn2/Fabp2/Ptgis/Akr1c14/Fmo2/Pla2g10/Lipg/Cyp2d3/Hpgd/Fabp4/Slc27a6/Cyp4f1/Gstm1/Ucp3/Cyp2c55/Rgn/Prkaa2/Fa2h/Ces2h/Elovl6/Etfb/Ppargc1a/Acsbg1/Acss2/Alox5/Ptgs1/Acss1/Slc45a3/Agt/Hnf4a/Acot7/Cyp4f40/Phyh/Scd/Prkar2b/Nudt19/Akr1c15/Acads/Hadh/Cyp2d2/Tbxas1/Ppara/Ltc4s/Gsta2/Ehhadh/Cryl1/Hpgds/Acsf2/Akr1b1/Acadm/Cyp2t1/Nudt7/Abhd2/Pcca/Eci1/Eif6/Irs2/Pnpla3/Mecr/Aldh3a2/Tysnd1/Gstm7/Mgst3/Echs1/Adh4/Pla2g3/Ephx2/Acot1/Ephx1/Ppard/Scd2/Naaa/Acaa1b/Hsd17b10/Acad11/Mid1ip1/Cpt1a/Alox5ap/Decr1/Erlin1/Alox12/Daglb/Adtrp/Faah/Pparg/Abhd1/Degs1/Lipe/Eci2/Acaa2/Hadha/Pla2g4a/Acsl1/Per2/Gstm4/Ptgr3/Gstm2/Elovl7/Gpx1/Acadsb/Acot2/Srebf1/Pam/Aoah/Pdk2/Gpx4/Elovl5"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity",241,-0.539496605588258,-1.83589859606135,1.70356414817773e-06,0.000542088308318054,0.000493361143439365,2423,"tags=37%, list=18%, signal=31%","C4a/Nectin2/Serpinb9/Fas/Il27ra/Aplf/Thoc1/Pirb/Tp53bp1/Prdx1/RT1-Db1/Malt1/Il21r/Kmt5c/Nlrp3/Il1r1/Icam1/Il7r/Clec2d/C4b/Fcer2/Sanbr/Traf3ip2/Slamf1/Csf3r/Fcgr3a/Il18rap/Raet1ll1/Tcirg1/Il2rb/Bcl3/Klrk1/RT1-T24-4/Tap2/Nfkbiz/Myo1g/B2m/Shld2/Tnfrsf1b/Fcgr2a/Prf1/Gzmm/RT1-M3-1/C1rl/Cd226/Arid5a/Lag3/RT1-CE16/Lgals9/Nkg7/Ager/Slfn2/Mr1/Cadm1/Tap1/Il9r/Il1b/Klrb1b/Klrc3/RT1-M2/Micb/Cd8a/Cd28/Clcf1/Cd80/Ripk3/Treml4/Il12b/Sh2d1b2/RT1-S3/Lilrb4/Klrd1/C6/Ceacam1/Ephb6/Nod2/RT1-N3/RT1-CE1/RT1-T24-1/Mill1/Tnf/Il6/Il23a/C2/Gata3/C3/Irf7/Rsad2/Cfi/Serpinb3a"
"GO:0031341","BP","GO:0031341","regulation of cell killing",95,-0.653417018622233,-2.03871889156379,2.32569812686437e-06,0.000658703734578514,0.000599494257103152,1540,"tags=41%, list=11%, signal=37%","Il18rap/Raet1ll1/Klrk1/RT1-T24-4/Tap2/Clec7a/B2m/Fcgr2a/Prf1/RT1-M3-1/Cd226/Lag3/RT1-CE16/Lgals9/Ager/Ccr5/Mr1/Ccl2/Cadm1/Tap1/Klrb1b/Klrc3/RT1-M2/Micb/Ripk3/Il12b/Sh2d1b2/RT1-S3/Klrd1/Ceacam1/RT1-N3/RT1-CE1/RT1-T24-1/Cxcl6/Mill1/Il23a/Cxcl1/Nos2/Serpinb3a"
"GO:0002683","BP","GO:0002683","negative regulation of immune system process",444,-0.466473697544116,-1.63589810421348,2.95153905897561e-06,0.000805032278335598,0.000732669639338946,2398,"tags=29%, list=18%, signal=24%","Cd47/Serpinb9/Mefv/Fas/Il2ra/Il27ra/Gpr137/RT1-DOb/Tmem178a/Thoc1/Sla2/Gpx2/Pirb/Anxa1/Cd44/Marchf7/RT1-Db1/Prkdc/Thy1/Glmn/Rc3h2/Il7r/Cd200/Syt11/Clec2d/Lamp2/Fbxl2/Fstl3/Nfkbid/Ubash3a/Slamf1/Tnfrsf13b/Adar/Pdcd1/Ctla4/Fcrl5/Cd274/Cd300a/Gli3/Cgas/Mnda/Cx3cl1/Klrk1/Tap2/Enpp3/Samhd1/Tspan32/Gnrh1/Slit2/Bpi/RT1-M3-1/Samsn1/Vtcn1/Tbc1d10c/Zc3h12a/Lag3/Pvrig/RT1-CE16/Erfe/Lgals9/Trim21/Lst1/Calca/Tnfaip3/Mdk/Ccl2/Dapl1/Tnfrsf4/Tap1/Btn2a2/Pla2g2f/Shh/Tafa3/Cd300lf/Adora2a/Stat2/Pla2g2a/Cd80/Ypel4/Angpt1/Trafd1/Tgfb2/Padi2/Tnfaip6/Il12b/Sh2d1b2/Il10/Irf4/Arg2/Tigit/Lilrb4/Apod/Klrd1/Ceacam1/Ccl3/Hspb1/Pla2g5/Nod2/Alox15/Nlrc5/Zpbp2/Acod1/Socs1/Prdm1/Parp14/Gbp1/Irgm/Twist1/Mill1/Pla2g2d/Tnf/Adipoq/Pglyrp1/Dhx58/Tnfrsf11b/Oas3/Bst2/Npy/Otop1/Gata2/Oas1a/Usp18/Ccl25/Lgals5/Fcrlb/Cdkn2a/Serpinb3a"
"GO:0140888","BP","GO:0140888","interferon-mediated signaling pathway",68,-0.699740485481936,-2.07793385103422,3.57022128275335e-06,0.00086313143290182,0.000785546384492494,1047,"tags=29%, list=8%, signal=27%","Adar/Stat1/Samhd1/Sting1/Ikbke/Stat2/Irf3/Ifih1/Nlrc5/Parp14/Irgm/Parp9/Ifi27/Oas3/Otop1/Oas1a/Irf7/Zbp1/Usp18/Oas2"
"GO:0035456","BP","GO:0035456","response to interferon-beta",42,-0.76805725147053,-2.11534406723354,6.82020407036599e-06,0.00137068153908908,0.0012474738913193,1515,"tags=50%, list=11%, signal=45%","Pnpt1/Mnda/Stat1/Gbp7/Gbp2/Sting1/Gbp4/Ikbke/Ifgga2l1/Aim2/Igtp/Ifi47/Shfl/Acod1/Gbp1/Irgm/MGC105567/Xaf1/Ifit3/Bst2/Oas1a"
