"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno05171","rno05171","Coronavirus disease - COVID-19",194,-0.61402702185553,-2.03105012854762,3.65419066826151e-09,1.22780806453587e-06,9.88554738677061e-07,2091,"tags=28%, list=15%, signal=24%","Vwf/Plcg1/Mapk8/Traf3/Nlrp3/Nfkbia/Rps27l/Tlr2/C4b/Rpl27l1/Fos/Adar/Tmprss2/Cgas/Hbegf/Stat1/Mapk11/Cfd/Ace2/Rpl37l1/Rpl22l1/Rpl31l2/Sting1/Prkcg/Rpl39/Eif2ak2/Ccl2/Il1b/Ikbke/Irf9/Stat2/Rps12l3/Irf3/Ccl12/Il12b/Ifih1/C6/Mapk10/Rps15al4/Mx1/Rpl6-ps6/Tnf/Il6/C2/Oas3/C3/Oas1a/Oas1i/Mmp3/Oas1b/Mx2/Oas2/Csf3/Rps15al2"
"rno04657","rno04657","IL-17 signaling pathway",77,-0.739278278629937,-2.21187357122029,2.47083837325012e-08,4.15100846706019e-06,3.34213401013305e-06,928,"tags=34%, list=7%, signal=32%","Tnfaip3/Ccl2/Il1b/Ikbke/Mapk15/Ccl12/Ccl7/Ptgs2/Lcn2/Cxcl3/Ccl11/Mapk10/Mmp13/Cxcl6/Ccl20/Tnf/Il6/Cxcl1/Il17a/Cxcl2/Muc5b/S100a8/Mmp3/Il17c/S100a9/Csf3"
"rno05168","rno05168","Herpes simplex virus 1 infection",292,-0.511280212762732,-1.74026802939619,1.77172661086776e-06,0.000198433380417189,0.000159766224208075,2650,"tags=33%, list=19%, signal=27%","Zfp184/Zfp874b/Zfp52/Zfp791/Pik3r3/Tsc2/Zfp933/Srsf6/Nectin2/Pik3cd/Srsf7/Fas/Cyct/RT1-DOb/Zfp605/Daxx/Zfp455l1/Zfp712/Giot1/Zfp819/Zfp617/RT1-Db1/Znf81L/Traf3/Zfp53/Zfp948/Nfkbia/Zfp248/Zfp14/Zfp788/Tlr2/Zfp612/Zfp442/Nxf1/Zfp873/Zfp853/Zfp54/Bid/RT1-CE15/Cgas/Zfp74/Stat1/RT1-T24-4/Tap2/Pml/Zfp748/B2m/Zfp867/Zfp354c/Eif2ak3/Zfp51/Zfp758/RT1-M3-1/Srsf5/Ccl5/Akt3/Znf624l/Sting1/RT1-CE16/Zfp458/Zfp57/Eif2ak2/Ccl2/Tap1/Zfp958/Birc3/Il1b/Zfp386/RT1-M2/Ikbke/Irf9/Stat2/Zfp709l1/Faslg/Irf3/Ccl12/Il12b/Socs3/Ifih1/RT1-S3/Zfp286a/RT1-N3/RT1-CE1/RT1-T24-1/Tnf/Il6/Oas3/Bst2/RT1-T18/C3/Oas1a/Irf7/Oas1i/Oas1b/Oas2"
"rno05146","rno05146","Amoebiasis",85,-0.663852633658801,-2.01198839091323,2.73418778109195e-06,0.000212245252527618,0.000170886685149116,851,"tags=24%, list=6%, signal=22%","Lama5/Prkcg/Lama1/Il1b/Tgfb2/Il12b/Il10/Cxcl3/Arg2/Gnal/Hspb1/Tnf/Il6/Cxcl1/Cxcl2/Nos2/Prdx1l1/Serpinb13/Serpinb3a/Serpinb3"
"rno05162","rno05162","Measles",115,-0.609707708760371,-1.90541314654372,3.1584114959467e-06,0.000212245252527618,0.000170886685149116,2015,"tags=31%, list=15%, signal=27%","Mapk8/Traf3/Nfkbia/Tlr2/Cd3d/Fos/Slamf1/Adar/Bid/Il2rb/Stat1/Eif2ak3/Akt3/Cd3e/Eif2ak2/Tnfaip3/Il1b/Ikbke/Irf9/Stat2/Cd28/Faslg/Irf3/Il12b/Ifih1/Il1a/Mapk10/Mx1/Il6/Oas3/Oas1a/Irf7/Oas1i/Oas1b/Mx2/Oas2"
"rno04260","rno04260","Cardiac muscle contraction",55,0.616279648747871,2.0969997040913,9.10980974951598e-06,0.000510149345972895,0.000410740544846598,3418,"tags=60%, list=25%, signal=45%","Cacng2/Atp2a3/Atp1a2/Slc9a7/Asph/Cacna2d1/Tpm2/Cox5b/Cacna1d/Uqcrb/Cox6a1/Atp1b2/Cox5a/Hrc/Cyc1/Uqcrc1/Tpm3/Cacnb1/Tpm4/Cox4i1/Cox6b1/Atp1a1/Cox7a2l/Atp2a2/Cox6c/Uqcrh/Cacna1c/Slc8a3/CYTB/Slc9a1/Uqcrc2/COX3/Uqcr10"
"rno04060","rno04060","Cytokine-cytokine receptor interaction",183,-0.546485333162493,-1.78783585815699,1.96921009462147e-05,0.000945220845418307,0.000761033074161982,1771,"tags=36%, list=13%, signal=32%","Cxcr6/Il15/Ccl4/Tnfrsf13b/Csf3r/Tnfrsf9/Cd27/Il18rap/Il3ra/Il2rb/Cx3cl1/Tnfsf9/Ifnlr1/Tnfrsf1b/Il23r/Gdf15/Ccl5/Ccr7/Osmr/Ccr5/Ccl2/Eda2r/Tnfrsf4/Il9r/Il1b/Ngfr/Clcf1/Ccr4/Epor/Faslg/Tgfb2/Tnfsf11/Ccl12/Il12b/Cxcl17/Ccl27/Ccl7/Tnfrsf19/Lif/Il10/Edar/Cxcl3/Il1a/Cxcr2/Thpol1/Il12rb1/Tnfrsf18/Ccl11/Ccl3/Eda/Il11/Cxcl6/Tnfsf8/Ccl20/Tnf/Osm/Il6/Il23a/Tnfrsf11b/Cxcl1/Il17a/Cxcl2/Il17c/Ccl25/Il22/Csf3"
"rno05169","rno05169","Epstein-Barr virus infection",180,-0.539002838295253,-1.75750455984985,3.0538248482881e-05,0.001282606436281,0.00103267498159216,2635,"tags=31%, list=19%, signal=25%","E2f2/Myc/Pik3r3/Gadd45a/Ccne1/Pik3cd/Fas/Cyct/RT1-DOb/Cd44/RT1-Db1/Mapk8/Traf3/Nfkbia/Icam1/Tlr2/Cd3d/Fcer2/Bid/RT1-CE15/Stat1/Mapk11/RT1-T24-4/Tap2/Bcl2l11/Gadd45g/B2m/Cd247/RT1-M3-1/Akt3/Cd3e/RT1-CE16/Eif2ak2/Tnfaip3/Gadd45b/Tap1/RT1-M2/Ikbke/Irf9/Stat2/Irf3/RT1-S3/Mapk10/RT1-N3/RT1-CE1/RT1-T24-1/Tnf/Il6/Rbpjl/Oas3/RT1-T18/Oas1a/Irf7/Oas1i/Oas1b/Oas2"
"rno00010","rno00010","Glycolysis / Gluconeogenesis",54,0.581461183904747,1.97698185471686,7.39047393932725e-05,0.00273265847662708,0.00220016675593095,1624,"tags=31%, list=12%, signal=28%","Pck1/Fbp1/Aldob/Adh1c/Eno3/Aldoa/Acss2/Acss1/Aldh3a1/Aldoart2/Aldh1b1/Aldh3a2/Aldh9a1/Hk1/Adh4/Minpp1/Pgm2"
"rno05164","rno05164","Influenza A",132,-0.563508640364039,-1.7831522987429,8.1329121328187e-05,0.00273265847662708,0.00220016675593095,2561,"tags=35%, list=19%, signal=29%","Pik3r3/Slc25a4/Il33/Casp1/Pik3cd/Fas/Cyct/RT1-DOb/RT1-Db1/Traf3/Nlrp3/Nfkbia/Icam1/Nxf1/Kpna5/Adar/Tmprss2/Bid/Stat1/Pml/Ccl5/Akt3/Eif2ak2/Ccl2/Il1b/Ikbke/Irf9/Stat2/Faslg/Irf3/Ccl12/Il12b/Socs3/Ifih1/Il1a/Mx1/Tnf/Il6/Oas3/Oas1a/Irf7/Rsad2/Oas1i/Oas1b/Mx2/Oas2"
