"","unique_genes","Entrez","Ensembl","Symbols"
"65133",3.04452161409916,"65133","ENSRNOG00000009797","Aqp3"
"59301",2.60405273846744,"59301","ENSRNOG00000010349","Ghrl"
"500129",2.59329554155461,"500129","ENSRNOG00000057061","Hoxa13"
"81526",2.46540375455523,"81526","ENSRNOG00000008697","Ccn3"
"287920",2.23971930794791,"287920","ENSRNOG00000000251","St6galnac1"
"81733",2.17772703878269,"81733","ENSRNOG00000015675","Nell1"
"362282",2.15584718760718,"362282","ENSRNOG00000028616","Pck1"
"94199",2.09638050718452,"94199","ENSRNOG00000015880","Dpep1"
"29172",2.06437841155812,"29172","ENSRNOG00000014652","Aqp8"
"25527",2.05127584484113,"25527","ENSRNOG00000008245","Ptgis"
"25421",1.98069923318682,"25421","ENSRNOG00000047653","Crybb1"
"25440",1.97585633049649,"25440","ENSRNOG00000003902","Fabp6"
"63887",1.97417359608633,"63887","ENSRNOG00000002164","Nmu"
"102553587",1.95231302064055,"102553587","ENSRNOG00000066798","Peg10"
"685750",1.9252424268602,"685750","ENSRNOG00000014907","Aldh8a1"
"680174",1.81816422685587,"680174","ENSRNOG00000025519","Sval1"
"309407",1.80241466916754,"309407","ENSRNOG00000027770","Trpm3"
"24324",1.79896255105601,"24324","ENSRNOG00000009390","Edn2"
"289264",1.78933562722076,"289264","ENSRNOG00000003616","Grem2"
"114629",1.70378367485735,"114629","ENSRNOG00000006878","Slc26a3"
"314917",1.67948211395193,"314917","ENSRNOG00000004398","Pkhd1l1"
"65185",1.67755687934593,"65185","ENSRNOG00000011269","Sult1c3"
"363112",1.66671003613868,"363112","ENSRNOG00000010545","Mrap2"
"498659",1.65687253928573,"498659","ENSRNOG00000038135","RatNP-3b"
"114028",1.65522739461368,"114028","ENSRNOG00000010649","Ctnnd2"
"500128",1.65123629185809,"500128","ENSRNOG00000050564","Hoxa11-as"
"50565",1.64593401006422,"50565","ENSRNOG00000029079","Hspb7"
"311558",1.63578285910302,"311558","ENSRNOG00000013371","Bpifb6"
"310787",1.61884931615331,"310787","ENSRNOG00000020421","Fndc7"
"691589",1.61077056859016,"691589","ENSRNOG00000011268","Chd5"
"500366",1.60713985434015,"500366","ENSRNOG00000001840","Rep15"
"191574",1.59007673023857,"191574","ENSRNOG00000017672","Akr1c14"
"498246",1.50132620673089,"498246","ENSRNOG00000003888","Rgs13"
"307859",1.49281276135217,"307859","ENSRNOG00000021521","Chst5"
"681070",1.49011261790987,"681070","ENSRNOG00000004393","Fcamr"
"100361584",1.48709881980685,"100361584","ENSRNOG00000023561","Ano2"
"306168",1.4857008512199,"306168","ENSRNOG00000063983","Sox21"
