"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006959","BP","GO:0006959","humoral immune response",136,-0.676700229922851,-2.20174240668198,2.10426120508191e-10,4.01966496700771e-07,3.66473701453475e-07,720,"tags=28%, list=5%, signal=27%","C4b/Cd69/Spns2/Ccl11/Ccl12/Rpl39/Fcer2/Bcl3/Ppl/C6/Pglyrp1/Nod2/Il1b/Npy/Ccl20/Cxcl3/C2/Cxcl6/Acod1/Gata3/Tac1/Tnf/Mmp7/Il17a/Adm/Ccl25/Jchain/Cxcl2/Cxcl1/C3/Cr2/Nppb/S100a9/Cfi/Wfdc21/Reg3g/Reg3b/Wfdc18"
"GO:0009615","BP","GO:0009615","response to virus",323,-0.571165200778962,-2.04766756188716,5.40424909386978e-11,4.01966496700771e-07,3.66473701453475e-07,1806,"tags=28%, list=13%, signal=24%","Eno1/Unc13d/Stat1/Mst1r/Traf3ip2/Lamp2/S100a6/Gbp2/Zdhhc12/Rps15a/Trim21/Agbl5/Kcnj8/Ifnlr1/Abcc9/Psmb9/Aim2/Apobec1/Irf3/Hif1a/Itgb6/Ikbke/Stat2/Tlr2/Dtx3l/Trim5/Lgals9/Traf3/Crebbp/Cd207/Isg20/Ifih1/Plscr1/Shfl/Il12rb1/Oasl/Hspb1/Pmaip1/Cd40/Mapk11/Mov10/Mx1/Bnip3/Znfx1/Prf1/Irgm/Mlkl/Parp9/Apobec3/Dhx58/Bcl3/Ifi27/Ifit2/Rig1/Oas1k/Cd8a/Ifit1bl/Ifi27l2b/Il1b/Nlrc5/Tnfaip3/Ifit3/Oas1a/Zc3h12a/Bst2/Ripk3/Oas1b/Sting1/Duox2/Oas1i/Trim15/Ddx60/Il23a/Oas3/Mill1/Usp18/Rsad2/Oasl2/Mx2/Irf7/Lcn2/Acod1/Gata3/Tnf/Il10/Oas2/Zbp1/Pou2af1/Il6"
"GO:0032496","BP","GO:0032496","response to lipopolysaccharide",395,-0.537142238090384,-1.9521464421621,1.60268950511852e-10,4.01966496700771e-07,3.66473701453475e-07,2149,"tags=36%, list=16%, signal=32%","Abcc3/Tspo/Myd88/Traf6/Nlrp3/Nfkbib/Litaf/Bcl2l1/Ugt1a1/Ngfr/Pf4/Pcsk1/Tirap/Eif2ak2/Entpd2/Faslg/Fer/Il1rn/Adam9/Tnip2/Rpl13a/Esr2/Prkce/Mgst2/Ncf2/Bpi/Ednrb/Stat1/Trem1/Mif/Il12rb2/Abcg2/Tnfrsf1a/Ptgir/Arg1/Gbp2/Slc11a1/Casp8/Icam1/Tg/Kcnj8/Prdx3/Fcgr3a/Mapkapk3/Irak3/Mir24-2/Abcc2/Irf3/Hif1a/Alpl/Abca1/Ly96/Fosl2/Xdh/Tlr2/Trim5/Plscr2/Cd55/Cd274/Hmgcs2/Lgals9/Wdr35/Csf2rb/Vwf/Bdkrb1/Plscr1/Cd96/Fgfr2/Mir142/Gch1/B2m/Fgf10/Gbp4/Fas/Nfkbia/Cx3cl1/Sbno2/Fos/Abcb1b/Sod2/Cd40/Cd80/Scimp/Zfp36/Ednra/Mgst1/Casp1/Ldoc1/Irgm/Tnfrsf1b/Nr4a1/Mmp3/F3/Pde4b/Ccl2/P2ry2/Gja1/Arid5a/Cited1/Arg2/Cmpk2/Mmp8/Nfkbiz/Plau/Selp/Il18bp/Tnip3/Nod2/Mmp9/Nqo1/Il1b/Cyp27b1/Gbp1/Tnfaip3/Prdm1/Zc3h12a/Ptgs2/Casp4/Ccl20/Serpine1/Ass1/Cxcl3/Socs3/Ggt1/Cxcl6/Lcn2/Acod1/Ido1/Tac1/Tnf/Il10/Socs1/Il1a/Adm/Cxcl2/Cxcl1/S100a8/Nos2/Cr2/Il6/Nppb/S100a9/Cyp1a1/Csf3"
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin",408,-0.530692874548077,-1.93251137284602,1.46151914030718e-10,4.01966496700771e-07,3.66473701453475e-07,2149,"tags=35%, list=16%, signal=31%","Myd88/Traf6/Nlrp3/Nfkbib/Litaf/Bcl2l1/Ugt1a1/Ngfr/Pf4/Pcsk1/Tirap/Eif2ak2/Entpd2/Faslg/Fer/Il1rn/Adam9/Tnip2/Rpl13a/Esr2/Prkce/Mgst2/Ncf2/Bpi/Ednrb/Stat1/Trem1/Mif/Il12rb2/Abcg2/Tnfrsf1a/Ptgir/Arg1/Gbp2/Slc11a1/Casp8/Icam1/Tg/Kcnj8/Tap2/Prdx3/Fcgr3a/Mapkapk3/Irak3/Mir24-2/Abcc2/Irf3/Hif1a/Alpl/RT1-M3-1/Abca1/Ly96/Fosl2/Xdh/Tlr2/Trim5/Plscr2/Cd55/Cd274/Hmgcs2/Lgals9/Wdr35/Csf2rb/Vwf/Bdkrb1/Plscr1/Cd96/Fgfr2/Mir142/Gch1/B2m/Fgf10/Gbp4/Fas/Nfkbia/Cx3cl1/Sbno2/Fos/Abcb1b/Sod2/Cd40/Cd80/Scimp/Zfp36/Ednra/Mgst1/Casp1/Ldoc1/Irgm/Tnfrsf1b/Nr4a1/Mmp3/F3/Pde4b/Ccl2/P2ry2/Gja1/Arid5a/Cited1/Arg2/Cmpk2/Mmp8/Nfkbiz/Plau/Selp/Il18bp/Tnip3/Nod2/Mmp9/Nqo1/Il1b/Cyp27b1/Gbp1/Tnfaip3/Prdm1/Zc3h12a/Ptgs2/Casp4/Ccl20/Serpine1/Ass1/Cxcl3/Socs3/Ggt1/Cxcl6/Lcn2/Acod1/Ido1/Tac1/Tnf/Il10/Socs1/Il1a/Adm/Cxcl2/Cxcl1/S100a8/Nos2/Cr2/Il6/Nppb/S100a9/Cyp1a1/Csf3"
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway",370,-0.51812373091051,-1.87144864718087,3.13859802881687e-08,2.39820275381897e-05,2.1864465004958e-05,1765,"tags=31%, list=13%, signal=28%","Stat1/Pirb/Il17rd/Traf3ip2/Il12rb2/Cish/Tnfrsf1a/Pparg/Cd44/Cxcr6/Il7r/Arg1/Il1r1/Il2rg/Lilrb4/Usp25/Ifnlr1/Cxcr5/Cd300lf/Ecm1/Inhba/Tnfsf18/Irak3/Il1rap/Lilrb2/Card14/Aim2/Il18rap/Stat3/Irf3/Hif1a/Eda2r/Ikbke/Ugcg/Stat2/Klf6/Il21r/Traf3/Csf3r/Csf2rb/Il27ra/Il15ra/Ifih1/Naip6/Insl3/Tnfrsf18/Ccr4/Ccl7/Il2ra/Il12rb1/Fas/Oasl/Nfkbia/Cx3cl1/Padi2/Il4r/Fosl1/Osmr/Tnfrsf4/Duox1/Otop1/Mx1/Sh2b2/Casp1/Ccl11/Ccl12/Irgm/Tnfrsf1b/Parp9/Thpol1/F3/Tmsb4x/Epor/Ccl2/Cxcr2/Hspa1a/Ebi3/Ifi27/Parp14/Mmp8/Nfkbiz/Il1b/Il9r/Nlrc5/Egr1/Ccl4/Lilrc2/Oas1a/Ccl3/Casp4/Ceacam1/Sting1/Duox2/Il11/Ccl20/Slit2/Oas3/Usp18/Tnfsf11/Cxcl3/Irf7/Cxcl6/Ereg/Osm/Tnf/Oas2/Socs1/Adipoq/Zbp1/Il1a/Il17a/Ccl25/Cxcl2/Cxcl1/Il6"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity",242,-0.557472008748848,-1.94000253990341,5.90713915970197e-08,3.47203463994482e-05,3.16546129221924e-05,1797,"tags=33%, list=13%, signal=30%","Hfe/Unc13d/Nkg7/Ager/Pirb/Traf3ip2/Slamf1/Il7r/Arg1/Shld2/Il1r1/Clec2d/Stx11/Icam1/Tap2/Lilrb4/Ctsc/Fcgr3a/Klrd1/Il18rap/Klrb1b/RT1-M3-1/Nectin2/Cd55/Rnf19b/Lgals9/Il21r/Csf3r/Csf2rb/Il27ra/RT1-S3/Cd28/Clcf1/Slamf6/Cd96/B2m/Slfn2/Prdx1/Ephb6/Fas/Pvr/Lag3/Batf/Il4r/RT1-CE16/Cd40/RT1-N3/C4b/Cd80/Tap1/Prf1/RT1-T24-1/Tnfrsf1b/Sh2d1b2/Fcer2/Bcl3/Arid5a/Hspa1a/Bcl6/C6/Nfkbiz/Nod2/Cd8a/Il1b/Il9r/RT1-CE1/Ripk3/Ceacam1/Il23a/Mill1/Rsad2/Irf7/C2/Gata3/Tnf/Cd19/C3/Cr2/Il6/Cfi/Serpinb3a"
"GO:0002683","BP","GO:0002683","negative regulation of immune system process",445,-0.47666395582245,-1.74736087021908,3.18274950864331e-07,0.000126997814833294,0.00011578417519982,1805,"tags=25%, list=13%, signal=23%","Samsn1/Hfe/Bpi/Pirb/Mif/Lamp2/Cd47/Fcrl5/Prkdc/Pparg/Cd44/Tnfaip6/Slamf1/Il7r/Arg1/Enpp3/Lst1/Zdhhc12/Erfe/Clec2d/Trim21/Mmp28/Tap2/Lilrb4/Cd300lf/Zfpm1/Tnfsf18/Irak3/Masp1/Cd300a/Pla2g2f/Klrd1/RT1-M3-1/Cd276/Trafd1/Ypel4/Milr1/Olfm4/Stat2/Cd55/Cd274/Lgals9/Tbc1d10c/Il27ra/Anxa1/Nf1/Cd96/Pla2g5/Apod/Tgfb2/Nfkbid/Il2ra/Fas/Rc3h2/Cx3cl1/Pla2g2a/Lag3/Padi2/Zpbp2/Il4r/Hspb1/RT1-CE16/Cd80/Tap1/Tnfrsf4/Tigit/Adora2a/Otop1/Pvrig/Irgm/Hmox1/Sh2d1b2/Gpx2/Dhx58/Ccl2/Irf4/Bcl6/Tnfrsf11b/Parp14/Arg2/Pglyrp1/Nod2/Lax1/Nlrc5/Gbp1/Tnfaip3/Prdm1/Oas1a/Zc3h12a/Bst2/Ccl3/Ceacam1/Npy/Twist1/Slit2/Tnfrsf13b/Oas3/Mill1/Usp18/Gata2/Acod1/Ido1/Tnf/Pla2g2d/Il10/Socs1/Adipoq/Ccl25/Lgals5/Cr2/Cdkn2a/Fcrlb/Serpinb3a"
"GO:0050727","BP","GO:0050727","regulation of inflammatory response",309,-0.519181339376465,-1.85205774250007,4.05412397976291e-07,0.000140807096951675,0.000128374126785028,944,"tags=21%, list=7%, signal=20%","Pla2g5/Mir142/Mgll/Lpl/Sema7a/Il2ra/Adam8/Nfkbia/Cx3cl1/Sbno2/Gpr4/Mir22/Zfp36/Adora2a/Casp1/Irgm/Tnfrsf1b/Gpx2/Tmsb4x/Rora/Bcl6/Pglyrp1/Mmp8/Nfkbiz/Slc7a2/Lrrc19/Nod2/Il1b/Duoxa1/Nt5e/Tnfaip3/Ptgs2/Ccl3/Casp4/Sting1/Ier3/Npy/C1qtnf12/Nlrp12/Serpine1/Usp18/Tnfsf11/Socs3/Ggt1/Acod1/Gata3/Osm/Ido1/Tac1/Tnf/Pla2g2d/Il10/Adipoq/Zbp1/Duoxa2/Il17a/Armh4/S100a8/C3/Il22/Lgals2/Il6/S100a9/Reg3g/Reg3b"
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus",441,-0.475146921716174,-1.74266583435602,5.5187423864529e-07,0.000173184446896469,0.000157892624905921,1765,"tags=24%, list=13%, signal=21%","Stat1/Traf3ip2/Mif/Lamp2/Prkdc/Pparg/Arg1/Gbp2/Zdhhc12/Casp8/Clec2d/Trim21/Kcnj8/Tap2/Ifnlr1/Cd300lf/Mapkapk3/Irak3/Cd300a/Klrd1/Aim2/Il18rap/Klrb1b/Irf3/RT1-M3-1/Pomc/Trafd1/Ikbke/Ly96/Stat2/Tlr2/Dtx3l/Nectin2/Trim5/Cd55/Cd274/Cyba/Lgals9/Traf3/Slamf6/Ifih1/Plscr1/Cd96/Pla2g5/Gbp4/Il12rb1/Oasl/Pvr/Adam8/Nfkbia/Cx3cl1/Lag3/RT1-CE16/Cd40/Fosl1/Tap1/Scimp/Alpk1/Otop1/Znfx1/Irgm/Parp9/Sh2d1b2/Apobec3/Dhx58/Ppl/Hspa1a/Irf4/Parp14/Arg2/Nfkbiz/Lrrc19/Rig1/Tnip3/Nod2/Tifa/Il1b/Clec4e/Nlrc5/Gbp1/Tnfaip3/Prdm1/Oas1a/Zc3h12a/Casp4/Ceacam1/Sting1/Trim15/Ddx60/Coch/Il23a/Oas3/Mill1/Usp18/Rsad2/Irf7/Cxcl6/Ereg/Acod1/Tnf/Zbp1/Il17a/Cxcl1/Reg3g/Serpinb3a"
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production",426,-0.475736031190221,-1.73712759242921,5.89294021634367e-07,0.000173184446896469,0.000157892624905921,1426,"tags=23%, list=10%, signal=22%","Fcgr3a/Zfpm1/Panx1/Irak3/Il1rap/Cd3e/Eif2ak3/Aim2/Tmem106a/Stat3/Irf3/Hif1a/RT1-M3-1/Cd276/Ikbke/Trim16/Ly96/Tlr2/Cd55/Cd274/Postn/Cyba/Lgals9/Traf3/Il27ra/Anxa1/Cd28/Slamf6/Tnfsf9/Ifih1/Serpinf2/Adra2a/Lpl/B2m/Sema7a/Il12rb1/Adam8/Cx3cl1/Batf/Ltb/Il4r/Hspb1/RT1-CE16/Cd40/Mapk11/Scimp/Hilpda/Tigit/Ccn1/Casp1/Ccdc88b/Heg1/Dhx58/F3/Pde4b/Ccl2/P2ry2/Chi3l1/Rora/Bcl3/Arid5a/Hspa1a/Irf4/Mmp8/Nox1/Rig1/Nod2/Il1b/Clec4e/Egr1/Ccl4/Oas1a/Ptgs2/Ccl3/Casp4/Sting1/Trim15/Ccl20/Twist1/Serpine1/Il23a/Oas3/Rsad2/Irf7/Ereg/Cyp1b1/Gata3/Osm/Ido1/Tnf/Il10/Oas2/Adipoq/Il1a/Il17a/Pou2af1/C3/Nos2/Il6/Il17c"
