"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno04657","rno04657","IL-17 signaling pathway",77,-0.804035739021763,-2.40210804837457,1.16217839770352e-12,3.8932976323068e-10,3.10729803175468e-10,1075,"tags=42%, list=8%, signal=39%","Traf3/Mapk6/Ccl7/Nfkbia/Fos/Fosl1/Mapk11/Ccl11/Ccl12/Mmp3/Mapk10/Ccl2/Mmp9/Il1b/Tnfaip3/Ptgs2/Fosb/Ccl20/Cxcl3/Cxcl6/Lcn2/Mmp13/Tnf/Muc5b/Il17a/Cxcl2/Cxcl1/S100a8/Il6/S100a9/Il17c/Csf3"
"rno05171","rno05171","Coronavirus disease - COVID-19",194,-0.647815742771632,-2.2017564803467,1.71887439903053e-11,2.87911461837615e-09,2.29786367028292e-09,2414,"tags=41%, list=18%, signal=34%","Rpl27/Adar/Rps12l2/Rps10/Rpl37/Rps25/Rps24/Rpl24/Syk/Myd88/Traf6/Nlrp3/Nfkbib/Mapk13/Rpl26/Rpl32/Eif2ak2/Egfr/Rpl17/Pik3r3/Rpl13a/Prkcg/Rpl38/Rps12/Stat1/Rps17/Tnfrsf1a/Rps27l/Rps15a/Masp1/Stat3/Irf3/Rps21/Ikbke/Rpl37l1/Rpl9/Stat2/Tlr2/Traf3/Rpl30l1/Vwf/Tmprss2/Rps20/Ifih1/Rps18/Rpl22l1/Nfkbia/Fos/Rpl31l2/C4b/Mapk11/Mx1/Casp1/Ccl12/Mmp3/Rpl39/Mapk10/Ccl2/C6/Selp/Rpl27l1/Rps12l3/Il1b/Hbegf/Oas1a/Oas1b/Sting1/Oas1i/Rps15al4/Rpl6-ps6/Oas3/Mx2/C2/Tnf/Oas2/C3/Il6/Rps15al2/Csf3"
"rno04668","rno04668","TNF signaling pathway",111,-0.686883345520808,-2.16342890672072,4.02983213113961e-09,4.4999792131059e-07,3.59149951336653e-07,1078,"tags=30%, list=8%, signal=28%","Sele/Traf3/Map3k8/Fas/Nfkbia/Cx3cl1/Fos/Mapk11/Ifi47/Junb/Ccl12/Mlkl/Tnfrsf1b/Mmp3/Mapk10/Ccl2/Bcl3/Lif/Nod2/Mmp9/Il1b/Tnfaip3/Ptgs2/Birc3/Ripk3/Ccl20/Cxcl3/Socs3/Cxcl6/Tnf/Cxcl2/Cxcl1/Il6"
"rno04060","rno04060","Cytokine-cytokine receptor interaction",181,-0.601994883287582,-2.0389529575374,4.03553412791052e-08,3.37975983212506e-06,2.69743596970861e-06,1712,"tags=39%, list=13%, signal=35%","Il12rb2/Tnfrsf1a/Cxcr6/Il7r/Il1r1/Il2rg/Ifnlr1/Cxcr5/Bmp8b/Inhba/Tnfsf18/Il1rap/Il18rap/Eda2r/Tnfrsf12a/Il21r/Csf3r/Csf2rb/Il15ra/Clcf1/Tnfsf9/Tnfrsf18/Ccr4/Ccl7/Tnfrsf9/Tgfb2/Il2ra/Il12rb1/Fas/Cx3cl1/Ltb/Il4r/Cd40/Osmr/Tnfrsf4/Ccl11/Ccl12/Tnfrsf1b/Thpol1/Epor/Inhbb/Ccl2/Lif/Cxcr2/Tnfsf8/Gdf15/Ebi3/Tnfrsf11b/Il1b/Il9r/Ccl4/Ccl3/Il11/Ccl20/Tnfrsf13b/Il23a/Tnfsf11/Cxcl3/Cxcl6/Osm/Tnf/Il10/Il1a/Il17a/Ccl25/Cxcl2/Cxcl1/Il22/Il6/Il17c/Csf3"
"rno05146","rno05146","Amoebiasis",85,-0.669711842147847,-2.02708863756285,2.65445638646609e-06,0.000177848577893228,0.000141943562560502,900,"tags=21%, list=7%, signal=20%","Tgfb2/Prdx1/Hspb1/Lama5/Gnal/Arg2/Il1b/Cxcl3/Tnf/Il10/Prdx1l1/Cxcl2/Cxcl1/Nos2/Il6/Serpinb13/Serpinb3a/Serpinb3"
"rno05162","rno05162","Measles",115,-0.616160135389431,-1.95520100503758,3.84993947442206e-06,0.000214954953988565,0.000171558706404071,2432,"tags=43%, list=18%, signal=35%","Cycs/Ccne1/Adar/Bak1/Il2rb/Myd88/Akt2/Traf6/Nfkbib/Bcl2l1/Akt3/Eif2ak2/Faslg/Pik3r3/Stat1/Slamf1/Casp8/Il2rg/Cd3d/Cd3e/Eif2ak3/Stat3/Irf3/Apaf1/Ikbke/Stat2/Tlr2/Traf3/Cd28/Ifih1/Il2ra/Fas/Nfkbia/Fos/Bid/Mx1/Mapk10/Hspa1a/Il1b/Tnfaip3/Oas1a/Oas1b/Oas1i/Oas3/Mx2/Irf7/Oas2/Il1a/Il6"
"rno04630","rno04630","JAK-STAT signaling pathway",112,-0.623953431007858,-1.96842833441535,5.46564285356164e-06,0.000261570050849021,0.000208762899970625,2148,"tags=39%, list=16%, signal=33%","Crlf2/Il2rb/Akt2/Socs6/Bcl2l1/Akt3/Aox1/Il7/Egfr/Pik3r3/Il3ra/Stat1/Il12rb2/Cish/Il7r/Il2rg/Ifnlr1/Stat3/Cdkn1a/Stat2/Il21r/Csf3r/Csf2rb/Crebbp/Il15ra/Clcf1/Il2ra/Il12rb1/Il4r/Osmr/Thpol1/Epor/Pim1/Lif/Il9r/Il11/Il23a/Socs3/Osm/Il10/Socs1/Il22/Il6/Csf3"
"rno05167","rno05167","Kaposi sarcoma-associated herpesvirus infection",166,-0.557281622681894,-1.87444136726422,7.61439351481301e-06,0.000318852728432795,0.000254481046416119,2363,"tags=39%, list=17%, signal=32%","Lef1/Lyn/Cycs/Ep300/RT1-M2/Ubb/RT1-CE15/Bak1/Syk/Nfatc4/Akt2/Gng8/Mapk13/Akt3/Eif2ak2/RT1-T24-4/Itpr3/Vegfa/Map2k1/RT1-CE2/Pik3r3/Gng5/Ubc/Gng7/E2f2/Stat1/Tnfrsf1a/Itpr1/Casp8/Icam1/Stat3/Irf3/Hif1a/RT1-M3-1/Ikbke/Cdkn1a/Stat2/Traf3/Crebbp/RT1-S3/Ccr4/Calml4/Fas/Nfkbia/Fos/RT1-CE16/RT1-N3/Mapk11/Bid/Zfp36/Angpt2/Gng3/RT1-T24-1/Mapk10/RT1-T18/RT1-CE1/Ptgs2/Fgf2/Cxcl3/Irf7/Cxcl2/Cxcl1/C3/Il6"
"rno05169","rno05169","Epstein-Barr virus infection",183,-0.545025840059545,-1.84149604335408,9.44590223090802e-06,0.000351597471928243,0.000280615107210601,2432,"tags=38%, list=18%, signal=31%","Cycs/Relb/RT1-Db1/Ccne1/RT1-M2/RT1-CE15/Bak1/Syk/Gadd45b/Myd88/Akt2/Traf6/Nfkbib/Mapk13/Akt3/Runx3/Eif2ak2/RT1-T24-4/RT1-CE2/Pik3r3/Blnk/Gadd45g/Cd247/E2f2/Stat1/Bcl2l11/Cd44/Mdm2/Casp8/Icam1/Tap2/Cd3d/Cd3e/Stat3/Irf3/Apaf1/RT1-M3-1/Ikbke/Cdkn1a/Stat2/Tlr2/Traf3/RT1-S3/B2m/Fas/Nfkbia/RT1-CE16/Cd40/RT1-N3/Mapk11/Bid/Tap1/RT1-T24-1/Fcer2/Mapk10/Rbpjl/RT1-T18/Tnfaip3/Oas1a/RT1-CE1/Oas1b/Oas1i/Oas3/Irf7/Tnf/Oas2/Cd19/Cr2/Il6"
"rno04621","rno04621","NOD-like receptor signaling pathway",154,-0.559325359415785,-1.85628599744256,1.74078026669956e-05,0.000583161389344353,0.000465429671307041,2149,"tags=35%, list=16%, signal=30%","Myd88/Traf6/Nlrp3/Nfkbib/Bcl2l1/Mapk13/Pstpip1/Prkcd/Itpr3/Antxr2/Nlrc4/Stat1/Itpr1/Gbp2/Casp8/Naip5/Panx1/Aim2/Irf3/Ikbke/Stat2/Cyba/Traf3/Naip6/Gbp4/Nfkbia/Trpm2/Mapk11/Casp1/Ccl12/Irgm/Mapk10/Ccl2/Nod2/Il1b/Casp12/Gbp1/Tnfaip3/Oas1a/Birc3/Ripk3/Oas1b/Casp4/Sting1/Oas1i/Nlrp12/Oas3/Cxcl3/Irf7/Tnf/Oas2/Cxcl2/Cxcl1/Il6"
