"","Row.names","baseMean","pvalue","padj","T1-2442","T31","T32","T33","T34","T1-5100","T2-5101","T3-5230","T4-5329","T5-5330","Significance"
"Cyp2c24","ENSRNOG00000013241 - Cyp2c24",114.422053191133,0.0110692516378519,0.0267736960153358,18.095777238112,16.1901236006864,4.27370031898889,59.3971910280594,5.13843682175581,344.523269296563,18.3006354108601,669.53916484833,5.59663772758194,3.16559562039083,"p < 0.05"
"Snap25","ENSRNOG00000006037 - Snap25",38.8985936238378,2.28016305935288e-05,0.000206061751752359,5.06681762667136,13.2464647641979,5.69826709198519,13.0673820261731,6.16612418610698,115.839707937395,163.29797751229,27.0769515196016,26.8638610923933,12.6623824815633,"p < 0.001"
"Ddn","ENSRNOG00000059605 - Ddn",15.8314796490136,0.0028867352493502,0.00895968717111643,7.2383108952448,2.94365883648843,8.54740063797779,4.75177528224475,3.08306209305349,35.9502541874674,69.6831886798133,11.4871915537704,6.71596527309832,7.91398905097708,"p < 0.05"
"Eef1a2","ENSRNOG00000011624 - Eef1a2",18.4883108185321,0.00045418920125662,0.00210287474491326,7.96214198476928,4.41548825473265,4.27370031898889,8.31560674392832,6.16612418610698,31.955781499971,77.4257651997926,20.5128420603042,11.1932754551639,12.6623824815633,"p < 0.05"
"Rn5-8s","ENSRNOG00000070263 - Rn5-8s",297.554938978574,6.80711951172868e-05,0.000484464491292766,23.1625948647834,85.3661062581645,95.4459737907519,99.7872809271398,223.008158064202,220.694615984175,1107.18844235703,185.43609222515,470.117569116883,465.342556197452,"p < 0.001"
"Aqp3","ENSRNOG00000009797 - Aqp3",880.934793953965,4.66883813693679e-05,0.00035952718792945,401.726254686086,518.083955221964,232.204383998396,85.5319550804055,351.469078608098,943.694172421019,3788.93540064076,736.821286806128,1230.14097252251,520.740479554292,"p < 0.001"
"Cacng2","ENSRNOG00000065511 - Cacng2",49.0438202686285,0.00957949084488695,0.0236993839499379,42.7060342819443,23.5492706919075,12.8211009569667,5.93971910280594,4.11074945740465,6.99032720311866,182.302483515875,15.5897599658312,62.6823425489177,133.746414961513,"p < 0.05"
"Nell1","ENSRNOG00000015675 - Nell1",57.1215129201455,3.15120605754574e-05,0.000265083598004089,28.9532435809792,27.9647589466401,19.9439348219482,11.8794382056119,16.4429978296186,26.9626906406006,121.065741948767,41.0256841206085,170.137786918491,106.838852188191,"p < 0.001"
"Vsig2","ENSRNOG00000033490 - Vsig2",114.083274963046,0.0114769096156838,0.0275798966456893,57.1826560724339,44.1548825473265,55.5581041468556,21.3829887701014,39.0521198453442,11.9834180624891,225.238589672124,6.56410945929736,504.816723027891,174.899158026593,"p < 0.05"
"Hoxa11","ENSRNOG00000059870 - Hoxa11",197.928122355237,0.0059109454288713,0.0159942595220681,44.1536964609933,72.1196414939666,68.3792051038223,80.7801797981608,122.294796357788,849.824064264855,45.7515885271502,585.846769242289,43.6537742751391,66.4775080282075,"p < 0.05"
