"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"rno03010","rno03010","Ribosome",129,0.667534613694949,3.48132702722022,1.80681288403246e-31,5.7998693577442e-29,2.8528624484723e-29,2548,"tags=84%, list=19%, signal=68%","Rn5-8s/Rpl36/Mrpl19/Mrpl35/Rplp2/Rpl34/Rpl35a/Mrpl12/Mrps16/Mrpl13/Rps21/Mrps14/Mrpl14/Rps10/Mrpl15/Mrpl1/Mrpl21/Rps28/Rps9/Mrps12/Rps13/Rps15a/Rps5/Rps27/Rps12/Mrpl18/Mrps11/Mrps15/Mrps9/Mrpl28/Rpl30/Rpl13/Rpl30l1/Mrps18c/Rpl21/mrpl9/Mrpl23/Rpl18a/Rps3a/Rps14/Rps16/Rps8/Rps12l2/Rps25/Rpl23/Mrpl3/Rpl18/Mrpl4/Rplp1/Rpl28/Rps27a/Rps4x/Rpl27/Rps3/Mrpl36/Rpl23a/Mrpl2/Rpl19/Rps6/Rpl10/Rpl22l1/Rpl36al1/Rps19/Rpsa/Rps2/Rpl5/Rpl11/Mrpl16/Rpl37/Rpl9/Rpl31/Rpl15/Rps29/Rpl12/Rpl22/Rpl3/Rpl29/Rps23/Rpl26/Mrpl27/Rpl37a/Mrpl22/Rpl37l1/Rpl8/Mrpl20/mrpl11/Rps7/Rps17/Rpl38/Mrps21l/Rpl39/Fau/Rplp0/Mrpl10/Mrpl32/Mrps18a/Rps20/Rpl4/Uba52/Rpl24/Rpl10a/Rpl35/Rps24/Rn18s/Mrps7/Mrps5/Rpl32/Rpl17"
"rno00190","rno00190","Oxidative phosphorylation",109,0.676056393318042,3.30274010155199,2.5164428343747e-26,4.0388907491714e-24,1.98666539555898e-24,2348,"tags=76%, list=17%, signal=63%","Cox6c/Atp5mc1/Ppa1/Atp5me/Atp5mc3/Atp5pd/Ndufab1/Uqcrb/Cox5a/Cox7c/Ndufb3/ND3/Ndufb4/Ndufa9/Ndufb7/Atp5f1a/Ndufb6/Ndufb5/Ndufa12/Sdhd/Ppa2/Ndufs5/Ndufs4/Ndufa5/Cox6a1/Sdhc/Cox5b/Uqcrq/Cox7a2/Ndufs3/Atp5f1b/Uqcr10/Ndufv2/Atp5po/Ndufv1/Cox4i1/Ndufa3/Ndufb8/Uqcrc1/Ndufs8/Atp5mg/Ndufa1/Atp5f1c/Atp5f1d/Cyc1/Uqcrh/Ndufs6/Atp5pf/Cox7b/Atp5pb/Cycs/Ndufc2/Atp5mc2/Atp5mf/Uqcrfs1/Ndufs1/Sdha/Cox6b1/Ndufa10/Ndufb11/Ndufa2/ATP6/Ndufb9/Ndufa13/Ndufc1/COX2/COX3/Sdhb/Ndufa11/Ndufa7/Atp6v0d1/Ndufa6/Ndufa8/Cox7a2l/Uqcrc2/Ndufb10/Atp12a/Atp6v1b2/Atp6v1g1/Atp6v0e2/Cox10/Atp6v1h/Atp6v0c"
"rno04060","rno04060","Cytokine-cytokine receptor interaction",172,-0.673774042641195,-2.14169762181632,2.21103693025027e-21,2.36580951536779e-19,1.16370364750014e-19,2654,"tags=59%, list=20%, signal=48%","Ccl20/Gdf11/Tnf/Tgfbr2/Acvr1c/Il12a/Gdf3/Il12rb2/Ifnlr1/Il15/Il23a/Ngfr/Gdf15/Csf1/Il1a/Il3ra/Il17rb/Faslg/Lepr/Tnfrsf11b/Ccl25/Ccl3/Osmr/Inha/Csf2ra/Tnfsf9/Tnfsf12/Lif/Il17c/Cx3cr1/Clcf1/Ebi3/Cxcl14/Bmp5/Ccl24/Ccl27/Cxcl2/Tnfsf18/Tnfrsf14/Il17f/Osm/Csf1r/Il17a/Cxcr4/Tgfb3/Ccl4/Il1r1/Cd40/Ccr2/Bmp4/Pf4/Ccl22/Ccl17/Il9r/Acvrl1/Inhbb/Il1b/Csf2rb/Cxcl1/Il6r/Cxcr6/Relt/Tnfrsf19/Ccl12/Tnfrsf9/Csf3r/Il10ra/Il16/Lifr/Tnfrsf8/Il2rg/Cxcr2/Ccr3/Tnfsf15/Ccr5/Cxcl12/Tgfb2/Ccl7/Eda2r/Ccl2/Ccr9/Cxcr3/Il2ra/Il2rb/Tnfrsf18/Inhba/Il7r/Il23r/Edar/Ccr6/Ccr7/Tnfrsf4/Tnfsf11/Ccl5/Ccl11/Il21r/Xcr1/Il22/Il12rb1/Tnfsf8/Csf3"
"rno01200","rno01200","Carbon metabolism",96,0.580742838358665,2.86931056605646,2.91148250586859e-15,2.33646471095954e-13,1.14926941021128e-13,3462,"tags=75%, list=26%, signal=56%","Aldob/Eno3/Rgn/Fbp1/Pc/Fh/Sdhd/Pgp/Sdhc/Gcsh/Echs1/Acat2/Esd/Tkt/Shmt1/Acss1/Suclg1/Taldo1/Idh1/Sdha/Prps1/Acat1/Sucla2/Pdhb/Mcee/Pcca/Idh3a/Idh3b/Mdh2/Rpia/Acads/Dld/Me2/Sdhb/Pgk1/Acss2/Fbp2/Eno1/Mdh1/Suclg2/Amt/Idh3g/Pccb/Hkdc1/Psat1/Dlst/Aco2/Dlat/Pgls/Gldc/Me1/Gapdh/Phgdh/Aco1/Got2/Shmt2/Cs/Hibch/Pfkp/Gpi/Psph/Pdha1/Tpi1/Prps2/Hk1/Ogdh/Rpe/Got1/Pfkl/Idh2/Pkm/Pgam1"
"rno03040","rno03040","Spliceosome",122,0.515085566323798,2.60657007002993,1.35133025154679e-14,8.67554021493039e-13,4.26735868909512e-13,3589,"tags=60%, list=27%, signal=44%","Snrpa1/Snrpd1/Magohb/Magoh/Lsm5/Alyref/Lsm3/Snrpf/Snrpe/Snrpd2/Lsm6/U2af1/Snw1/Phf5a/Hnrnpa3/Snrpd3/Lsm2/Ppih/Rbm8a/Sf3b6/Ppie/Snrpg/Rp9/Lsm4/Snrpb2/Hnrnpc/Hspa8/Hnrnpm/Plrg1/Cwc15/Eif4a3/Prpf38a/Ctnnbl1/Snu13/Snrpa/Thoc3/Snrnp40/Prpf19/Sf3b5/Rbm17/Sf3a3/Isy1/Sart1/Snrpb/Sf3b2/Tra2b/Bud31/Usp39/Ccdc12/Snrpc/Xab2/Syf2/Pcbp1/Bcas2/Hnrnpa1/Hnrnpu/Eftud2/Cdc5l/Puf60/Lsm8/Hnrnpk/Pqbp1/Srsf3/Lsm7/Fus/Crnkl1/Sf3b3/Ncbp1/Cdc40/Rbm22/Ppil1/Prpf31/Ddx23"
"rno04820","rno04820","Cytoskeleton in muscle cells",168,-0.612104703746365,-1.9447150490708,4.76267726431048e-14,2.54803233640611e-12,1.25333612218697e-12,2254,"tags=43%, list=17%, signal=37%","Fbn2/Myom1/Fbln2/Nebl/Fmnl3/Fhl1/Ankrd1/Myh10/Sntb2/Col9a3/Des/Sptbn4/Tpm2/Thbs1/Vim/Nid1/Thbs2/Myl9/Itga11/Dcn/Eno2/Itga1/Thbs3/Col24a1/Itgb3/Dtna/Vcan/Fn1/Sptbn2/Flnc/Col4a2/Itga8/Myh7b/Col4a1/Actg2/Ank2/Myh11/Col5a2/Atp1b2/Eln/Col1a2/Itga9/Col3a1/Lama2/Col6a3/Syne1/Itga4/Bgn/Col1a1/Col4a3/Col5a1/Nid2/Col5a3/Col6a2/Fmnl1/Col6a1/Fbn1/Lmod1/Synpo2/Col27a1/Itga2b/Sntb1/Col4a5/Daam2/Col11a2/Sspn/Col6a4/Col4a6/Sptbn5/Lama1/Col6a5/Neb/Tnnt3"
"rno04514","rno04514","Cell adhesion molecules",119,-0.645794419008684,-2.03170713139312,2.61228406867743e-13,1.19791883720779e-11,5.89237007972352e-12,2938,"tags=61%, list=22%, signal=48%","RT1-M3-1/RT1-DMb/Sell/Selp/Icoslg/Itgb7/Vtcn1/Nrxn2/Sdc3/Nfasc/Jam2/Pecam1/Nrcam/RT1-T24-4/Itgb2/Cldn6/Spn/Icam2/Itgam/RT1-N3/Cd2/RT1-DOa/Cadm3/RT1-Da/RT1-CE1/Cntnap1/Vsir/Cadm1/Selplg/Cd40/RT1-Bb/Cdh5/Cntn2/Ptprm/Cdh2/RT1-Ba/Glycam1/Vcan/RT1-T18/Jam3/Cd34/Itga8/Itgal/RT1-T24-1/Nlgn3/Cd274/Cdh4/Icam1/Itga9/Pdcd1/Icos/Cntn1/Nlgn2/Vcam1/Cd8b/Itga4/Cd8a/Nrxn1/Cd22/Ptprc/RT1-Db1/Ncam1/Cd6/Tigit/Cd80/Cd226/Ntng1/Cd28/Ntng2/RT1-M2/Siglec1/RT1-DOb/Slitrk6"
"rno03050","rno03050","Proteasome",40,0.72512709733804,3.06134926295791,1.16282185128493e-12,4.66582267828077e-11,2.29504312753604e-11,2249,"tags=80%, list=17%, signal=67%","Pomp/Psmb4/Psmc5/Psmb7/Sem1/Psmd1/Psma1/Psmd13/Psmb1/Psma6/Psmc3/Psma2/Psmb5/Psmc1/Psmb3/Psma4/Psmc2/Psmb6/Psmd7/Psmd6/Psmd14/Psmd12/Psmd2/Psmd8/Psmc4/Psma5/Psmd3/Psmb2/Psma7/Psmd4/Psma3/Psmc6"
"rno04062","rno04062","Chemokine signaling pathway",156,-0.5820166407921,-1.8428354818337,5.28466052469382e-10,1.88486225380746e-08,9.2713342538488e-09,2118,"tags=34%, list=16%, signal=29%","Ccl25/Ccl3/Fgr/Adcy2/Shc2/Cx3cr1/Cxcl14/Ncf1/Vav1/Ccl24/Vav2/Ccl27/Arrb2/Cxcl2/Shc4/Cxcr4/Prkcb/Ccl4/Ccr2/Pf4/Ccl22/Ccl17/Cxcl1/Cxcr6/Ccl12/Pik3r6/Prex1/Gnb4/Was/Cxcr2/Ccr3/Ccr5/Cxcl12/Pik3r5/Ccl7/Adcy5/Akt3/Ccl2/Ccr9/Cxcr3/Adcy8/Adcy7/Pik3cd/Ccr6/Ccr7/Plcb2/Ccl5/Ccl11/Adcy4/Xcr1/Itk/Rasgrp2/Gng8"
"rno03008","rno03008","Ribosome biogenesis in eukaryotes",73,0.532592795547468,2.58287835007299,9.77119983339056e-10,3.13655514651837e-08,1.54282102632482e-08,5023,"tags=85%, list=37%, signal=53%","Rn5-8s/Rpp25/Eif6/Nhp2/Fbl/Emg1/Pop7/Rpp38/Ran/Imp3/Rcl1/Ak6/Nop10/Nat10/Snu13/Csnk2b/Gar1/Efl1/Rpp25l/Pop1/Mphosph10/Nop58/Imp4/Pop4/Dkc1/Nxt1/Riok1/Pwp2/Rn18s/Pop5/Tbl3/Fcf1/Sbds/Wdr43/Riok2/Nmd3/Xpo1/Utp6/Gnl2/Wdr3/Rrp7a/Afg2a/Utp18/Rpp40/Utp14a/Utp4/Heatr1/Gnl3l/Lsg1/Wdr75/Tcof1/Utp15/Nop56/Xrn2/Nxt2/Wdr36/Bms1/Rbm28/Nol6/Csnk2a2/Rexo2/Gtpbp4"
