"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbols","T1.2442","T31","T32","T33","T34","T1.5100","T2.5101","T3.5230","T4.5329","T5.5330"
"Csf3","ENSRNOG00000008525 - Csf3",46.4015932431683,-3.14044907645252,0.717446814396398,-4.37725698049777,1.20182244584945e-05,0.000126570924584527,"Csf3",84.6882374743642,158.957577170375,21.3685015949445,122.358213517802,28.7752462018325,17.9751270937337,4.92709414907771,7.38462314170953,16.7899131827458,0.791398905097708
"Mmp3","ENSRNOG00000032626 - Mmp3",141.51554264609,-1.96090767879961,0.585216307733069,-3.35073997919762,0.000805959416647105,0.00326409164400284,"Mmp3",190.367576544938,141.295624151445,118.239042158693,501.312292276821,173.679164575346,119.834180624891,18.3006354108601,24.6154104723651,102.978134187508,24.5333660580289
"Lif","ENSRNOG00000007002 - Lif",308.733915083525,-1.04730077101146,0.331056481085451,-3.16351085342785,0.00155878539488618,0.00548123613144929,"Lif",440.813133520408,596.090914388908,273.516820415289,576.152752972176,194.23291186237,250.653161140398,162.594106919564,282.256706749786,156.705856372294,154.322786494053
"Cxcl12","ENSRNOG00000013589 - Cxcl12",396.578190031419,-1.54778519768139,0.379010310294316,-4.08375486270934,4.43137778051704e-05,0.000344524931169434,"Cxcl12",311.971199585051,724.140073776154,673.820083627249,601.099573203961,643.332290083828,320.556433171584,95.7264006106526,86.97445033569,273.115921105998,235.045474814019
"Acta2","ENSRNOG00000058039 - Acta2",2175.3987532933,-1.88748306735997,0.437794234842702,-4.31134747134835,1.62262686657136e-05,0.00015858688036792,"Acta2",1262.36142013069,3398.4541267259,2963.0988878323,5835.18004659656,3665.7608286406,1418.03780406121,427.953320377035,346.256773977936,1154.0266994274,1282.85762516338
"Tnn","ENSRNOG00000002548 - Tnn",69.6795328415131,-1.87278932588794,0.780673550556123,-2.39894040800259,0.0164425903651573,0.0371315779072545,"Tnn",9.40980416381824,142.767453569689,112.540775066707,173.439797801933,108.934860621223,80.8880719218017,4.22322355635232,5.74359577688519,27.9831886379097,30.8645572988106
"Ogn","ENSRNOG00000029792 - Ogn",51.0945676449694,-2.72542589570776,0.66022163206971,-4.12804695169394,3.65857422395972e-05,0.000298130603565833,"Ogn",39.0868788343219,130.992818223735,106.842507974722,51.0815842841311,115.10098480733,14.9792725781114,2.11161177817616,2.46154104723651,32.4604988199752,15.8279781019542
"Myh11","ENSRNOG00000057880 - Myh11",1358.34049384201,-1.54024140510249,0.323516453298766,-4.76093685312532,1.92696339684952e-06,3.04193721764362e-05,"Myh11",1178.39701374585,2220.99059213052,1950.23191223193,2418.65361866258,2340.0441286276,683.054829561881,403.317849631647,417.641464347794,671.596527309832,1299.47700217044
"Gli1","ENSRNOG00000025120 - Gli1",92.2582086518307,-3.56117659057493,0.445904830436132,-7.98640505215384,1.38930678281054e-15,6.06350686768401e-13,"Gli1",66.5924602362522,213.415265645411,193.741081127496,142.553258467343,234.312719072065,13.9806544062373,7.03870592725387,9.02565050653387,13.4319305461966,28.4903605835175
"Cd81","ENSRNOG00000020451 - Cd81",25.4855984512888,-2.66065453996693,0.628087189737236,-4.23612291962209,2.27412317547566e-05,0.000205892091524608,"Cd81",15.2004528800141,54.457688475036,62.6809380118371,32.0744831551521,55.4951176749628,2.99585451562228,2.11161177817616,3.28205472964868,12.3126030006803,14.2451802917587
"Grem1","ENSRNOG00000026053 - Grem1",596.191208434861,-1.69015637380511,0.437113239209425,-3.86663276743109,0.000110348400892849,0.000702471008515224,"Grem1",439.365471341359,1153.91426390347,539.910806965597,1319.80558464348,1097.57010512704,393.455559718393,87.9838240906734,156.718113340724,451.089000843104,322.099354374767
"Rspo1","ENSRNOG00000009656 - Rspo1",34.751735984504,-0.949533502694235,0.302967415844628,-3.1341109737728,0.00172375651990502,0.00594487387695746,"Rspo1",39.8107099238464,39.7393942925938,48.4352702818741,61.7730786691818,40.0798072096953,13.9806544062373,25.3393413381139,25.4359241547773,21.2672233648114,31.6559562039083
"Tgfb2","ENSRNOG00000002418 - Tgfb2",147.589894172229,-1.55348716312906,0.512714162140959,-3.02992832622782,0.00244611780452332,0.0078635056545324,"Tgfb2",123.775116308686,206.05611855419,163.825178894574,166.312134878566,440.877879306649,99.8618171874095,30.970306079917,30.3590062492503,49.250412002721,164.610972260323
"Tgfb3","ENSRNOG00000009867 - Tgfb3",73.5740484043421,-1.26991803732246,0.415045891657848,-3.05970511417408,0.00221555018344578,0.00728646923141666,"Tgfb3",71.6592778629235,47.0985413838149,89.7477066987667,187.695123648668,123.32248372214,57.9198539686975,27.4509531162901,24.6154104723651,49.250412002721,56.980721167035
"Tgfbr2","ENSRNOG00000013265 - Tgfbr2",3527.10216606752,-0.726589134760635,0.185307219592191,-3.92099744607713,8.81831976101913e-05,0.000586793932438398,"Tgfbr2",3349.16645122977,4152.03078886693,4510.17840330628,4427.46661923155,5546.42870540322,2467.58550270089,2871.08814772685,1779.694177152,2993.08185671082,3174.30100834691
"Tgfbr3","ENSRNOG00000002093 - Tgfbr3",112.731881629523,-2.15517096662532,0.595346752102005,-3.62002641152573,0.000294572946157134,0.00150872404905598,"Tgfbr3",76.0022644000704,200.168800881213,199.439348219482,264.911471985145,179.845288761453,77.8922174061794,3.51935296362693,21.3333557427164,36.9378090020408,67.2689069333052
