"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbols","T1.2442","T31","T32","T33","T34","T1.5100","T2.5101","T3.5230","T4.5329","T5.5330"
"Cd3d","ENSRNOG00000015994 - Cd3d",41.659482959927,-1.70794200825436,0.547390543535435,-3.12015256460819,0.00180757393281887,0.00616342263568161,"Cd3d",38.3630477447974,89.7815945128972,54.1335373738593,76.028404515916,60.6335544967186,40.9433450468379,8.44644711270464,5.74359577688519,10.0739479096475,32.447355109006
"Cd8a","ENSRNOG00000007178 - Cd8a",39.9354549538753,-1.77075830842613,0.402920976853689,-4.39480297663712,1.10873267226946e-05,0.000118704791658056,"Cd8a",43.4298653714688,79.4787885851877,78.3511725147964,66.5248539514265,41.1074945740465,33.9530178437192,10.5580588908808,20.5128420603042,11.1932754551639,14.2451802917587
"Xcr1","ENSRNOG00000006620 - Xcr1",23.965792303252,-2.36073085581678,0.854730655598649,-2.7619587999489,0.00574557281958637,0.0156274876551273,"Xcr1",4.34298653714688,38.2675648743496,95.4459737907519,21.3829887701014,41.1074945740465,11.9834180624891,0.703870592725387,1.64102736482434,8.9546203641311,15.8279781019542
"Cd80","ENSRNOG00000001527 - Cd80",45.1396763289769,-2.1897878409965,0.400178072927459,-5.47203354990778,4.44900578179645e-08,1.47035182173892e-06,"Cd80",47.0490208190912,120.690012296026,66.954638330826,55.8333595663758,79.1319270550395,26.9626906406006,13.3735412617824,9.84616418894604,21.2672233648114,10.2881857662702
"Cd28","ENSRNOG00000010283 - Cd28",59.0065046193277,-2.38999008261528,0.526177602016325,-4.54217373270315,5.5677126234659e-06,7.10244129656791e-05,"Cd28",55.0111628038605,144.239282987933,96.8705405637482,91.4716741832115,107.907173256872,35.9502541874674,6.33483533452848,7.38462314170953,10.0739479096475,34.8215518242991
"Cxcl1","ENSRNOG00000002802 - Cxcl1",316.193661277023,-1.38991329500352,0.399836536479352,-3.47620381879558,0.00050856562322346,0.00228793747830063,"Cxcl1",602.227466484367,833.055450726226,270.667686869297,339.7519326805,242.534217986874,97.8645808436613,183.710224701326,114.871915537704,299.979782198392,177.273354741887
"Cxcl2","ENSRNOG00000002792 - Cxcl2",280.609002661843,-1.15611888346365,0.49113304589036,-2.35398308694084,0.0185734561491571,0.0411115029530642,"Cxcl2",405.345410133709,496.006513948301,190.891947581504,660.496764232021,183.956038218858,91.8728718124167,242.131483897533,50.0513346271424,316.769695381138,168.567966785812
"Cxcr2","ENSRNOG00000063618 - Cxcr2",110.273021727207,-1.50787489840072,0.37177191395085,-4.05591396718599,4.99386398522185e-05,0.000376927505985285,"Cxcr2",78.1737576686438,260.513807029226,122.512742477682,173.439797801933,180.872976125805,53.9253812812011,55.6057768253056,32.8205472964868,97.3814964599257,47.4839343058625
"Cxcr3","ENSRNOG00000003305 - Cxcr3",28.1912105888938,-1.65720186225149,0.5868398735513,-2.82394216368227,0.00474369440570183,0.013382448913728,"Cxcr3",12.3051285219162,58.8731767297686,51.2844038278667,49.8936404635699,42.1351819383977,21.9695997812301,7.74257651997926,9.02565050653387,3.35798263654916,25.3247649631267
"Socs3","ENSRNOG00000063373 - Socs3",2500.75113875866,-1.26168813816193,0.2940322486922,-4.29098557649264,1.7788186959444e-05,0.000170406007934919,"Socs3",3460.63643901654,5484.03641237795,3683.92967496843,2499.43379846074,2518.8617300247,1397.06682245186,1052.99040671718,1847.79681279221,2201.71728203073,861.042008746306
"Lag3","ENSRNOG00000021334 - Lag3",63.1480488679299,-1.41039443606114,0.537018986177,-2.62633998492612,0.00863085621631736,0.0217737632427632,"Lag3",82.5167442057907,88.309765094653,54.1335373738593,122.358213517802,110.990235349926,92.8714899842908,10.5580588908808,29.5384925668381,15.6705856372294,24.5333660580289
