"","exon.lengths","Gene"
"ENSRNOG00000000001",3580,"ENSRNOG00000000001"
"ENSRNOG00000000007",3391,"ENSRNOG00000000007"
"ENSRNOG00000000008",1812,"ENSRNOG00000000008"
"ENSRNOG00000000009",1377,"ENSRNOG00000000009"
"ENSRNOG00000000010",2491,"ENSRNOG00000000010"
"ENSRNOG00000000012",1000,"ENSRNOG00000000012"
"ENSRNOG00000000017",1258,"ENSRNOG00000000017"
"ENSRNOG00000000021",1038,"ENSRNOG00000000021"
"ENSRNOG00000000024",1050,"ENSRNOG00000000024"
"ENSRNOG00000000033",4224,"ENSRNOG00000000033"
"ENSRNOG00000000034",2926,"ENSRNOG00000000034"
"ENSRNOG00000000035",645,"ENSRNOG00000000035"
"ENSRNOG00000000036",3199,"ENSRNOG00000000036"
"ENSRNOG00000000040",5025,"ENSRNOG00000000040"
"ENSRNOG00000000041",4110,"ENSRNOG00000000041"
"ENSRNOG00000000042",3683,"ENSRNOG00000000042"
"ENSRNOG00000000043",2582,"ENSRNOG00000000043"
"ENSRNOG00000000044",2072,"ENSRNOG00000000044"
"ENSRNOG00000000047",3988,"ENSRNOG00000000047"
"ENSRNOG00000000048",7769,"ENSRNOG00000000048"
"ENSRNOG00000000053",4098,"ENSRNOG00000000053"
"ENSRNOG00000000054",2463,"ENSRNOG00000000054"
"ENSRNOG00000000055",1213,"ENSRNOG00000000055"
"ENSRNOG00000000062",4702,"ENSRNOG00000000062"
"ENSRNOG00000000064",207,"ENSRNOG00000000064"
"ENSRNOG00000000065",2772,"ENSRNOG00000000065"
"ENSRNOG00000000066",1497,"ENSRNOG00000000066"
"ENSRNOG00000000068",2596,"ENSRNOG00000000068"
"ENSRNOG00000000070",3062,"ENSRNOG00000000070"
"ENSRNOG00000000073",1533,"ENSRNOG00000000073"
"ENSRNOG00000000075",2817,"ENSRNOG00000000075"
"ENSRNOG00000000081",5662,"ENSRNOG00000000081"
"ENSRNOG00000000082",4907,"ENSRNOG00000000082"
"ENSRNOG00000000091",5168,"ENSRNOG00000000091"
"ENSRNOG00000000095",2196,"ENSRNOG00000000095"
"ENSRNOG00000000096",1980,"ENSRNOG00000000096"
"ENSRNOG00000000097",1982,"ENSRNOG00000000097"
"ENSRNOG00000000098",2134,"ENSRNOG00000000098"
"ENSRNOG00000000104",2155,"ENSRNOG00000000104"
"ENSRNOG00000000105",1946,"ENSRNOG00000000105"
"ENSRNOG00000000108",3265,"ENSRNOG00000000108"
"ENSRNOG00000000109",1845,"ENSRNOG00000000109"
"ENSRNOG00000000111",1067,"ENSRNOG00000000111"
"ENSRNOG00000000112",4202,"ENSRNOG00000000112"
"ENSRNOG00000000113",2836,"ENSRNOG00000000113"
"ENSRNOG00000000121",3675,"ENSRNOG00000000121"
"ENSRNOG00000000122",2987,"ENSRNOG00000000122"
"ENSRNOG00000000123",3042,"ENSRNOG00000000123"
"ENSRNOG00000000124",312,"ENSRNOG00000000124"
"ENSRNOG00000000127",2376,"ENSRNOG00000000127"
"ENSRNOG00000000129",7693,"ENSRNOG00000000129"
"ENSRNOG00000000130",2930,"ENSRNOG00000000130"
"ENSRNOG00000000133",2691,"ENSRNOG00000000133"
"ENSRNOG00000000137",1043,"ENSRNOG00000000137"
"ENSRNOG00000000138",2903,"ENSRNOG00000000138"
"ENSRNOG00000000142",2753,"ENSRNOG00000000142"
"ENSRNOG00000000145",5387,"ENSRNOG00000000145"
"ENSRNOG00000000150",2282,"ENSRNOG00000000150"
"ENSRNOG00000000151",3296,"ENSRNOG00000000151"
"ENSRNOG00000000155",5765,"ENSRNOG00000000155"
"ENSRNOG00000000156",5883,"ENSRNOG00000000156"
"ENSRNOG00000000157",3004,"ENSRNOG00000000157"
"ENSRNOG00000000158",1656,"ENSRNOG00000000158"
"ENSRNOG00000000161",5020,"ENSRNOG00000000161"
"ENSRNOG00000000164",7289,"ENSRNOG00000000164"
"ENSRNOG00000000165",2353,"ENSRNOG00000000165"
"ENSRNOG00000000166",1908,"ENSRNOG00000000166"
"ENSRNOG00000000167",1946,"ENSRNOG00000000167"
"ENSRNOG00000000168",2767,"ENSRNOG00000000168"
"ENSRNOG00000000169",2499,"ENSRNOG00000000169"
"ENSRNOG00000000170",5408,"ENSRNOG00000000170"
"ENSRNOG00000000172",3518,"ENSRNOG00000000172"
"ENSRNOG00000000175",2805,"ENSRNOG00000000175"
"ENSRNOG00000000177",1793,"ENSRNOG00000000177"
"ENSRNOG00000000184",4116,"ENSRNOG00000000184"
"ENSRNOG00000000185",1256,"ENSRNOG00000000185"
"ENSRNOG00000000186",2007,"ENSRNOG00000000186"
"ENSRNOG00000000187",2943,"ENSRNOG00000000187"
"ENSRNOG00000000190",3676,"ENSRNOG00000000190"
"ENSRNOG00000000195",3975,"ENSRNOG00000000195"
"ENSRNOG00000000196",2866,"ENSRNOG00000000196"
"ENSRNOG00000000199",710,"ENSRNOG00000000199"
"ENSRNOG00000000201",844,"ENSRNOG00000000201"
"ENSRNOG00000000204",7085,"ENSRNOG00000000204"
"ENSRNOG00000000219",3874,"ENSRNOG00000000219"
"ENSRNOG00000000221",3200,"ENSRNOG00000000221"
"ENSRNOG00000000230",2336,"ENSRNOG00000000230"
"ENSRNOG00000000231",3361,"ENSRNOG00000000231"
"ENSRNOG00000000233",4424,"ENSRNOG00000000233"
"ENSRNOG00000000236",1596,"ENSRNOG00000000236"
"ENSRNOG00000000237",2270,"ENSRNOG00000000237"
"ENSRNOG00000000239",814,"ENSRNOG00000000239"
"ENSRNOG00000000244",2985,"ENSRNOG00000000244"
"ENSRNOG00000000245",4143,"ENSRNOG00000000245"
"ENSRNOG00000000246",3387,"ENSRNOG00000000246"
"ENSRNOG00000000247",3923,"ENSRNOG00000000247"
"ENSRNOG00000000248",1347,"ENSRNOG00000000248"
"ENSRNOG00000000249",903,"ENSRNOG00000000249"
"ENSRNOG00000000250",2387,"ENSRNOG00000000250"
"ENSRNOG00000000251",2420,"ENSRNOG00000000251"
"ENSRNOG00000000257",5042,"ENSRNOG00000000257"
"ENSRNOG00000000258",3418,"ENSRNOG00000000258"
"ENSRNOG00000000262",2136,"ENSRNOG00000000262"
"ENSRNOG00000000264",3130,"ENSRNOG00000000264"
"ENSRNOG00000000274",2063,"ENSRNOG00000000274"
"ENSRNOG00000000275",3533,"ENSRNOG00000000275"
"ENSRNOG00000000277",6123,"ENSRNOG00000000277"
"ENSRNOG00000000279",2450,"ENSRNOG00000000279"
"ENSRNOG00000000281",2336,"ENSRNOG00000000281"
"ENSRNOG00000000282",1127,"ENSRNOG00000000282"
"ENSRNOG00000000283",1730,"ENSRNOG00000000283"
"ENSRNOG00000000288",3353,"ENSRNOG00000000288"
"ENSRNOG00000000299",3463,"ENSRNOG00000000299"
"ENSRNOG00000000302",3650,"ENSRNOG00000000302"
"ENSRNOG00000000303",2556,"ENSRNOG00000000303"
"ENSRNOG00000000304",2903,"ENSRNOG00000000304"
"ENSRNOG00000000306",1943,"ENSRNOG00000000306"
"ENSRNOG00000000307",3536,"ENSRNOG00000000307"
"ENSRNOG00000000308",3768,"ENSRNOG00000000308"
"ENSRNOG00000000312",3177,"ENSRNOG00000000312"
"ENSRNOG00000000314",6063,"ENSRNOG00000000314"
"ENSRNOG00000000316",6688,"ENSRNOG00000000316"
"ENSRNOG00000000320",291,"ENSRNOG00000000320"
"ENSRNOG00000000321",2485,"ENSRNOG00000000321"
"ENSRNOG00000000322",2415,"ENSRNOG00000000322"
"ENSRNOG00000000323",5238,"ENSRNOG00000000323"
"ENSRNOG00000000327",3692,"ENSRNOG00000000327"
"ENSRNOG00000000335",2584,"ENSRNOG00000000335"
"ENSRNOG00000000340",1198,"ENSRNOG00000000340"
"ENSRNOG00000000341",4787,"ENSRNOG00000000341"
"ENSRNOG00000000368",5095,"ENSRNOG00000000368"
"ENSRNOG00000000373",4443,"ENSRNOG00000000373"
"ENSRNOG00000000376",225,"ENSRNOG00000000376"
"ENSRNOG00000000383",5201,"ENSRNOG00000000383"
"ENSRNOG00000000384",450,"ENSRNOG00000000384"
"ENSRNOG00000000386",2036,"ENSRNOG00000000386"
"ENSRNOG00000000387",6594,"ENSRNOG00000000387"
"ENSRNOG00000000392",2412,"ENSRNOG00000000392"
"ENSRNOG00000000394",1286,"ENSRNOG00000000394"
"ENSRNOG00000000395",2430,"ENSRNOG00000000395"
"ENSRNOG00000000396",3857,"ENSRNOG00000000396"
"ENSRNOG00000000397",4465,"ENSRNOG00000000397"
"ENSRNOG00000000398",1991,"ENSRNOG00000000398"
"ENSRNOG00000000401",3033,"ENSRNOG00000000401"
"ENSRNOG00000000405",1595,"ENSRNOG00000000405"
"ENSRNOG00000000406",7905,"ENSRNOG00000000406"
"ENSRNOG00000000407",3063,"ENSRNOG00000000407"
"ENSRNOG00000000408",4304,"ENSRNOG00000000408"
"ENSRNOG00000000410",1909,"ENSRNOG00000000410"
"ENSRNOG00000000411",3644,"ENSRNOG00000000411"
"ENSRNOG00000000412",4773,"ENSRNOG00000000412"
"ENSRNOG00000000414",3334,"ENSRNOG00000000414"
"ENSRNOG00000000415",3641,"ENSRNOG00000000415"
"ENSRNOG00000000417",7859,"ENSRNOG00000000417"
"ENSRNOG00000000420",1813,"ENSRNOG00000000420"
"ENSRNOG00000000421",4088,"ENSRNOG00000000421"
"ENSRNOG00000000422",1448,"ENSRNOG00000000422"
"ENSRNOG00000000428",1963,"ENSRNOG00000000428"
"ENSRNOG00000000431",2629,"ENSRNOG00000000431"
"ENSRNOG00000000432",1364,"ENSRNOG00000000432"
"ENSRNOG00000000433",2544,"ENSRNOG00000000433"
"ENSRNOG00000000435",2412,"ENSRNOG00000000435"
"ENSRNOG00000000436",1373,"ENSRNOG00000000436"
"ENSRNOG00000000437",3471,"ENSRNOG00000000437"
"ENSRNOG00000000438",1227,"ENSRNOG00000000438"
"ENSRNOG00000000439",1853,"ENSRNOG00000000439"
"ENSRNOG00000000440",2858,"ENSRNOG00000000440"
"ENSRNOG00000000441",1465,"ENSRNOG00000000441"
"ENSRNOG00000000442",6483,"ENSRNOG00000000442"
"ENSRNOG00000000446",2122,"ENSRNOG00000000446"
"ENSRNOG00000000451",1382,"ENSRNOG00000000451"
"ENSRNOG00000000454",2720,"ENSRNOG00000000454"
"ENSRNOG00000000455",2436,"ENSRNOG00000000455"
"ENSRNOG00000000456",1417,"ENSRNOG00000000456"
"ENSRNOG00000000457",2943,"ENSRNOG00000000457"
"ENSRNOG00000000459",1958,"ENSRNOG00000000459"
"ENSRNOG00000000461",3747,"ENSRNOG00000000461"
"ENSRNOG00000000463",6498,"ENSRNOG00000000463"
"ENSRNOG00000000464",7979,"ENSRNOG00000000464"
"ENSRNOG00000000465",3146,"ENSRNOG00000000465"
"ENSRNOG00000000466",4640,"ENSRNOG00000000466"
"ENSRNOG00000000467",2449,"ENSRNOG00000000467"
"ENSRNOG00000000470",4835,"ENSRNOG00000000470"
"ENSRNOG00000000471",3063,"ENSRNOG00000000471"
"ENSRNOG00000000473",588,"ENSRNOG00000000473"
"ENSRNOG00000000474",10870,"ENSRNOG00000000474"
"ENSRNOG00000000476",2716,"ENSRNOG00000000476"
"ENSRNOG00000000477",3143,"ENSRNOG00000000477"
"ENSRNOG00000000478",219,"ENSRNOG00000000478"
"ENSRNOG00000000479",2471,"ENSRNOG00000000479"
"ENSRNOG00000000480",2525,"ENSRNOG00000000480"
"ENSRNOG00000000481",1032,"ENSRNOG00000000481"
"ENSRNOG00000000483",6500,"ENSRNOG00000000483"
"ENSRNOG00000000485",2075,"ENSRNOG00000000485"
"ENSRNOG00000000486",1558,"ENSRNOG00000000486"
"ENSRNOG00000000487",4458,"ENSRNOG00000000487"
"ENSRNOG00000000488",1628,"ENSRNOG00000000488"
"ENSRNOG00000000490",1016,"ENSRNOG00000000490"
"ENSRNOG00000000491",1729,"ENSRNOG00000000491"
"ENSRNOG00000000493",1387,"ENSRNOG00000000493"
"ENSRNOG00000000495",6428,"ENSRNOG00000000495"
"ENSRNOG00000000498",6944,"ENSRNOG00000000498"
"ENSRNOG00000000499",2078,"ENSRNOG00000000499"
"ENSRNOG00000000500",4385,"ENSRNOG00000000500"
"ENSRNOG00000000501",2512,"ENSRNOG00000000501"
"ENSRNOG00000000502",2367,"ENSRNOG00000000502"
"ENSRNOG00000000503",3262,"ENSRNOG00000000503"
"ENSRNOG00000000504",1855,"ENSRNOG00000000504"
"ENSRNOG00000000505",725,"ENSRNOG00000000505"
"ENSRNOG00000000506",2649,"ENSRNOG00000000506"
"ENSRNOG00000000507",2167,"ENSRNOG00000000507"
"ENSRNOG00000000508",1213,"ENSRNOG00000000508"
"ENSRNOG00000000510",462,"ENSRNOG00000000510"
"ENSRNOG00000000511",4358,"ENSRNOG00000000511"
"ENSRNOG00000000512",5179,"ENSRNOG00000000512"
"ENSRNOG00000000513",3505,"ENSRNOG00000000513"
"ENSRNOG00000000515",1667,"ENSRNOG00000000515"
"ENSRNOG00000000516",967,"ENSRNOG00000000516"
"ENSRNOG00000000517",4341,"ENSRNOG00000000517"
"ENSRNOG00000000519",5000,"ENSRNOG00000000519"
"ENSRNOG00000000520",2488,"ENSRNOG00000000520"
"ENSRNOG00000000521",2360,"ENSRNOG00000000521"
"ENSRNOG00000000522",4287,"ENSRNOG00000000522"
"ENSRNOG00000000523",1693,"ENSRNOG00000000523"
"ENSRNOG00000000524",4726,"ENSRNOG00000000524"
"ENSRNOG00000000525",2399,"ENSRNOG00000000525"
"ENSRNOG00000000527",1811,"ENSRNOG00000000527"
"ENSRNOG00000000528",2784,"ENSRNOG00000000528"
"ENSRNOG00000000529",1302,"ENSRNOG00000000529"
"ENSRNOG00000000532",4580,"ENSRNOG00000000532"
"ENSRNOG00000000536",3498,"ENSRNOG00000000536"
"ENSRNOG00000000540",2251,"ENSRNOG00000000540"
"ENSRNOG00000000541",1868,"ENSRNOG00000000541"
"ENSRNOG00000000542",15144,"ENSRNOG00000000542"
"ENSRNOG00000000543",4780,"ENSRNOG00000000543"
"ENSRNOG00000000546",2780,"ENSRNOG00000000546"
"ENSRNOG00000000547",4377,"ENSRNOG00000000547"
"ENSRNOG00000000549",2604,"ENSRNOG00000000549"
"ENSRNOG00000000551",1253,"ENSRNOG00000000551"
"ENSRNOG00000000552",3182,"ENSRNOG00000000552"
"ENSRNOG00000000556",2034,"ENSRNOG00000000556"
"ENSRNOG00000000557",2808,"ENSRNOG00000000557"
"ENSRNOG00000000559",1342,"ENSRNOG00000000559"
"ENSRNOG00000000560",3126,"ENSRNOG00000000560"
"ENSRNOG00000000561",4307,"ENSRNOG00000000561"
"ENSRNOG00000000562",2081,"ENSRNOG00000000562"
"ENSRNOG00000000563",3829,"ENSRNOG00000000563"
"ENSRNOG00000000564",2241,"ENSRNOG00000000564"
"ENSRNOG00000000565",4088,"ENSRNOG00000000565"
"ENSRNOG00000000566",946,"ENSRNOG00000000566"
"ENSRNOG00000000567",6059,"ENSRNOG00000000567"
"ENSRNOG00000000568",2691,"ENSRNOG00000000568"
"ENSRNOG00000000569",1895,"ENSRNOG00000000569"
"ENSRNOG00000000571",2600,"ENSRNOG00000000571"
"ENSRNOG00000000572",5898,"ENSRNOG00000000572"
"ENSRNOG00000000574",372,"ENSRNOG00000000574"
"ENSRNOG00000000576",1634,"ENSRNOG00000000576"
"ENSRNOG00000000579",4180,"ENSRNOG00000000579"
"ENSRNOG00000000580",948,"ENSRNOG00000000580"
"ENSRNOG00000000581",3208,"ENSRNOG00000000581"
"ENSRNOG00000000582",1606,"ENSRNOG00000000582"
"ENSRNOG00000000583",5776,"ENSRNOG00000000583"
"ENSRNOG00000000585",1712,"ENSRNOG00000000585"
"ENSRNOG00000000586",1569,"ENSRNOG00000000586"
